Draft_Year,Round,Pick_Number,Team,Player,Position,Age,Last_Season,All_Pro_Selections,Pro_Bowl_Selections,Games_Started,Weighted_AV,Draft_Rookie_AV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,Column_28
1995,2,56,CHI,Todd Sauerbrun,P,22,2007,2,3,0,25,6,178,2,3,63,0,0,5,9,0,0,0,0,19,,,West Virginia,College Stats
1995,2,57,NWE,Ted Johnson,LB,22,2004,0,0,7,45,45,125,0,0,0,0,0,0,0,0,0,0,0,529,1,11.5,Colorado,College Stats
1995,2,58,PHI,Barrett Brooks,T,23,2005,0,0,4,28,20,118,0,0,0,0,0,0,0,0,0,0,0,,,,Kansas St.,
1995,2,59,DAL,Kendell Watkins,TE,22,1995,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,8,0,,,,Mississippi St.,College Stats
1995,2,60,PIT,Kordell Stewart,QB,22,2005,0,1,6,60,58,125,1316,2358,14746,77,84,560,2874,38,41,658,5,,,,Colorado,College Stats
1995,2,61,SDG,Jimmy Oliver,WR,,,0,0,0,,,,,,,,,,,,,,,,,,TCU,College Stats
1995,2,62,STL,Jesse James,C,23,1996,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi St.,
1995,2,63,DAL,Shane Hannah,G,,,0,0,0,,,,,,,,,,,,,,,,,,Michigan St.,
1995,2,64,JAX,Bryan Schwartz,LB,23,1999,0,0,3,19,19,55,0,0,0,0,0,0,0,0,0,0,0,197,,0.5,Augustana (SD),
1995,3,65,GNB,Darius Holland,DT,21,2004,0,0,2,18,5,111,0,0,0,0,0,0,0,0,0,0,0,118,1,4.5,Colorado,
1995,3,66,GNB,William Henderson,FB,24,2006,1,1,10,23,23,188,0,0,0,0,0,123,426,5,320,2409,14,50,,,North Carolina,College Stats
1995,3,67,HOU,Chris Sanders,WR,23,2001,0,0,4,29,29,97,0,0,0,0,0,4,-36,0,177,3285,17,,,,Ohio St.,College Stats
