Draft_Year,Round,Pick_Number,Team,Player,Position,Age,Last_Season,All_Pro_Selections,Pro_Bowl_Selections,Games_Started,Weighted_AV,Draft_Rookie_AV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,Column_27
1983,5,121,DET,Steve Mott,C,22,1988,0,0,5,30,30,76,0,0,0,0,0,0,0,0,0,0,0,,,Alabama,
1983,5,122,CLE,Bill Contz,T,22,1988,0,0,2,13,5,63,0,0,0,0,0,0,0,0,0,0,0,,,Penn St.,
1983,5,123,SEA,Chris Castor,WR,23,1984,0,0,0,1,1,23,0,0,0,0,0,0,0,0,8,89,0,,,Duke,College Stats
1983,5,124,NYG,Malcolm Scott,TE,22,1987,0,0,0,1,1,19,0,0,0,0,0,0,0,0,23,241,0,,,LSU,College Stats
1983,5,125,DEN,Bruce Baldwin,DB,,,0,0,0,,,,,,,,,,,,,,,,,Harding,
1983,5,126,BUF,Matt Vanden Boom,DB,,,0,0,0,,,,,,,,,,,,,,,,,Wisconsin,College Stats
1983,5,127,MIN,Mark Stewart,LB,23,1984,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,Washington,College Stats
1983,5,128,NWE,Darryl Lewis,TE,22,1984,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,,,Texas-Arlington,College Stats
1983,5,129,ATL,Brett Miller,T,24,1992,0,0,5,28,15,118,0,0,0,0,0,0,0,0,0,0,0,,,Iowa,
1983,5,130,STL,Steve Bird,WR,22,1984,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,,,Eastern Kentucky,
1983,5,131,TAM,Tony Chickillo,NT,23,1987,0,0,0,1,,7,0,0,0,0,0,0,0,0,0,0,0,,,Miami (FL),
1983,5,132,GNB,Bryan Thomas,RB,,,0,0,0,,,,,,,,,,,,,,,,,Pittsburgh,College Stats
1983,5,133,PIT,Paul Skansi,WR,22,1991,0,0,0,17,0,115,0,0,0,0,0,0,0,0,166,1950,10,,,Washington,College Stats
1983,5,134,RAM,Otis Grant,WR,22,1987,0,0,0,5,3,33,0,1,0,0,0,3,10,0,37,565,1,,,Michigan St.,College Stats
1983,5,135,DAL,Chuck McSwain,RB,22,1987,0,0,0,0,0,19,0,0,0,0,0,9,23,0,0,0,0,,,Clemson,College Stats
1983,5,136,NYJ,John Walker,NT,21,1987,0,0,0,1,,3,0,0,0,0,0,0,0,0,0,0,0,,,Nebraska-Omaha,
1983,5,137,CIN,Jeff Christensen,QB,23,1987,0,0,0,2,0,4,24,58,297,1,3,12,39,0,0,0,0,,,Eastern Illinois,
1983,5,138,RAI,Dokie Williams,WR,23,1987,0,0,2,23,23,74,0,0,0,0,0,3,27,0,148,2866,25,,,UCLA,College Stats
1983,5,139,HOU,Jerome Foster,DE,23,1987,0,0,0,3,2,44,0,0,0,0,0,0,0,0,0,0,0,,7.5,Ohio St.,College Stats
1983,5,140,PIT,Gregg Garrity,WR,22,1989,0,0,0,12,3,79,0,0,0,0,0,0,0,0,82,1329,6,,,Penn St.,College Stats
1983,6,141,SDG,Trumaine Johnson,WR,22,1988,0,0,1,11,4,55,0,0,0,0,0,0,0,0,86,1150,4,,,Grambling St.,
1983,6,142,HOU,Steve Haworth,DB,21,1984,0,0,0,1,,16,0,0,0,0,0,0,0,0,0,0,0,,,Oklahoma,
1983,6,143,DEN,Victor Heflin,DB,23,1984,0,0,0,1,,24,0,0,0,0,0,0,0,0,0,0,0,1,,Delaware St.,
1983,6,144,RAM,Gary Kowalski,T,23,1988,0,0,2,14,1,58,0,0,0,0,0,0,0,0,0,0,0,,,Boston Col.,College Stats
1983,6,145,CLE,Tim Stracka,TE,23,1984,0,0,0,0,0,19,0,0,0,0,0,0,0,0,2,27,0,,,Wisconsin,College Stats
