No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Team,Year,Scraped_Date
70,Alex Light,23,G,13,0,309,6-5,Richmond,5/2/1996,1,1,,"$570,000",GNB,2019,2025-08-15 14:01:14
63,Corey Linsley,28,C,16,16,301,6-3,Ohio St.,7/27/1991,5,8,Green Bay Packers / 5th / 161st pick /2014,"$4,300,000",GNB,2019,2025-08-15 14:01:14
94,Dean Lowry,25,LDE,16,16,296,6-6,Northwestern,6/9/1994,3,9,Green Bay Packers / 4th / 137th pick /2016,"$2,025,000",GNB,2019,2025-08-15 14:01:14
50,Blake Martinez,25,LILB,16,16,237,6-2,Stanford,1/9/1994,3,10,Green Bay Packers / 4th / 131st pick /2016,"$2,025,000",GNB,2019,2025-08-15 14:01:14
62,Lucas Patrick,26,G,14,0,313,6-3,Duke,7/30/1993,2,1,,"$645,000",GNB,2019,2025-08-15 14:01:14
25,Will Redmond,26,DB,13,4,186,5-11,Mississippi St.,12/28/1993,1,2,San Francisco 49ers / 3rd / 68th pick /2016,"$570,000",GNB,2019,2025-08-15 14:01:14
12,Aaron Rodgers,36,QB,16,16,223,6-2,"Butte JC (CA),California",12/2/1983,14,14,Green Bay Packers / 1st / 24th pick /2005,"$1,100,000",GNB,2019,2025-08-15 14:01:14
26,Darnell Savage Jr.,22,FS,14,14,198,5-11,Maryland,7/30/1997,Rook,5,Green Bay Packers / 1st / 21st pick /2019,"$3,120,000",GNB,2019,2025-08-15 14:01:14
6,JK Scott,24,P,16,0,208,6-5,Alabama,10/30/1995,1,2,Green Bay Packers / 5th / 172nd pick /2018,"$570,000",GNB,2019,2025-08-15 14:01:14
10,Darrius Shepherd,24,WR,6,0,186,5-11,North Dakota St.,11/1/1995,Rook,0,,"$495,000",GNB,2019,2025-08-15 14:01:14
91,Preston Smith,27,LOLB,16,16,265,6-5,Mississippi St.,11/17/1992,4,9,Washington Redskins / 2nd / 38th pick /2015,"$850,000",GNB,2019,2025-08-15 14:01:14
27,Tremon Smith,23,DB,7,0,190,5-11,Central Arkansas,7/20/1996,1,0,Kansas City Chiefs / 6th / 196th pick /2018,,GNB,2019,2025-08-15 14:01:14
55,Za'Darius Smith,27,ROLB,16,16,270,6-4,"East Mississippi CC,Kentucky",9/8/1992,4,12,Baltimore Ravens / 4th / 122nd pick /2015,"$1,000,000",GNB,2019,2025-08-15 14:01:14
87,Jace Sternberger,23,TE,6,1,250,6-4,Texas A&M,6/26/1996,Rook,0,Green Bay Packers / 3rd / 75th pick /2019,"$495,000",GNB,2019,2025-08-15 14:01:14
39,Chandon Sullivan,23,DB,16,0,189,5-11,Georgia St.,8/7/1996,1,1,,"$570,000",GNB,2019,2025-08-15 14:01:14
44,Ty Summers,24,LB,16,0,241,6-1,TCU,12/31/1995,Rook,1,Green Bay Packers / 7th / 226th pick /2019,"$652,500",GNB,2019,2025-08-15 14:01:14
65,Lane Taylor,30,G,2,2,324,6-3,Oklahoma St.,11/22/1989,6,1,,"$2,600,000",GNB,2019,2025-08-15 14:01:14
85,Robert Tonyan,25,TE,11,1,240,6-5,Indiana St.,4/30/1994,1,1,,"$570,000",GNB,2019,2025-08-15 14:01:14
77,Billy Turner,28,RG,16,16,313,6-5,North Dakota St.,10/17/1991,5,8,Miami Dolphins / 3rd / 67th pick /2014,"$1,350,000",GNB,2019,2025-08-15 14:01:14
83,Marquez Valdes-Scantling,25,WR,16,10,206,6-4,"North Carolina St.,South Florida",10/10/1994,1,4,Green Bay Packers / 5th / 174th pick /2018,"$570,000",GNB,2019,2025-08-15 14:01:14
68,Jared Veldheer,32,T,2,0,321,6-8,Hillsdale,6/14/1987,9,0,Oakland Raiders / 3rd / 69th pick /2010,,GNB,2019,2025-08-15 14:01:14
45,Danny Vitale,26,RB,15,4,239,6-0,Northwestern,10/26/1993,3,1,Tampa Bay Buccaneers / 6th / 197th pick /2016,"$720,000",GNB,2019,2025-08-15 14:01:14
22,Dexter Williams,22,RB,4,0,212,5-11,Notre Dame,1/6/1997,Rook,0,Green Bay Packers / 6th / 194th pick /2019,"$670,000",GNB,2019,2025-08-15 14:01:14
30,Jamaal Williams,24,RB,14,2,224,6-0,BYU,4/3/1995,2,5,Green Bay Packers / 4th / 134th pick /2017,"$645,000",GNB,2019,2025-08-15 14:01:14
47,Tim Williams,26,DE,1,0,252,6-3,Alabama,11/12/1993,2,0,Baltimore Ravens / 3rd / 78th pick /2017,,GNB,2019,2025-08-15 14:01:14
38,Tramon Williams,36,DB,16,7,191,5-11,Louisiana Tech,3/16/1983,12,4,,"$3,250,000",GNB,2019,2025-08-15 14:01:14
