No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Team,Year,Scraped_Date
42,Clayton Fejedelem,27,DB,13,0,205,6-1,Illinois,6/2/1993,4,1,Cincinnati Bengals / 7th / 245th pick /2016,"$1,500,000",MIA,2020,2025-08-15 14:11:28
50,Blake Ferguson,23,LS,16,0,230,6-3,LSU,4/21/1997,Rook,1,Miami Dolphins / 6th / 185th pick /2020,"$610,000",MIA,2020,2025-08-15 14:11:28
14,Ryan Fitzpatrick,38,QB,9,7,221,6-2,Harvard,11/24/1982,15,7,St. Louis Rams / 7th / 250th pick /2005,"$8,000,000",MIA,2020,2025-08-15 14:11:28
75,Ereck Flowers,26,LG,14,14,330,6-6,Miami (FL),4/25/1994,5,6,New York Giants / 1st / 9th pick /2015,"$1,975,000",MIA,2020,2025-08-15 14:11:28
84,Isaiah Ford,24,WR,10,1,194,6-2,Virginia Tech,2/9/1996,2,2,Miami Dolphins / 7th / 237th pick /2017,"$750,000",MIA,2020,2025-08-15 14:11:28
35,Kavon Frazier,26,DB,15,0,220,6-0,Central Michigan,8/11/1994,4,1,Dallas Cowboys / 6th / 212th pick /2016,"$910,000",MIA,2020,2025-08-15 14:11:28
37,Myles Gaskin,23,RB,10,7,199,5-9,Washington,2/15/1997,1,7,Miami Dolphins / 7th / 234th pick /2019,"$542,648",MIA,2020,2025-08-15 14:11:28
88,Mike Gesicki,25,TE,15,9,245,6-6,Penn St.,10/3/1995,2,6,Miami Dolphins / 2nd / 42nd pick /2018,"$1,081,084",MIA,2020,2025-08-15 14:11:28
56,Davon Godchaux,26,NT,5,5,330,6-3,LSU,11/11/1994,3,3,Miami Dolphins / 5th / 178th pick /2017,"$2,133,000",MIA,2020,2025-08-15 14:11:28
19,Jakeem Grant,28,WR,14,4,172,5-7,Texas Tech,10/30/1992,4,4,Miami Dolphins / 6th / 186th pick /2016,"$3,780,000",MIA,2020,2025-08-15 14:11:28
51,Kamu Grugier-Hill,26,LB,15,1,230,6-2,Eastern Illinois,5/16/1994,4,2,New England Patriots / 6th / 208th pick /2016,"$1,000,000",MIA,2020,2025-08-15 14:11:28
2,Matt Haack,26,P,16,0,205,6-0,Arizona St.,7/25/1994,3,2,,"$2,133,000",MIA,2020,2025-08-15 14:11:28
30,Tae Hayes,23,DB,2,0,188,5-9,Appalachian St.,8/19/1997,1,0,,"$585,000",MIA,2020,2025-08-15 14:11:28
36,Nate Holley,26,DB,3,0,198,5-10,Kent St.,12/5/1994,1,0,,,MIA,2020,2025-08-15 14:11:28
86,Mack Hollins,27,WR,16,2,221,6-4,North Carolina,9/16/1993,3,1,Philadelphia Eagles / 4th / 118th pick /2017,"$825,000",MIA,2020,2025-08-15 14:11:28
34,Jordan Howard,26,RB,5,3,224,6-0,Indiana,11/2/1994,4,0,Chicago Bears / 5th / 150th pick /2016,"$1,750,000",MIA,2020,2025-08-15 14:11:28
25,Xavien Howard,27,RCB,16,16,203,6-1,Baylor,7/4/1993,4,18,Miami Dolphins / 2nd / 38th pick /2016,"$11,900,000",MIA,2020,2025-08-15 14:11:28
68,Robert Hunt,24,RT,16,11,323,6-6,Louisiana,8/25/1996,Rook,5,Miami Dolphins / 2nd / 39th pick /2020,"$610,000",MIA,2020,2025-08-15 14:11:28
23,Noah Igbinoghene,21,CB,16,2,197,5-11,Auburn,11/27/1999,Rook,2,Miami Dolphins / 1st / 30th pick /2020,"$610,000",MIA,2020,2025-08-15 14:11:28
73,Austin Jackson,21,LT,13,12,310,6-5,USC,8/11/1999,Rook,5,Miami Dolphins / 1st / 18th pick /2020,"$560,588",MIA,2020,2025-08-15 14:11:28
95,Benito Jones,23,DT,6,0,335,6-1,Mississippi,11/27/1997,Rook,1,,,MIA,2020,2025-08-15 14:11:28
29,Brandon Jones,22,S,16,4,191,6-0,Texas,4/2/1998,Rook,2,Miami Dolphins / 3rd / 70th pick /2020,"$610,000",MIA,2020,2025-08-15 14:11:28
24,Byron Jones,28,LCB,14,14,194,6-1,Connecticut,9/26/1992,5,6,Dallas Cowboys / 1st / 27th pick /2015,"$11,000,000",MIA,2020,2025-08-15 14:11:28
67,Ted Karras,27,C,16,16,310,6-4,Illinois,3/15/1993,4,6,New England Patriots / 6th / 221st pick /2016,"$3,000,000",MIA,2020,2025-08-15 14:11:28
16,Marcus Kemp,25,WR,1,0,208,6-4,Hawaii,8/14/1995,3,0,,,MIA,2020,2025-08-15 14:11:28
66,Solomon Kindley,23,RG,13,13,335,6-4,Georgia,7/3/1997,Rook,5,Miami Dolphins / 4th / 111th pick /2020,"$610,000",MIA,2020,2025-08-15 14:11:28
32,Patrick Laird,25,RB,16,0,205,6-0,California,8/17/1995,1,1,,"$675,000",MIA,2020,2025-08-15 14:11:28
90,Shaq Lawson,26,LOLB,14,7,265,6-3,Clemson,6/17/1994,4,6,Buffalo Bills / 1st / 19th pick /2016,"$6,400,000",MIA,2020,2025-08-15 14:11:28
28,Bobby McCain,27,SS,16,15,196,5-9,Memphis,8/18/1993,5,6,Miami Dolphins / 5th / 145th pick /2015,"$5,500,000",MIA,2020,2025-08-15 14:11:28
,Kirk Merritt,23,WR,1,0,210,6-0,"Oregon,Texas A&M,East Mississippi CC,Arkansas St.",1/5/1997,Rook,0,,,MIA,2020,2025-08-15 14:11:28
48,Calvin Munson,26,LB,16,0,240,6-1,San Diego St.,12/27/1994,3,1,,"$675,000",MIA,2020,2025-08-15 14:11:28
85,Chris Myarick,25,TE,3,0,261,6-5,Temple,10/6/1995,1,0,,"$510,000",MIA,2020,2025-08-15 14:11:28
40,Nik Needham,24,DB,16,6,196,6-1,Texas-El Paso,11/4/1996,1,3,,"$675,000",MIA,2020,2025-08-15 14:11:28
91,Emmanuel Ogbah,27,RDE,16,12,275,6-4,Oklahoma St.,11/6/1993,4,8,Cleveland Browns / 2nd / 32nd pick /2016,"$3,750,000",MIA,2020,2025-08-15 14:11:28
78,Adam Pankey,26,G,4,0,313,6-5,West Virginia,2/2/1994,3,0,,"$825,000",MIA,2020,2025-08-15 14:11:28
11,DeVante Parker,27,WR,14,11,215,6-3,Louisville,1/20/1993,5,7,Miami Dolphins / 1st / 14th pick /2015,"$1,300,000",MIA,2020,2025-08-15 14:11:28
33,Jamal Perry,26,DB,13,1,182,5-10,Iowa St.,10/23/1994,1,1,,"$675,000",MIA,2020,2025-08-15 14:11:28
10,Malcolm Perry,23,WR,9,2,190,5-9,Navy,4/19/1997,Rook,1,Miami Dolphins / 7th / 246th pick /2020,"$610,000",MIA,2020,2025-08-15 14:11:28
64,Tyshun Render,23,DE,1,0,256,6-4,Middle Tenn. St.,3/28/1997,Rook,0,,,MIA,2020,2025-08-15 14:11:28
44,Elandon Roberts,26,LILB,13,11,235,5-11,Houston,4/22/1994,4,7,New England Patriots / 6th / 214th pick /2016,"$1,000,000",MIA,2020,2025-08-15 14:11:28
21,Eric Rowe,28,FS,16,14,205,6-1,Utah,10/3/1992,5,6,Philadelphia Eagles / 2nd / 47th pick /2015,"$2,175,000",MIA,2020,2025-08-15 14:11:28
7,Jason Sanders,25,K,16,0,195,5-11,New Mexico,11/16/1995,2,6,Miami Dolphins / 7th / 229th pick /2018,"$750,000",MIA,2020,2025-08-15 14:11:28
80,Adam Shaheen,26,TE,16,5,257,6-7,Ashland,10/24/1994,3,1,Chicago Bears / 2nd / 45th pick /2017,"$1,270,982",MIA,2020,2025-08-15 14:11:28
92,Zach Sieler,25,LDE,16,8,300,6-6,Ferris St.,9/7/1995,2,5,Baltimore Ravens / 7th / 238th pick /2018,"$750,000",MIA,2020,2025-08-15 14:11:28
81,Durham Smythe,25,TE,15,13,248,6-5,Notre Dame,8/9/1995,2,2,Miami Dolphins / 4th / 123rd pick /2018,"$750,000",MIA,2020,2025-08-15 14:11:28
58,Jason Strowbridge,24,DE,8,0,275,6-4,North Carolina,9/10/1996,Rook,1,Miami Dolphins / 5th / 154th pick /2020,"$610,000",MIA,2020,2025-08-15 14:11:28
1,Tua Tagovailoa,22,QB,10,9,225,6-1,Alabama,3/2/1998,Rook,5,Miami Dolphins / 1st / 5th pick /2020,"$610,000",MIA,2020,2025-08-15 14:11:28
43,Andrew Van Ginkel,25,LOLB,16,11,242,6-4,Wisconsin,7/1/1995,1,8,Miami Dolphins / 5th / 151st pick /2019,"$675,000",MIA,2020,2025-08-15 14:11:28
53,Kyle Van Noy,29,ROLB/RILB,14,13,255,6-3,BYU,3/26/1991,6,8,Detroit Lions / 2nd / 40th pick /2014,"$3,000,000",MIA,2020,2025-08-15 14:11:28
31,DeAndre Washington,27,RB,3,1,210,5-8,Texas Tech,2/22/1993,4,1,Oakland Raiders / 5th / 143rd pick /2016,"$555,882",MIA,2020,2025-08-15 14:11:28
94,Christian Wilkins,25,LDE,14,12,310,6-4,Clemson,12/20/1995,1,8,Miami Dolphins / 1st / 13th pick /2019,"$1,196,777",MIA,2020,2025-08-15 14:11:28
18,Preston Williams,23,WR,8,7,220,6-5,Colorado St.,3/27/1997,1,2,,"$557,354",MIA,2020,2025-08-15 14:11:28
