No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Team,Year,Scraped_Date
3,Josh Rosen,22,QB,6,3,226,6-4,UCLA,2/10/1997,1,1,Arizona Cardinals / 1st / 10th pick /2018,"$570,000",MIA,2019,2025-08-15 14:11:21
21,Eric Rowe,27,SS,16,15,205,6-1,Utah,10/3/1992,4,6,Philadelphia Eagles / 2nd / 47th pick /2015,"$1,375,000",MIA,2019,2025-08-15 14:11:21
7,Jason Sanders,24,K,16,0,195,5-11,New Mexico,11/16/1995,1,2,Miami Dolphins / 7th / 229th pick /2018,"$570,000",MIA,2019,2025-08-15 14:11:21
48,Marcus Sherels,32,DB,5,0,175,5-10,Minnesota,9/30/1987,9,1,,,MIA,2019,2025-08-15 14:11:21
92,Zach Sieler,24,DE,3,1,300,6-6,Ferris St.,9/7/1995,1,0,Baltimore Ravens / 7th / 238th pick /2018,,MIA,2019,2025-08-15 14:11:21
81,Durham Smythe,24,TE,16,14,248,6-5,Notre Dame,8/9/1995,1,0,Miami Dolphins / 4th / 123rd pick /2018,"$570,000",MIA,2019,2025-08-15 14:11:21
32,Linden Stephens,24,DB,3,0,193,6-0,Cincinnati,3/21/1995,Rook,0,,,MIA,2019,2025-08-15 14:11:21
74,Keaton Sutherland,22,G/C,3,2,316,6-5,Texas A&M,2/12/1997,Rook,1,,,MIA,2019,2025-08-15 14:11:21
34,De'Lance Turner,24,RB,8,0,214,5-11,Alcorn St.,8/23/1995,1,0,,,MIA,2019,2025-08-15 14:11:21
43,Andrew Van Ginkel,24,LB,6,1,242,6-4,Wisconsin,7/1/1995,Rook,1,Miami Dolphins / 5th / 151st pick /2019,"$495,000",MIA,2019,2025-08-15 14:11:21
87,Clive Walford,28,TE,7,3,252,6-4,Miami (FL),10/1/1991,4,0,Oakland Raiders / 3rd / 68th pick /2015,"$720,000",MIA,2019,2025-08-15 14:11:21
22,Mark Walton,22,RB,7,4,200,5-10,Miami (FL),3/29/1997,1,2,Cincinnati Bengals / 4th / 112th pick /2018,"$495,000",MIA,2019,2025-08-15 14:11:21
61,J'Marcus Webb,31,LT,14,8,320,6-7,"Texas,Navarro,West Texas A&M",8/8/1988,9,4,Chicago Bears / 7th / 218th pick /2010,,MIA,2019,2025-08-15 14:11:21
31,Ken Webster,23,LCB,8,5,202,5-11,Mississippi,6/19/1996,Rook,2,New England Patriots / 7th / 252nd pick /2019,,MIA,2019,2025-08-15 14:11:21
94,Christian Wilkins,24,RDE,16,14,310,6-4,Clemson,12/20/1995,Rook,5,Miami Dolphins / 1st / 13th pick /2019,"$495,000",MIA,2019,2025-08-15 14:11:21
18,Preston Williams,22,WR,8,7,220,6-5,Colorado St.,3/27/1997,Rook,3,,"$495,000",MIA,2019,2025-08-15 14:11:21
53,Gerald Willis,24,DT,2,0,300,6-2,Miami (FL),8/23/1995,Rook,0,,,MIA,2019,2025-08-15 14:11:21
15,Albert Wilson,27,WR,13,4,195,5-9,Georgia St.,7/12/1992,5,3,,"$6,975,000",MIA,2019,2025-08-15 14:11:21
22,Zach Zenner,28,RB,1,0,224,5-11,South Dakota St.,9/13/1991,4,0,,,MIA,2019,2025-08-15 14:11:21
