No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Team,Year,Scraped_Date
45,Dennis Gardeck,26,LB,14,0,232,6-0,Sioux Falls,8/9/1994,2,2,,"$750,000",CRD,2020,2025-08-15 13:36:47
44,Markus Golden,29,ROLB,9,8,260,6-2,Missouri,3/13/1991,5,5,Arizona Cardinals / 2nd / 58th pick /2015,"$2,651,319",CRD,2020,2025-08-15 13:36:47
5,Zane Gonzalez,25,K,12,0,202,6-0,Arizona St.,5/7/1995,3,2,Cleveland Browns / 7th / 224th pick /2017,"$3,259,000",CRD,2020,2025-08-15 13:36:47
58,Jordan Hicks,28,RILB,16,16,235,6-1,Texas,6/27/1992,5,8,Philadelphia Eagles / 3rd / 84th pick /2015,"$6,000,000",CRD,2020,2025-08-15 13:36:47
10,DeAndre Hopkins,28,WR,16,16,210,6-1,Clemson,6/6/1992,7,12,Houston Texans / 1st / 27th pick /2013,"$1,500,000",CRD,2020,2025-08-15 13:36:47
74,D.J. Humphries,27,LT,16,16,307,6-5,Florida,12/28/1993,4,8,Arizona Cardinals / 1st / 24th pick /2015,"$910,000",CRD,2020,2025-08-15 13:36:47
54,Isaiah Irving,26,LB,1,0,254,6-3,San Jose St.,6/9/1994,3,0,,"$582,353",CRD,2020,2025-08-15 13:36:47
17,Andy Isabella,24,WR,13,2,188,5-9,Massachusetts,11/18/1996,1,2,Arizona Cardinals / 2nd / 62nd pick /2019,"$705,450",CRD,2020,2025-08-15 13:36:47
19,KeeSean Johnson,24,WR,8,1,201,6-1,Fresno St.,10/9/1996,1,2,Arizona Cardinals / 6th / 174th pick /2019,"$675,000",CRD,2020,2025-08-15 13:36:47
55,Chandler Jones,30,LOLB,5,5,265,6-5,Syracuse,2/27/1990,8,3,New England Patriots / 1st / 21st pick /2012,"$16,000,000",CRD,2020,2025-08-15 13:36:47
79,Josh Jones,23,T,13,0,339,6-7,Houston,6/22/1997,Rook,1,Arizona Cardinals / 3rd / 72nd pick /2020,"$610,000",CRD,2020,2025-08-15 13:36:47
25,Johnathan Joseph,36,DB,4,0,186,5-11,South Carolina,4/16/1984,14,0,Cincinnati Bengals / 1st / 24th pick /2006,,CRD,2020,2025-08-15 13:36:47
42,Devon Kennard,29,LB,13,4,256,6-3,USC,6/24/1991,6,3,New York Giants / 5th / 174th pick /2014,"$1,000,000",CRD,2020,2025-08-15 13:36:47
13,Christian Kirk,24,WR,14,10,200,5-11,Texas A&M,11/18/1996,2,5,Arizona Cardinals / 2nd / 47th pick /2018,"$1,015,897",CRD,2020,2025-08-15 13:36:47
20,Dre Kirkpatrick,31,RCB,14,11,190,6-2,Alabama,10/26/1989,8,6,Cincinnati Bengals / 1st / 17th pick /2012,"$1,050,000",CRD,2020,2025-08-15 13:36:47
92,Rashard Lawrence,22,DT,9,1,308,6-2,LSU,8/27/1998,Rook,1,Arizona Cardinals / 4th / 131st pick /2020,"$461,763",CRD,2020,2025-08-15 13:36:47
4,Andy Lee,38,P,16,0,185,6-1,Pittsburgh,8/11/1982,16,2,San Francisco 49ers / 6th / 188th pick /2004,"$2,000,000",CRD,2020,2025-08-15 13:36:47
69,Josh Mauro,29,DE,3,2,290,6-6,Stanford,2/17/1991,6,1,,"$535,294",CRD,2020,2025-08-15 13:36:47
65,Stacy McGee,30,DT,2,1,339,6-3,Oklahoma,1/17/1990,7,1,Oakland Raiders / 6th / 205th pick /2013,,CRD,2020,2025-08-15 13:36:47
33,Byron Murphy,22,RCB,15,7,190,5-11,Washington,1/18/1998,1,4,Arizona Cardinals / 2nd / 33rd pick /2019,"$858,159",CRD,2020,2025-08-15 13:36:47
71,Justin Murray,27,RG,13,7,315,6-5,Cincinnati,4/19/1993,2,4,,"$750,000",CRD,2020,2025-08-15 13:36:47
1,Kyler Murray,23,QB,16,16,207,5-10,"Texas A&M,Oklahoma",8/7/1997,1,16,Arizona Cardinals / 1st / 1st pick /2019,"$675,000",CRD,2020,2025-08-15 13:36:47
2,Mike Nugent,38,K,4,0,190,5-10,Ohio St.,3/2/1982,15,1,New York Jets / 2nd / 47th pick /2005,,CRD,2020,2025-08-15 13:36:47
90,Domata Peko,36,DE,6,5,325,6-3,"College of the Canyons (CA),Michigan St.",11/27/1984,14,2,Cincinnati Bengals / 4th / 123rd pick /2006,,CRD,2020,2025-08-15 13:36:47
98,Corey Peters,32,NT,9,9,335,6-3,Kentucky,6/8/1988,10,4,Atlanta Falcons / 3rd / 83rd pick /2010,"$3,000,000",CRD,2020,2025-08-15 13:36:47
27,Kevin Peterson,26,DB,12,1,185,5-11,Oklahoma St.,3/22/1994,3,2,,"$750,000",CRD,2020,2025-08-15 13:36:47
21,Patrick Peterson,30,LCB,16,16,203,6-1,LSU,7/11/1990,9,8,Arizona Cardinals / 1st / 5th pick /2011,"$12,050,000",CRD,2020,2025-08-15 13:36:47
97,Jordan Phillips,28,RDT,9,9,330,6-6,Oklahoma,9/21/1992,5,5,Miami Dolphins / 2nd / 52nd pick /2015,"$2,000,000",CRD,2020,2025-08-15 13:36:47
67,Justin Pugh,30,LG,15,15,311,6-5,Syracuse,8/15/1990,7,7,New York Giants / 1st / 19th pick /2013,"$7,250,000",CRD,2020,2025-08-15 13:36:47
43,Haason Reddick,26,LOLB,16,11,240,6-1,Temple,9/22/1994,3,6,Arizona Cardinals / 1st / 13th pick /2017,"$2,302,904",CRD,2020,2025-08-15 13:36:47
35,Curtis Riley,28,DB,4,1,190,6-0,Fresno St.,7/18/1992,4,1,,"$856,464",CRD,2020,2025-08-15 13:36:47
16,Trent Sherfield,24,WR,15,1,205,6-1,Vanderbilt,2/25/1996,2,0,,"$750,000",CRD,2020,2025-08-15 13:36:47
48,Isaiah Simmons,22,LB,16,7,238,6-4,Clemson,7/26/1998,Rook,5,Arizona Cardinals / 1st / 8th pick /2020,"$610,000",CRD,2020,2025-08-15 13:36:47
54,Terrance Smith,27,LB,3,0,235,6-2,Florida St.,5/3/1993,4,0,,,CRD,2020,2025-08-15 13:36:47
15,Chris Streveler,25,QB,5,0,216,6-1,"Minnesota,South Dakota",1/6/1995,1,0,,"$610,000",CRD,2020,2025-08-15 13:36:47
64,J.R. Sweezy,31,RG,13,10,310,6-5,North Carolina St.,4/8/1989,8,5,Seattle Seahawks / 7th / 225th pick /2012,"$3,500,000",CRD,2020,2025-08-15 13:36:47
80,Jordan Thomas,24,TE,4,0,280,6-5,Mississippi St.,8/2/1996,2,0,Houston Texans / 6th / 211th pick /2018,"$661,765",CRD,2020,2025-08-15 13:36:47
22,Deionte Thompson,23,FS,13,4,195,6-1,Alabama,2/11/1997,1,2,Arizona Cardinals / 5th / 139th pick /2019,"$675,000",CRD,2020,2025-08-15 13:36:47
34,Jalen Thompson,22,FS,5,4,190,5-11,Washington St.,7/18/1998,1,2,Arizona Cardinals / 5th / 1st pick /2019Supp,"$675,000",CRD,2020,2025-08-15 13:36:47
47,Zeke Turner,24,DB,16,0,225,6-2,Washington,6/9/1996,2,3,,,CRD,2020,2025-08-15 13:36:47
51,Tanner Vallejo,26,LB,16,0,230,6-1,Boise St.,12/16/1994,3,1,Buffalo Bills / 6th / 195th pick /2017,"$825,000",CRD,2020,2025-08-15 13:36:47
56,Reggie Walker,24,LB,1,0,250,6-2,Kansas St.,4/22/1996,Rook,0,,,CRD,2020,2025-08-15 13:36:47
38,Jonathan Ward,23,RB,14,0,202,6-0,Central Michigan,9/30/1997,Rook,0,,"$466,471",CRD,2020,2025-08-15 13:36:47
28,Charles Washington,27,DB,15,0,192,5-10,Fresno St.,3/10/1993,3,1,,"$825,000",CRD,2020,2025-08-15 13:36:47
39,Jace Whittaker,25,DB,4,0,185,5-11,Arizona,7/16/1995,Rook,0,,,CRD,2020,2025-08-15 13:36:47
87,Maxx Williams,26,TE,9,8,252,6-4,Minnesota,4/12/1994,5,1,Baltimore Ravens / 2nd / 55th pick /2015,"$2,850,000",CRD,2020,2025-08-15 13:36:47
