Team,Year,Primary_Coach,Combined_Coach,Total_Coaches
CIN,1987,Sam Wyche,Sam Wyche,1
CIN,1988,Sam Wyche,Sam Wyche,1
CIN,1989,Sam Wyche,Sam Wyche,1
CIN,1990,Sam Wyche,Sam Wyche,1
CIN,1991,Sam Wyche,Sam Wyche,1
CIN,1992,David Shula,David Shula,1
CIN,1993,David Shula,David Shula,1
CIN,1994,David Shula,David Shula,1
CIN,1995,David Shula,David Shula,1
CIN,1996,David Shula,Bruce Coslet / David Shula,2
CIN,1997,Bruce Coslet,Bruce Coslet,1
CIN,1998,Bruce Coslet,Bruce Coslet,1
CIN,1999,Bruce Coslet,Bruce Coslet,1
CIN,2000,Bruce Coslet,Bruce Coslet / Dick LeBeau,2
CIN,2001,Dick LeBeau,Dick LeBeau,1
CIN,2002,Dick LeBeau,Dick LeBeau,1
CIN,2003,Marvin Lewis,Marvin Lewis,1
CIN,2004,Marvin Lewis,Marvin Lewis,1
CIN,2005,Marvin Lewis,Marvin Lewis,1
CIN,2006,Marvin Lewis,Marvin Lewis,1
CIN,2007,Marvin Lewis,Marvin Lewis,1
CIN,2008,Marvin Lewis,Marvin Lewis,1
CIN,2009,Marvin Lewis,Marvin Lewis,1
CIN,2010,Marvin Lewis,Marvin Lewis,1
CIN,2011,Marvin Lewis,Marvin Lewis,1
CIN,2012,Marvin Lewis,Marvin Lewis,1
CIN,2013,Marvin Lewis,Marvin Lewis,1
CIN,2014,Marvin Lewis,Marvin Lewis,1
CIN,2015,Marvin Lewis,Marvin Lewis,1
CIN,2016,Marvin Lewis,Marvin Lewis,1
CIN,2017,Marvin Lewis,Marvin Lewis,1
CIN,2018,Marvin Lewis,Marvin Lewis,1
CIN,2019,Zac Taylor,Zac Taylor,1
CIN,2020,Zac Taylor,Zac Taylor,1
CIN,2021,Zac Taylor,Zac Taylor,1
CIN,2022,Zac Taylor,Zac Taylor,1
CIN,2023,Zac Taylor,Zac Taylor,1
CIN,2024,Zac Taylor,Zac Taylor,1
CLE,1970,Blanton Collier,Blanton Collier,1
CLE,1971,Nick Skorich,Nick Skorich,1
CLE,1972,Nick Skorich,Nick Skorich,1
CLE,1973,Nick Skorich,Nick Skorich,1
CLE,1974,Nick Skorich,Nick Skorich,1
CLE,1975,Forrest Gregg,Forrest Gregg,1
CLE,1976,Forrest Gregg,Forrest Gregg,1
CLE,1977,Forrest Gregg,Dick Modzelewski / Forrest Gregg,2
CLE,1978,Sam Rutigliano,Sam Rutigliano,1
CLE,1979,Sam Rutigliano,Sam Rutigliano,1
CLE,1980,Sam Rutigliano,Sam Rutigliano,1
CLE,1981,Sam Rutigliano,Sam Rutigliano,1
CLE,1982,Sam Rutigliano,Sam Rutigliano,1
CLE,1983,Sam Rutigliano,Sam Rutigliano,1
CLE,1984,Sam Rutigliano,Marty Schottenheimer / Sam Rutigliano,2
CLE,1985,Marty Schottenheimer,Marty Schottenheimer,1
CLE,1986,Marty Schottenheimer,Marty Schottenheimer,1
CLE,1987,Marty Schottenheimer,Marty Schottenheimer,1
CLE,1988,Marty Schottenheimer,Marty Schottenheimer,1
CLE,1989,Bud Carson,Bud Carson,1
CLE,1990,Bud Carson,Bud Carson / Jim Shofner,2
CLE,1991,Bill Belichick,Bill Belichick,1
CLE,1992,Bill Belichick,Bill Belichick,1
CLE,1993,Bill Belichick,Bill Belichick,1
CLE,1994,Bill Belichick,Bill Belichick,1
CLE,1995,Bill Belichick,Bill Belichick,1
CLE,1999,Chris Palmer,Chris Palmer,1
CLE,2000,Chris Palmer,Chris Palmer,1
CLE,2001,Butch Davis,Butch Davis,1
CLE,2002,Butch Davis,Butch Davis,1
CLE,2003,Butch Davis,Butch Davis,1
CLE,2004,Butch Davis,Butch Davis / Terry Robiskie,2
CLE,2005,Romeo Crennel,Romeo Crennel,1
CLE,2006,Romeo Crennel,Romeo Crennel,1
CLE,2007,Romeo Crennel,Romeo Crennel,1
CLE,2008,Romeo Crennel,Romeo Crennel,1
CLE,2009,Eric Mangini,Eric Mangini,1
CLE,2010,Eric Mangini,Eric Mangini,1
CLE,2011,Pat Shurmur,Pat Shurmur,1
CLE,2012,Pat Shurmur,Pat Shurmur,1
CLE,2013,Rob Chudzinski,Rob Chudzinski,1
CLE,2014,Mike Pettine,Mike Pettine,1
CLE,2015,Mike Pettine,Mike Pettine,1
CLE,2016,Hue Jackson,Hue Jackson,1
CLE,2017,Hue Jackson,Hue Jackson,1
CLE,2018,Hue Jackson,Gregg Williams / Hue Jackson,2
CLE,2019,Freddie Kitchens,Freddie Kitchens,1
CLE,2020,Kevin Stefanski,Kevin Stefanski,1
CLE,2021,Kevin Stefanski,Kevin Stefanski,1
CLE,2022,Kevin Stefanski,Kevin Stefanski,1
CLE,2023,Kevin Stefanski,Kevin Stefanski,1
CLE,2024,Kevin Stefanski,Kevin Stefanski,1
CLT,1984,Frank Kush,Frank Kush / Hal Hunter,2
CLT,1985,Rod Dowhower,Rod Dowhower,1
CLT,1986,Rod Dowhower,Rod Dowhower / Ron Meyer,2
CLT,1987,Ron Meyer,Ron Meyer,1
CLT,1988,Ron Meyer,Ron Meyer,1
CLT,1989,Ron Meyer,Ron Meyer,1
CLT,1990,Ron Meyer,Ron Meyer,1
CLT,1991,Ron Meyer,Rick Venturi / Ron Meyer,2
CLT,1992,Ted Marchibroda,Ted Marchibroda,1
CLT,1993,Ted Marchibroda,Ted Marchibroda,1
CLT,1994,Ted Marchibroda,Ted Marchibroda,1
CLT,1995,Ted Marchibroda,Ted Marchibroda,1
CLT,1996,Lindy Infante,Lindy Infante,1
CLT,1997,Lindy Infante,Lindy Infante,1
CLT,2002,Tony Dungy,Tony Dungy,1
CLT,2003,Tony Dungy,Tony Dungy,1
CLT,2004,Tony Dungy,Tony Dungy,1
CLT,2005,Tony Dungy,Tony Dungy,1
CLT,2006,Tony Dungy,Tony Dungy,1
CLT,2007,Tony Dungy,Tony Dungy,1
CLT,2008,Tony Dungy,Tony Dungy,1
CLT,2009,Jim Caldwell,Jim Caldwell,1
CLT,2010,Jim Caldwell,Jim Caldwell,1
CLT,2011,Jim Caldwell,Jim Caldwell,1
CLT,2012,Chuck Pagano,Chuck Pagano,1
CLT,2013,Chuck Pagano,Chuck Pagano,1
CLT,2014,Chuck Pagano,Chuck Pagano,1
CLT,2015,Chuck Pagano,Chuck Pagano,1
CLT,2016,Chuck Pagano,Chuck Pagano,1
CLT,2017,Chuck Pagano,Chuck Pagano,1
CLT,2018,Frank Reich,Frank Reich,1
CLT,2019,Frank Reich,Frank Reich,1
CLT,2020,Frank Reich,Frank Reich,1
CLT,2021,Frank Reich,Frank Reich,1
CLT,2022,Frank Reich,Frank Reich / Jeff Saturday,2
CLT,2023,Shane Steichen,Shane Steichen,1
CLT,2024,Shane Steichen,Shane Steichen,1
CRD,1994,Buddy Ryan,Buddy Ryan,1
CRD,1995,Buddy Ryan,Buddy Ryan,1
CRD,1996,Vince Tobin,Vince Tobin,1
CRD,1997,Vince Tobin,Vince Tobin,1
CRD,1998,Vince Tobin,Vince Tobin,1
CRD,1999,Vince Tobin,Vince Tobin,1
CRD,2000,Vince Tobin,Dave McGinnis / Vince Tobin,2
CRD,2001,Dave McGinnis,Dave McGinnis,1
CRD,2002,Dave McGinnis,Dave McGinnis,1
CRD,2003,Dave McGinnis,Dave McGinnis,1
CRD,2004,Dennis Green,Dennis Green,1
CRD,2005,Dennis Green,Dennis Green,1
CRD,2006,Dennis Green,Dennis Green,1
CRD,2007,Ken Whisenhunt,Ken Whisenhunt,1
CRD,2008,Ken Whisenhunt,Ken Whisenhunt,1
CRD,2009,Ken Whisenhunt,Ken Whisenhunt,1
CRD,2010,Ken Whisenhunt,Ken Whisenhunt,1
CRD,2011,Ken Whisenhunt,Ken Whisenhunt,1
CRD,2012,Ken Whisenhunt,Ken Whisenhunt,1
CRD,2013,Bruce Arians,Bruce Arians,1
CRD,2014,Bruce Arians,Bruce Arians,1
CRD,2015,Bruce Arians,Bruce Arians,1
CRD,2016,Bruce Arians,Bruce Arians,1
CRD,2017,Bruce Arians,Bruce Arians,1
CRD,2018,Steve Wilks,Steve Wilks,1
CRD,2019,Kliff Kingsbury,Kliff Kingsbury,1
CRD,2020,Kliff Kingsbury,Kliff Kingsbury,1
CRD,2021,Kliff Kingsbury,Kliff Kingsbury,1
CRD,2022,Kliff Kingsbury,Kliff Kingsbury,1
CRD,2023,Jonathan Gannon,Jonathan Gannon,1
CRD,2024,Jonathan Gannon,Jonathan Gannon,1
DAL,1970,Tom Landry,Tom Landry,1
DAL,1971,Tom Landry,Tom Landry,1
DAL,1972,Tom Landry,Tom Landry,1
DAL,1973,Tom Landry,Tom Landry,1
DAL,1974,Tom Landry,Tom Landry,1
DAL,1975,Tom Landry,Tom Landry,1
DAL,1976,Tom Landry,Tom Landry,1
DAL,1977,Tom Landry,Tom Landry,1
DAL,1978,Tom Landry,Tom Landry,1
DAL,1979,Tom Landry,Tom Landry,1
DAL,1980,Tom Landry,Tom Landry,1
DAL,1981,Tom Landry,Tom Landry,1
DAL,1982,Tom Landry,Tom Landry,1
DAL,1983,Tom Landry,Tom Landry,1
DAL,1984,Tom Landry,Tom Landry,1
DAL,1985,Tom Landry,Tom Landry,1
DAL,1986,Tom Landry,Tom Landry,1
DAL,1987,Tom Landry,Tom Landry,1
DAL,1988,Tom Landry,Tom Landry,1
DAL,1989,Jimmy Johnson,Jimmy Johnson,1
DAL,1990,Jimmy Johnson,Jimmy Johnson,1
DAL,1991,Jimmy Johnson,Jimmy Johnson,1
DAL,1992,Jimmy Johnson,Jimmy Johnson,1
DAL,1993,Jimmy Johnson,Jimmy Johnson,1
DAL,1994,Barry Switzer,Barry Switzer,1
DAL,1995,Barry Switzer,Barry Switzer,1
DAL,1996,Barry Switzer,Barry Switzer,1
DAL,1997,Barry Switzer,Barry Switzer,1
DAL,1998,Chan Gailey,Chan Gailey,1
DAL,1999,Chan Gailey,Chan Gailey,1
DAL,2000,Dave Campo,Dave Campo,1
DAL,2001,Dave Campo,Dave Campo,1
DAL,2002,Dave Campo,Dave Campo,1
DAL,2003,Bill Parcells,Bill Parcells,1
DAL,2004,Bill Parcells,Bill Parcells,1
DAL,2005,Bill Parcells,Bill Parcells,1
DAL,2006,Bill Parcells,Bill Parcells,1
DAL,2007,Wade Phillips,Wade Phillips,1
DAL,2008,Wade Phillips,Wade Phillips,1
DAL,2009,Wade Phillips,Wade Phillips,1
DAL,2010,Wade Phillips,Jason Garrett / Wade Phillips,2
DAL,2011,Jason Garrett,Jason Garrett,1
DAL,2012,Jason Garrett,Jason Garrett,1
DAL,2013,Jason Garrett,Jason Garrett,1
DAL,2014,Jason Garrett,Jason Garrett,1
DAL,2015,Jason Garrett,Jason Garrett,1
DAL,2016,Jason Garrett,Jason Garrett,1
DAL,2017,Jason Garrett,Jason Garrett,1
DAL,2018,Jason Garrett,Jason Garrett,1
DAL,2019,Jason Garrett,Jason Garrett,1
DAL,2020,Mike McCarthy,Mike McCarthy,1
DAL,2021,Mike McCarthy,Mike McCarthy,1
DAL,2022,Mike McCarthy,Mike McCarthy,1
DAL,2023,Mike McCarthy,Mike McCarthy,1
DAL,2024,Mike McCarthy,Mike McCarthy,1
DEN,1970,Lou Saban,Lou Saban,1
DEN,1971,Lou Saban,Jerry Smith / Lou Saban,2
DEN,1972,John Ralston,John Ralston,1
DEN,1973,John Ralston,John Ralston,1
DEN,1974,John Ralston,John Ralston,1
DEN,1975,John Ralston,John Ralston,1
DEN,1976,John Ralston,John Ralston,1
DEN,1977,Red Miller,Red Miller,1
DEN,1978,Red Miller,Red Miller,1
DEN,1979,Red Miller,Red Miller,1
DEN,1980,Red Miller,Red Miller,1
DEN,1981,Dan Reeves,Dan Reeves,1
DEN,1982,Dan Reeves,Dan Reeves,1
DEN,1983,Dan Reeves,Dan Reeves,1
DEN,1984,Dan Reeves,Dan Reeves,1
DEN,1985,Dan Reeves,Dan Reeves,1
DEN,1986,Dan Reeves,Dan Reeves,1
DEN,1987,Dan Reeves,Dan Reeves,1
DEN,1988,Dan Reeves,Dan Reeves,1
DEN,1989,Dan Reeves,Dan Reeves,1
DEN,1990,Dan Reeves,Dan Reeves,1
DEN,1991,Dan Reeves,Dan Reeves,1
DEN,1992,Dan Reeves,Dan Reeves,1
DEN,1993,Wade Phillips,Wade Phillips,1
DEN,1994,Wade Phillips,Wade Phillips,1
DEN,1995,Mike Shanahan,Mike Shanahan,1
DEN,1996,Mike Shanahan,Mike Shanahan,1
DEN,1997,Mike Shanahan,Mike Shanahan,1
DEN,1998,Mike Shanahan,Mike Shanahan,1
DEN,1999,Mike Shanahan,Mike Shanahan,1
DEN,2000,Mike Shanahan,Mike Shanahan,1
DEN,2001,Mike Shanahan,Mike Shanahan,1
DEN,2002,Mike Shanahan,Mike Shanahan,1
DEN,2003,Mike Shanahan,Mike Shanahan,1
DEN,2004,Mike Shanahan,Mike Shanahan,1
DEN,2005,Mike Shanahan,Mike Shanahan,1
DEN,2006,Mike Shanahan,Mike Shanahan,1
DEN,2007,Mike Shanahan,Mike Shanahan,1
DEN,2008,Mike Shanahan,Mike Shanahan,1
DEN,2009,Josh McDaniels,Josh McDaniels,1
DEN,2010,Josh McDaniels,Eric Studesville / Josh McDaniels,2
DEN,2011,John Fox,John Fox,1
DEN,2012,John Fox,John Fox,1
DEN,2013,John Fox,John Fox,1
DEN,2014,John Fox,John Fox,1
DEN,2015,Gary Kubiak,Gary Kubiak,1
DEN,2016,Gary Kubiak,Gary Kubiak,1
DEN,2017,Vance Joseph,Vance Joseph,1
DEN,2018,Vance Joseph,Vance Joseph,1
DEN,2019,Vic Fangio,Vic Fangio,1
DEN,2020,Vic Fangio,Vic Fangio,1
DEN,2021,Vic Fangio,Vic Fangio,1
DEN,2022,Jerry Rosburg,Jerry Rosburg / Nathaniel Hackett,2
DEN,2023,Sean Payton,Sean Payton,1
DEN,2024,Sean Payton,Sean Payton,1
DET,1970,Joe Schmidt,Joe Schmidt,1
DET,1971,Joe Schmidt,Joe Schmidt,1
DET,1972,Joe Schmidt,Joe Schmidt,1
DET,1973,Don McCafferty,Don McCafferty,1
DET,1974,Rick Forzano,Rick Forzano,1
DET,1975,Rick Forzano,Rick Forzano,1
DET,1976,Rick Forzano,Rick Forzano / Tommy Hudspeth,2
DET,1977,Tommy Hudspeth,Tommy Hudspeth,1
DET,1978,Monte Clark,Monte Clark,1
DET,1979,Monte Clark,Monte Clark,1
DET,1980,Monte Clark,Monte Clark,1
DET,1981,Monte Clark,Monte Clark,1
DET,1982,Monte Clark,Monte Clark,1
DET,1983,Monte Clark,Monte Clark,1
DET,1984,Monte Clark,Monte Clark,1
DET,1985,Darryl Rogers,Darryl Rogers,1
DET,1986,Darryl Rogers,Darryl Rogers,1
DET,1987,Darryl Rogers,Darryl Rogers,1
DET,1988,Darryl Rogers,Darryl Rogers / Wayne Fontes,2
DET,1989,Wayne Fontes,Wayne Fontes,1
DET,1990,Wayne Fontes,Wayne Fontes,1
DET,1991,Wayne Fontes,Wayne Fontes,1
DET,1992,Wayne Fontes,Wayne Fontes,1
DET,1993,Wayne Fontes,Wayne Fontes,1
DET,1994,Wayne Fontes,Wayne Fontes,1
DET,1995,Wayne Fontes,Wayne Fontes,1
DET,1996,Wayne Fontes,Wayne Fontes,1
DET,1997,Bobby Ross,Bobby Ross,1
DET,1998,Bobby Ross,Bobby Ross,1
DET,1999,Bobby Ross,Bobby Ross,1
DET,2000,Bobby Ross,Bobby Ross / Gary Moeller,2
DET,2001,Marty Mornhinweg,Marty Mornhinweg,1
DET,2002,Marty Mornhinweg,Marty Mornhinweg,1
DET,2003,Steve Mariucci,Steve Mariucci,1
DET,2004,Steve Mariucci,Steve Mariucci,1
DET,2005,Steve Mariucci,Dick Jauron / Steve Mariucci,2
DET,2006,Rod Marinelli,Rod Marinelli,1
DET,2007,Rod Marinelli,Rod Marinelli,1
DET,2008,Rod Marinelli,Rod Marinelli,1
DET,2009,Jim Schwartz,Jim Schwartz,1
DET,2010,Jim Schwartz,Jim Schwartz,1
DET,2011,Jim Schwartz,Jim Schwartz,1
DET,2012,Jim Schwartz,Jim Schwartz,1
DET,2013,Jim Schwartz,Jim Schwartz,1
DET,2014,Jim Caldwell,Jim Caldwell,1
DET,2015,Jim Caldwell,Jim Caldwell,1
DET,2016,Jim Caldwell,Jim Caldwell,1
DET,2017,Jim Caldwell,Jim Caldwell,1
DET,2018,Matt Patricia,Matt Patricia,1
DET,2019,Matt Patricia,Matt Patricia,1
DET,2020,Matt Patricia,Darrell Bevell / Matt Patricia,2
DET,2021,Dan Campbell,Dan Campbell,1
DET,2022,Dan Campbell,Dan Campbell,1
DET,2023,Dan Campbell,Dan Campbell,1
DET,2024,Dan Campbell,Dan Campbell,1
GNB,1970,Phil Bengtson,Phil Bengtson,1
GNB,1971,Dan Devine,Dan Devine,1
GNB,1972,Dan Devine,Dan Devine,1
GNB,1973,Dan Devine,Dan Devine,1
GNB,1974,Dan Devine,Dan Devine,1
