Team,OFF,QB,RB,WR,TE,OL,DEF,DL,LB,SEC,SPT,K,P,LS,Total,Year,Scraped_Date
TEN,70.66M,7.73M,9.61M,16.60M,10.98M,25.20M,73.45M,17.00M,24.67M,31.78M,6.24M,2.47M,2.70M,1.07M,150.46M,2016,2025-08-15 15:18:49
JAX,68.38M,10.86M,6.37M,14.52M,12.67M,24.56M,78.12M,40.75M,12.11M,25.26M,3.35M,0.53M,2.15M,0.68M,150.46M,2016,2025-08-15 15:18:49
SEA,62.69M,19.02M,8.52M,13.62M,12.79M,9.10M,80.72M,23.05M,16.51M,41.18M,5.78M,3.53M,1.60M,0.65M,150.30M,2016,2025-08-15 15:18:49
DET,85.02M,23.62M,5.62M,31.28M,7.85M,17.96M,57.23M,19.02M,16.43M,21.78M,5.43M,3.18M,1.22M,1.04M,149.72M,2016,2025-08-15 15:18:49
LAR,69.09M,16.45M,6.64M,17.12M,8.37M,19.47M,75.11M,24.97M,22.80M,27.34M,4.50M,1.25M,2.37M,0.88M,149.66M,2016,2025-08-15 15:18:49
CHI,82.49M,20.20M,2.68M,23.22M,5.79M,30.63M,62.96M,11.18M,36.09M,15.69M,2.86M,1.70M,0.63M,0.53M,148.32M,2016,2025-08-15 15:18:49
NE,80.07M,15.25M,4.60M,19.03M,14.56M,26.64M,60.26M,12.85M,29.87M,17.65M,6.39M,4.10M,1.70M,0.59M,147.67M,2016,2025-08-15 15:18:49
DEN,65.26M,7.01M,8.57M,24.73M,7.15M,17.46M,78.80M,15.11M,29.41M,34.27M,3.04M,0.60M,1.22M,1.22M,147.21M,2016,2025-08-15 15:18:49
NO,67.68M,18.83M,9.54M,7.96M,6.27M,24.71M,73.39M,14.99M,28.23M,30.17M,4.48M,0.54M,3.05M,0.89M,146.29M,2016,2025-08-15 15:18:49
WAS,84.87M,22.24M,2.49M,26.01M,8.43M,26.14M,58.14M,17.96M,16.81M,23.37M,2.67M,0.60M,0.85M,1.22M,146.12M,2016,2025-08-15 15:18:49
CAR,80.70M,22.31M,13.56M,9.37M,8.34M,26.10M,50.18M,21.15M,17.92M,11.10M,7.89M,4.04M,2.83M,1.03M,139.23M,2016,2025-08-15 15:18:49
SF,66.36M,20.26M,3.23M,15.67M,5.49M,22.16M,61.51M,15.98M,25.32M,20.21M,5.18M,3.13M,1.07M,0.97M,134.00M,2016,2025-08-15 15:18:49
CLE,57.02M,16.05M,3.23M,13.91M,4.11M,21.73M,67.59M,14.86M,17.89M,34.84M,3.04M,0.82M,1.70M,0.53M,130.22M,2016,2025-08-15 15:18:49
