Team,OFF,QB,RB,WR,TE,OL,DEF,DL,LB,SEC,SPT,K,P,LS,Total,Year,Scraped_Date
CLE,52.29M,4.50M,7.80M,7.83M,7.20M,24.40M,58.86M,22.63M,19.62M,27.06M,5.54M,3.81M,1.34M,0.39M,127.13M,2012,2025-08-15 15:18:14
SEA,61.76M,5.29M,9.38M,14.15M,8.59M,23.74M,54.65M,26.10M,19.56M,13.92M,3.76M,1.96M,1.31M,0.49M,126.99M,2012,2025-08-15 15:18:14
JAX,63.81M,6.04M,9.75M,11.68M,10.35M,19.16M,58.46M,24.54M,16.33M,17.69M,3.59M,1.94M,0.62M,1.03M,126.08M,2012,2025-08-15 15:18:14
HOU,64.57M,14.10M,9.95M,12.95M,6.16M,20.03M,57.11M,19.86M,18.95M,19.84M,2.57M,1.07M,0.89M,0.60M,126.01M,2012,2025-08-15 15:18:14
SD,62.77M,16.57M,8.95M,11.28M,8.47M,23.80M,45.70M,14.61M,14.83M,20.42M,4.69M,2.54M,1.61M,0.54M,125.99M,2012,2025-08-15 15:18:14
CHI,62.63M,13.68M,10.84M,18.42M,6.07M,13.17M,47.19M,20.74M,21.57M,14.58M,5.68M,2.94M,1.68M,1.06M,125.65M,2012,2025-08-15 15:18:14
PIT,53.13M,10.04M,5.97M,11.24M,8.56M,17.38M,66.15M,16.80M,26.53M,24.75M,3.40M,2.08M,0.39M,0.93M,125.06M,2012,2025-08-15 15:18:14
NYG,51.46M,10.14M,8.67M,5.57M,4.37M,23.16M,62.92M,25.66M,13.72M,28.93M,4.19M,1.60M,1.48M,1.11M,124.97M,2012,2025-08-15 15:18:14
MIA,62.81M,7.32M,8.17M,13.52M,6.32M,29.02M,52.87M,18.34M,21.54M,12.99M,5.25M,2.86M,1.40M,0.99M,122.86M,2012,2025-08-15 15:18:14
GB,57.10M,9.05M,3.18M,21.41M,4.37M,16.68M,60.15M,14.68M,19.29M,26.99M,4.06M,2.40M,0.78M,0.88M,122.11M,2012,2025-08-15 15:18:14
IND,52.15M,16.24M,8.07M,7.42M,9.23M,10.80M,61.03M,9.71M,32.55M,22.18M,4.91M,3.20M,1.32M,0.39M,121.50M,2012,2025-08-15 15:18:14
STL,62.28M,16.53M,10.88M,7.34M,2.33M,27.45M,52.14M,29.47M,5.46M,17.77M,2.08M,1.22M,0.39M,0.47M,119.57M,2012,2025-08-15 15:18:14
NO,47.46M,11.40M,9.43M,11.86M,2.98M,23.17M,51.22M,12.81M,22.63M,19.80M,4.01M,1.45M,2.02M,0.54M,118.50M,2012,2025-08-15 15:18:14
CIN,49.01M,3.19M,4.40M,10.32M,3.42M,25.63M,61.15M,21.48M,10.68M,31.59M,5.42M,2.76M,1.31M,1.36M,118.19M,2012,2025-08-15 15:18:14
ARI,62.92M,11.66M,7.14M,20.40M,5.31M,17.90M,50.21M,15.81M,14.76M,20.97M,3.34M,1.25M,1.00M,1.09M,117.80M,2012,2025-08-15 15:18:14
PHI,65.47M,18.65M,4.47M,11.61M,5.41M,25.28M,48.94M,15.07M,13.50M,20.56M,2.33M,0.57M,0.83M,0.93M,117.41M,2012,2025-08-15 15:18:14
MIN,51.29M,3.81M,14.74M,9.35M,6.01M,16.61M,59.81M,34.11M,11.91M,13.88M,5.65M,3.04M,1.63M,0.98M,116.84M,2012,2025-08-15 15:18:14
WAS,56.05M,5.65M,3.24M,15.03M,7.97M,28.14M,51.66M,19.20M,9.16M,23.87M,2.91M,0.52M,1.85M,0.54M,116.43M,2012,2025-08-15 15:18:14
TEN,70.70M,10.93M,13.64M,10.60M,4.29M,30.24M,37.89M,7.49M,17.97M,14.19M,5.31M,3.68M,1.24M,0.40M,115.65M,2012,2025-08-15 15:18:14
OAK,39.97M,3.70M,11.44M,12.23M,2.31M,9.14M,61.15M,22.35M,15.81M,23.89M,11.07M,4.50M,5.29M,1.28M,113.09M,2012,2025-08-15 15:18:14
OAK,-,-,-,-,-,0.15M,-,-,-,-,-,-,-,-,0.15M,2012,2025-08-15 15:18:14
