No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Team,Year,Scraped_Date
3,Garrett Gilbert,28,QB,5,0,230,6-4,"Texas,SMU",1/1/1991,1,0,St. Louis Rams / 6th / 214th pick /2014,"$570,000",CLE,2019,2025-08-15 13:51:07
7,Jamie Gillan,22,P,16,0,207,6-1,Ark-Pine Bluff,7/4/1997,Rook,2,,"$495,000",CLE,2019,2025-08-15 13:51:07
97,Porter Gustin,22,DE,6,0,260,6-5,USC,2/8/1997,Rook,1,,,CLE,2019,2025-08-15 13:51:07
88,Demetrius Harris,28,TE,15,6,230,6-7,Wisconsin–Milwaukee,7/29/1991,5,1,,"$1,250,000",CLE,2019,2025-08-15 13:51:07
56,Willie Harvey,23,LB,2,0,230,5-11,Iowa St.,1/9/1996,Rook,0,,,CLE,2019,2025-08-15 13:51:07
49,J.T. Hassell,24,LB,4,0,199,5-11,Florida Tech,8/14/1995,Rook,0,,,CLE,2019,2025-08-15 13:51:07
81,Rashard Higgins,25,WR,10,1,198,6-1,Colorado St.,10/7/1994,3,0,Cleveland Browns / 5th / 172nd pick /2016,"$2,025,000",CLE,2019,2025-08-15 13:51:07
25,Dontrell Hilliard,24,RB,14,0,202,5-11,Tulane,2/26/1995,1,1,,"$570,000",CLE,2019,2025-08-15 13:51:07
12,KhaDarel Hodge,24,WR,16,1,210,6-2,"Alcorn St.,Hinds CC,Prairie View A&M",1/3/1995,1,1,,,CLE,2019,2025-08-15 13:51:07
74,Chris Hubbard,28,RT,14,13,295,6-4,Ala-Birmingham,4/23/1991,5,6,,"$6,150,000",CLE,2019,2025-08-15 13:51:07
47,Charley Hughlett,29,LS,16,0,251,6-4,Central Florida,5/16/1990,4,1,,"$805,000",CLE,2019,2025-08-15 13:51:07
27,Kareem Hunt,24,RB,8,3,216,5-11,Toledo,8/6/1995,2,3,Kansas City Chiefs / 3rd / 86th pick /2017,"$645,000",CLE,2019,2025-08-15 13:51:07
34,Robert Jackson,26,DB,6,0,207,6-2,UNLV,12/8/1993,Rook,0,,"$495,000",CLE,2019,2025-08-15 13:51:07
40,Malik Jefferson,23,LB,9,0,241,6-2,Texas,11/15/1996,1,1,Cincinnati Bengals / 3rd / 78th pick /2018,,CLE,2019,2025-08-15 13:51:07
30,D'Ernest Johnson,23,RB,16,0,208,5-10,South Florida,2/27/1996,1,1,,"$495,000",CLE,2019,2025-08-15 13:51:07
58,Christian Kirksey,27,LB,2,2,235,6-2,Iowa,8/31/1992,5,1,Cleveland Browns / 3rd / 71st pick /2014,"$7,000,000",CLE,2019,2025-08-15 13:51:07
72,Eric Kush,30,RG,16,7,317,6-4,California (PA),9/9/1989,6,4,Kansas City Chiefs / 6th / 170th pick /2013,"$1,100,000",CLE,2019,2025-08-15 13:51:07
70,Kendall Lamm,27,T,4,2,305,6-6,Appalachian St.,6/5/1992,4,1,,"$1,200,000",CLE,2019,2025-08-15 13:51:07
80,Jarvis Landry,27,WR,16,16,196,5-11,LSU,11/28/1992,5,10,Miami Dolphins / 2nd / 63rd pick /2014,"$12,500,000",CLE,2019,2025-08-15 13:51:07
99,Devaroe Lawrence,27,DT,11,2,295,6-2,Auburn,10/13/1992,1,2,,"$570,000",CLE,2019,2025-08-15 13:51:07
6,Baker Mayfield,24,QB,16,16,215,6-1,Oklahoma,4/14/1995,1,11,Cleveland Browns / 1st / 1st pick /2018,"$570,000",CLE,2019,2025-08-15 13:51:07
67,Justin McCray,27,G,15,4,320,6-3,Central Florida,5/31/1992,2,3,,,CLE,2019,2025-08-15 13:51:07
52,Rob McCray,23,LB,1,0,280,6-2,Indiana,3/24/1996,1,0,,,CLE,2019,2025-08-15 13:51:07
39,Terrance Mitchell,27,DB,15,4,191,5-11,Oregon,5/17/1992,4,2,Dallas Cowboys / 7th / 254th pick /2014,"$2,500,000",CLE,2019,2025-08-15 13:51:07
22,Eric Murray,25,DB,9,4,199,5-11,Minnesota,1/7/1994,3,2,Kansas City Chiefs / 4th / 106th pick /2016,"$2,015,500",CLE,2019,2025-08-15 13:51:07
85,David Njoku,23,TE,4,1,246,6-4,Miami (FL),7/10/1996,2,0,Cleveland Browns / 1st / 29th pick /2017,"$1,330,918",CLE,2019,2025-08-15 13:51:07
65,Larry Ogunjobi,25,LDT,15,15,305,6-2,Charlotte,6/3/1994,2,7,Cleveland Browns / 3rd / 65th pick /2017,"$820,200",CLE,2019,2025-08-15 13:51:07
23,Damarious Randall,27,SS,11,11,196,5-11,"Butler (KS),Arizona St.",8/29/1992,4,4,Green Bay Packers / 1st / 30th pick /2015,"$9,069,000",CLE,2019,2025-08-15 13:51:07
18,Damion Ratley,24,WR,13,3,200,6-2,Texas A&M,4/16/1995,1,2,Cleveland Browns / 6th / 175th pick /2018,"$570,000",CLE,2019,2025-08-15 13:51:07
29,Sheldrick Redwine,23,FS,12,5,196,6-0,Miami (FL),11/6/1996,Rook,2,Cleveland Browns / 4th / 119th pick /2019,"$800,000",CLE,2019,2025-08-15 13:51:07
98,Sheldon Richardson,29,RDT,16,15,290,6-3,Missouri,11/29/1990,6,8,New York Jets / 1st / 13th pick /2013,"$8,000,000",CLE,2019,2025-08-15 13:51:07
78,Greg Robinson,27,LT,15,14,330,6-5,Auburn,10/21/1992,5,6,St. Louis Rams / 1st / 2nd pick /2014,"$5,500,000",CLE,2019,2025-08-15 13:51:07
53,Joe Schobert,26,MLB,16,16,240,6-1,Wisconsin,11/6/1993,3,9,Cleveland Browns / 4th / 99th pick /2016,"$2,025,000",CLE,2019,2025-08-15 13:51:07
83,Ricky Seals-Jones,24,WR,14,3,243,6-5,Texas A&M,3/15/1995,2,2,,,CLE,2019,2025-08-15 13:51:07
4,Austin Seibert,23,K,16,0,200,5-9,Oklahoma,11/15/1996,Rook,3,Cleveland Browns / 5th / 170th pick /2019,"$495,000",CLE,2019,2025-08-15 13:51:07
50,Chris Smith,27,DE,9,0,266,6-1,Arkansas,2/11/1992,5,1,Jacksonville Jaguars / 5th / 159th pick /2014,"$2,750,000",CLE,2019,2025-08-15 13:51:07
44,Sione Takitaki,24,LB,15,1,245,6-1,BYU,6/8/1995,Rook,2,Cleveland Browns / 3rd / 80th pick /2019,"$495,000",CLE,2019,2025-08-15 13:51:07
57,Adarius Taylor,29,LB,15,0,230,6-0,"Eastern Arizona,Florida Atlantic",9/21/1990,5,1,,"$1,350,000",CLE,2019,2025-08-15 13:51:07
10,Taywan Taylor,24,WR,3,1,203,5-11,Western Kentucky,3/2/1995,2,0,Tennessee Titans / 3rd / 72nd pick /2017,,CLE,2019,2025-08-15 13:51:07
77,Wyatt Teller,25,RG,15,9,315,6-4,Virginia Tech,11/21/1994,1,4,Buffalo Bills / 5th / 166th pick /2018,,CLE,2019,2025-08-15 13:51:07
92,Chad Thomas,24,LDE,16,8,278,6-5,Miami (FL),10/12/1995,1,5,Cleveland Browns / 3rd / 67th pick /2018,"$665,000",CLE,2019,2025-08-15 13:51:07
20,Tavierre Thomas,23,DB,16,0,205,5-10,Ferris St.,3/11/1996,1,1,,"$570,000",CLE,2019,2025-08-15 13:51:07
64,J.C. Tretter,28,C,16,16,307,6-4,Cornell,2/12/1991,5,7,Green Bay Packers / 4th / 122nd pick /2013,"$5,500,000",CLE,2019,2025-08-15 13:51:07
54,Olivier Vernon,29,RDE,10,10,262,6-2,Miami (FL),10/7/1990,7,5,Miami Dolphins / 3rd / 72nd pick /2012,"$15,250,000",CLE,2019,2025-08-15 13:51:07
21,Denzel Ward,22,LCB,12,12,190,5-11,Ohio St.,4/28/1997,1,5,Cleveland Browns / 1st / 4th pick /2018,"$1,805,698",CLE,2019,2025-08-15 13:51:07
35,Jermaine Whitehead,26,DB,8,8,195,5-11,Auburn,3/12/1993,3,3,,"$645,000",CLE,2019,2025-08-15 13:51:07
26,Greedy Williams,22,RCB,12,12,185,6-2,LSU,12/3/1997,Rook,4,Cleveland Browns / 2nd / 46th pick /2019,"$495,000",CLE,2019,2025-08-15 13:51:07
51,Mack Wilson,21,RLB,16,14,240,6-1,Alabama,2/14/1998,Rook,7,Cleveland Browns / 5th / 155th pick /2019,"$495,000",CLE,2019,2025-08-15 13:51:07
99,Justin Zimmer,27,DT,2,0,300,6-3,Ferris St.,10/23/1992,1,0,,,CLE,2019,2025-08-15 13:51:07
