Coach,Background,Has_OC_Data,Has_DC_Data,Total_Seasons
Frank Kush,Other,False,False,6
Blanton Collier,Other,False,False,1
Marc Trestman,Offensive,True,False,2
Rich Brooks,Other,False,False,2
Jim Haslett,Defensive,False,True,6
John Mackovic,Other,False,False,4
Abe Gibron,Other,False,False,3
Mike Munchak,Other,False,False,3
John Mazur,Both,True,True,5
Mike Nolan,Defensive,False,True,4
Les Steckel,Other,False,False,1
Dan Henning,Other,False,False,7
Jim Schwartz,Defensive,False,True,5
Joe Bugel,Offensive,True,False,5
Dick LeBeau,Defensive,False,True,2
Ed Hughes,Other,False,False,1
Joe Judge,Other,False,False,2
Freddie Kitchens,Offensive,True,False,1
Chris Palmer,Offensive,True,False,2
Dave McGinnis,Defensive,False,True,3
Rob Chudzinski,Offensive,True,False,1
Tommy Hudspeth,Other,False,False,1
Mike Singletary,Other,False,False,2
Lane Kiffin,Other,False,False,2
Steve Spagnuolo,Defensive,False,True,3
Gus Bradley,Defensive,False,True,4
Gunther Cunningham,Defensive,False,True,2
Harland Svare,Defensive,False,True,5
Nathaniel Hackett,Offensive,True,False,1
Rod Dowhower,Offensive,True,False,5
John Rauch,Other,False,False,1
Bill Arnsparger,Defensive,False,True,2
June Jones,Offensive,True,False,3
Scott Linehan,Offensive,True,False,3
Jim Ringo,Other,False,False,1
Steve Wilks,Defensive,False,True,1
Bud Wilkinson,Other,False,False,2
Bud Carson,Defensive,False,True,2
Bobby Petrino,Offensive,True,False,1
Jerod Mayo,Other,False,False,1
Bill Peterson,Other,False,False,2
Bill Austin,Other,False,False,1
Clive Rush,Other,False,False,1
Ken Meyer,Offensive,True,False,1
Paul Wiggin,Defensive,False,True,3
J.D. Roberts,Other,False,False,6
Richard Williamson,Other,False,False,1
Matt Eberflus,Defensive,False,True,3
Wally Lemm,Other,False,False,1
Harvey Johnson,Other,False,False,1
Jim Zorn,Other,False,False,2
Marty Mornhinweg,Offensive,True,False,2
Pete McCulley,Other,False,False,1
Brian Callahan,Offensive,True,False,1
Hugh Campbell,Other,False,False,2
Pat Shurmur,Offensive,True,False,4
Ed Khayat,Other,False,False,1
Richie Petitbon,Defensive,False,True,1
Rod Rust,Defensive,False,True,1
Urban Meyer,Other,False,False,1
Hank Bullough,Defensive,False,True,4
David Culley,Other,False,False,1
Cam Cameron,Offensive,True,False,1
Homer Rice,Other,False,False,1
