Team,PFR_Team,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,OFF,DEF,Year,Scraped_Date
PHI,phi,16.58,14.42,8.55,6.48,35.04,81.07,20.72,21.89,24.09,66.7,0.68,2.21,1.27,4.16,151.96,80.00M,66.69M,2016,2025-08-15 15:18:49
PIT,pit,25.78,5.1,17.08,7.43,28.56,83.95,14.33,31.1,18.59,64.02,1.72,0.53,0.68,2.93,151.42,83.65M,64.01M,2016,2025-08-15 15:18:49
MIA,mia,13.38,2.83,8.09,10.78,30.42,65.5,41.17,11.68,29.97,82.82,0.56,1.3,1.22,3.08,151.39,65.46M,82.81M,2016,2025-08-15 15:18:49
BAL,rav,24.16,6.25,15.43,7.69,21.38,74.91,8.12,26.37,33.27,67.76,3.5,3.1,0.94,7.539999999999999,150.96,74.40M,67.76M,2016,2025-08-15 15:18:49
TEN,oti,7.73,9.61,16.6,10.98,25.2,70.12,17.0,24.67,31.78,73.45,2.47,2.7,1.07,6.24,150.46,70.66M,73.45M,2016,2025-08-15 15:18:49
JAX,jax,10.86,6.37,14.52,12.67,24.56,68.98,40.75,12.11,25.26,78.12,0.53,2.15,0.68,3.36,150.46,68.38M,78.12M,2016,2025-08-15 15:18:49
SEA,sea,19.02,8.52,13.62,12.79,9.1,63.05,23.05,16.51,41.18,80.74000000000001,3.53,1.6,0.65,5.78,150.3,62.69M,80.72M,2016,2025-08-15 15:18:49
DET,det,23.62,5.62,31.28,7.85,17.96,86.33000000000001,19.02,16.43,21.78,57.230000000000004,3.18,1.22,1.04,5.44,149.72,85.02M,57.23M,2016,2025-08-15 15:18:49
LAR,ram,16.45,6.64,17.12,8.37,19.47,68.05,24.97,22.8,27.34,75.11,1.25,2.37,0.88,4.5,149.66,69.09M,75.11M,2016,2025-08-15 15:18:49
CHI,chi,20.2,2.68,23.22,5.79,30.63,82.52,11.18,36.09,15.69,62.96,1.7,0.63,0.53,2.8600000000000003,148.32,82.49M,62.96M,2016,2025-08-15 15:18:49
NE,nwe,15.25,4.6,19.03,14.56,26.64,80.08000000000001,12.85,29.87,17.65,60.37,4.1,1.7,0.59,6.39,147.67,80.07M,60.26M,2016,2025-08-15 15:18:49
DEN,den,7.01,8.57,24.73,7.15,17.46,64.92,15.11,29.41,34.27,78.78999999999999,0.6,1.22,1.22,3.04,147.21,65.26M,78.80M,2016,2025-08-15 15:18:49
NO,nor,18.83,9.54,7.96,6.27,24.71,67.31,14.99,28.23,30.17,73.39,0.54,3.05,0.89,4.4799999999999995,146.29,67.68M,73.39M,2016,2025-08-15 15:18:49
WAS,was,22.24,2.49,26.01,8.43,26.14,85.31,17.96,16.81,23.37,58.14,0.6,0.85,1.22,2.67,146.12,84.87M,58.14M,2016,2025-08-15 15:18:49
CAR,car,22.31,13.56,9.37,8.34,26.1,79.68,21.15,17.92,11.1,50.17,4.04,2.83,1.03,7.9,139.23,80.70M,50.18M,2016,2025-08-15 15:18:49
SF,sfo,20.26,3.23,15.67,5.49,22.16,66.81,15.98,25.32,20.21,61.51,3.13,1.07,0.97,5.17,134.0,66.36M,61.51M,2016,2025-08-15 15:18:49
CLE,cle,16.05,3.23,13.91,4.11,21.73,59.03,14.86,17.89,34.84,67.59,0.82,1.7,0.53,3.05,130.22,57.02M,67.59M,2016,2025-08-15 15:18:49
