Team,PFR_Team,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,Year,Scraped_Date
PIT,pit,15.39,4.08,11.29,9.47,14.33,54.559999999999995,13.78,27.55,26.08,67.41,1.8,0.59,0.62,3.0100000000000002,125.46,2013,2025-08-15 15:18:22
STL,ram,13.39,2.64,5.93,5.87,26.43,54.260000000000005,23.83,16.86,27.22,67.91,0.51,0.48,0.66,1.65,124.33,2013,2025-08-15 15:18:22
BAL,rav,7.38,6.83,10.63,4.52,22.96,52.32000000000001,20.27,25.53,17.21,63.01,2.28,2.5,0.76,5.539999999999999,124.11,2013,2025-08-15 15:18:22
NO,nor,18.25,9.16,11.82,4.05,18.39,61.67,9.9,23.62,23.2,56.72,2.32,1.95,0.76,5.029999999999999,124.06,2013,2025-08-15 15:18:22
NE,nwe,14.6,4.29,14.95,7.3,23.12,64.26,19.96,17.05,17.8,54.81,3.4,0.45,0.56,4.41,124.04,2013,2025-08-15 15:18:22
HOU,htx,11.76,10.13,17.62,7.16,18.84,65.51,15.73,12.16,26.95,54.84,0.45,1.33,0.69,2.4699999999999998,123.83,2013,2025-08-15 15:18:22
NYJ,nyj,15.62,4.35,13.08,4.21,21.66,58.92,8.1,25.26,28.47,61.83,0.62,0.42,0.7,1.74,122.96,2013,2025-08-15 15:18:22
ATL,atl,9.9,7.95,17.72,7.15,18.23,60.95,16.4,17.22,22.74,56.36,2.96,0.58,0.48,4.02,122.21,2013,2025-08-15 15:18:22
SF,sfo,2.47,9.01,18.67,10.13,17.61,57.89,12.37,17.87,25.28,55.52,2.92,4.08,0.63,7.63,122.18,2013,2025-08-15 15:18:22
OAK,rai,13.89,11.78,10.27,3.59,11.04,50.57,27.7,16.35,17.57,61.62,5.06,0.46,1.13,6.6499999999999995,121.16,2013,2025-08-15 15:18:22
GB,gnb,12.81,2.74,10.1,11.57,18.48,55.7,17.97,20.55,19.58,58.099999999999994,2.35,1.11,0.82,4.28,120.68,2013,2025-08-15 15:18:22
SD,sdg,16.0,5.17,17.95,8.96,20.29,68.37,6.85,19.97,16.52,43.34,1.13,3.79,0.74,5.66,120.45,2013,2025-08-15 15:18:22
JAX,jax,8.48,9.06,17.67,7.52,18.08,60.81,20.9,17.67,14.87,53.44,3.29,0.68,0.59,4.5600000000000005,120.19,2013,2025-08-15 15:18:22
ARI,crd,12.22,6.27,15.62,5.06,23.18,62.35,22.35,15.15,15.37,52.87,2.05,1.58,1.09,4.72,120.05,2013,2025-08-15 15:18:22
DET,det,21.56,5.15,17.87,7.45,14.49,66.52,27.64,12.08,10.85,50.57,0.62,0.45,0.62,1.69,119.77,2013,2025-08-15 15:18:22
DAL,dal,13.89,2.28,7.62,6.03,21.45,51.27,10.61,30.4,21.61,62.62,0.56,0.56,0.99,2.1100000000000003,116.24,2013,2025-08-15 15:18:22
BUF,buf,8.57,8.33,11.1,4.97,15.53,48.5,32.88,7.38,22.26,62.52000000000001,1.83,0.53,1.06,3.4200000000000004,115.15,2013,2025-08-15 15:18:22
MIA,mia,5.87,1.93,9.97,6.01,20.3,44.08,29.14,13.6,21.88,64.62,0.78,1.65,1.09,3.5199999999999996,112.35,2013,2025-08-15 15:18:22
CAR,car,7.52,9.37,11.79,4.88,18.18,51.74,18.24,19.42,15.08,52.739999999999995,2.75,0.5,0.87,4.12,110.9,2013,2025-08-15 15:18:22
CLE,cle,5.06,6.37,6.19,2.03,25.18,44.83,25.62,21.41,15.67,62.7,0.98,0.41,1.06,2.45,110.07,2013,2025-08-15 15:18:22
WAS,was,6.03,2.36,19.87,5.14,23.12,56.519999999999996,17.18,16.89,13.08,47.15,0.56,0.88,1.29,2.73,107.39,2013,2025-08-15 15:18:22
