Team,PFR_Team,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,Year,Scraped_Date
LAR,ram,29.77,13.96,38.31,12.71,23.12,117.87,35.05,17.37,19.47,71.89,1.05,4.69,1.11,6.8500000000000005,196.61,2020,2025-08-15 15:24:23
LAC,sdg,13.08,7.69,21.37,16.25,34.93,93.32,46.44,20.73,32.99,100.16,0.76,0.76,0.83,2.35,195.83,2020,2025-08-15 15:24:23
DEN,den,17.83,9.86,9.49,8.57,25.52,71.27,24.45,43.76,48.33,116.53999999999999,4.81,1.53,0.61,6.95,195.78,2020,2025-08-15 15:24:23
MIN,min,21.87,7.16,28.26,11.57,24.38,93.24000000000001,29.77,26.92,38.26,94.94999999999999,2.28,1.82,0.98,5.08,195.03,2020,2025-08-15 15:24:23
PIT,pit,25.94,4.24,7.98,8.49,37.13,83.78,32.35,39.33,30.49,102.17,2.76,1.86,1.14,5.76,194.67,2020,2025-08-15 15:24:23
ARI,crd,9.58,17.28,23.6,6.07,29.39,85.92,14.82,54.06,32.49,101.37,3.69,2.01,1.17,6.869999999999999,194.16,2020,2025-08-15 15:24:23
NO,nor,35.59,10.12,16.0,13.54,32.79,108.03999999999999,31.7,16.94,26.43,75.07,4.2,4.87,1.0,10.07,194.08,2020,2025-08-15 15:24:23
WAS,was,30.03,5.83,12.61,7.94,40.42,96.83,38.66,14.87,35.53,89.06,3.44,2.6,1.2,7.24,193.14,2020,2025-08-15 15:24:23
NYG,nyg,9.23,12.96,24.93,10.61,36.51,94.24000000000001,25.0,29.95,35.1,90.05000000000001,3.23,2.79,1.09,7.109999999999999,192.62,2020,2025-08-15 15:24:23
DAL,dal,35.87,12.92,18.42,6.61,34.35,108.17000000000002,35.73,19.62,22.02,77.36999999999999,1.97,2.74,0.89,5.6,191.28,2020,2025-08-15 15:24:23
BAL,rav,6.06,8.16,13.24,12.3,28.0,67.76,33.49,28.34,49.67,111.5,5.1,2.19,1.42,8.709999999999999,190.99,2020,2025-08-15 15:24:23
NE,nwe,16.38,11.91,22.96,2.95,39.48,93.68,23.21,8.28,56.36,87.85,2.42,0.75,1.08,4.25,186.65,2020,2025-08-15 15:24:23
JAX,jax,21.5,8.94,16.75,7.15,33.8,88.13999999999999,28.34,34.02,26.59,88.95,4.83,0.89,0.61,6.33,184.29,2020,2025-08-15 15:24:23
NYJ,nyj,10.91,17.81,33.47,5.33,30.58,98.1,22.51,27.27,31.17,80.95,1.07,0.65,0.95,2.67,182.5,2020,2025-08-15 15:24:23
