Team,PFR_Team,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,Year,Scraped_Date
DEN,den,66.11,7.43,20.92,7.37,45.61,147.44,32.6,30.88,32.83,96.31,4.09,2.04,0.99,7.12,252.14,2024,2025-08-15 15:16:57
JAX,jax,19.12,7.74,45.02,11.35,51.43,134.66,30.78,47.2,34.65,112.63,0.85,2.62,1.31,4.78,252.09,2024,2025-08-15 15:16:57
BAL,rav,34.07,11.93,17.89,19.4,41.02,124.31,20.06,30.92,64.72,115.7,4.08,1.16,1.46,6.7,251.87,2024,2025-08-15 15:16:57
GB,gnb,22.46,22.13,8.82,5.6,49.09,108.10000000000001,65.1,13.79,60.77,139.66,1.29,0.92,1.33,3.54,251.59,2024,2025-08-15 15:16:57
PHI,phi,19.86,6.66,26.47,13.42,55.32,121.72999999999999,33.23,47.54,41.16,121.92999999999999,4.57,1.34,1.04,6.95,250.87,2024,2025-08-15 15:16:57
IND,clt,14.06,13.34,28.26,12.98,69.27,137.91,51.98,25.92,24.57,102.47,6.01,2.51,1.43,9.95,250.32,2024,2025-08-15 15:16:57
KC,kan,39.79,6.26,28.25,25.91,61.43,161.64,41.57,12.42,28.45,82.44,3.94,0.87,1.15,5.959999999999999,250.03,2024,2025-08-15 15:16:57
CLE,cle,31.78,11.58,22.84,14.25,53.39,133.84,52.84,11.85,43.4,108.09,3.06,1.56,1.96,6.58,248.71,2024,2025-08-15 15:16:57
PIT,pit,13.94,8.85,16.9,7.61,47.65,94.94999999999999,37.4,58.77,47.68,143.85,4.72,3.03,1.16,8.91,247.81,2024,2025-08-15 15:16:57
SF,sfo,10.67,11.67,27.69,16.47,43.01,109.50999999999999,53.73,30.53,43.98,128.23999999999998,1.94,2.4,1.3,5.64,247.0,2024,2025-08-15 15:16:57
TEN,oti,15.01,12.12,32.71,4.51,36.28,100.63000000000001,32.15,46.68,59.61,138.44,3.97,0.99,1.15,6.109999999999999,245.17,2024,2025-08-15 15:16:57
TB,tam,11.72,5.07,57.98,4.23,31.31,110.31,34.9,38.31,53.12,126.33000000000001,5.0,1.48,1.36,7.840000000000001,244.48,2024,2025-08-15 15:16:57
WAS,was,14.7,6.75,39.26,9.93,51.34,121.97999999999999,62.87,16.75,29.76,109.38000000000001,3.05,3.75,1.45,8.25,240.63,2024,2025-08-15 15:16:57
DAL,dal,53.01,11.0,28.57,4.75,41.88,139.20999999999998,45.76,10.88,37.78,94.42,0.92,3.8,1.15,5.869999999999999,240.41,2024,2025-08-15 15:16:57
MIA,mia,13.65,8.25,40.92,7.33,33.28,103.43,23.09,50.73,49.59,123.41,4.51,1.68,2.17,8.36,238.32,2024,2025-08-15 15:16:57
DET,det,29.65,11.5,17.97,6.09,53.63,118.84,47.02,22.16,39.55,108.73,2.1,3.98,0.8,6.88,234.43,2024,2025-08-15 15:16:57
NE,nwe,17.88,10.48,30.55,10.12,41.18,110.21000000000001,32.99,32.74,49.7,115.43,1.37,0.96,1.63,3.96,229.6,2024,2025-08-15 15:16:57
LV,rai,16.86,7.1,33.75,10.09,35.58,103.38,72.71,14.54,26.1,113.35,4.65,3.52,1.13,9.3,226.1,2024,2025-08-15 15:16:57
