Team,PFR_Team,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,Year,Scraped_Date
SF,sfo,6.35,8.76,15.94,9.55,23.8,64.39999999999999,19.93,23.5,16.92,60.35,2.0,2.4,0.57,4.970000000000001,131.51,2014,2025-08-15 15:18:32
CHI,chi,19.37,10.92,14.53,7.86,17.82,70.5,17.27,20.87,17.69,55.83,2.73,1.25,0.57,4.55,131.43,2014,2025-08-15 15:18:32
STL,ram,20.33,3.66,7.95,8.16,26.6,66.69999999999999,30.97,17.69,13.01,61.669999999999995,0.62,0.72,0.75,2.09,131.03,2014,2025-08-15 15:18:32
SEA,sea,2.07,9.62,16.76,6.77,24.15,59.37,32.25,11.65,22.3,66.2,1.7,1.4,0.89,3.9899999999999998,130.44,2014,2025-08-15 15:18:32
DAL,dal,13.47,2.92,8.52,10.2,24.97,60.08,19.81,20.22,25.75,65.78,1.7,0.65,1.01,3.3600000000000003,130.23,2014,2025-08-15 15:18:32
MIN,min,10.39,16.62,10.65,7.26,25.58,70.5,27.44,13.78,13.32,54.54,0.6,0.54,1.27,2.41,130.02,2014,2025-08-15 15:18:32
JAX,jax,11.5,5.81,8.81,10.95,21.15,58.21999999999999,33.5,20.42,10.37,64.29,4.19,0.77,0.5,5.460000000000001,129.18,2014,2025-08-15 15:18:32
TEN,oti,6.92,10.99,10.15,8.41,28.39,64.86,16.19,17.18,25.31,58.68000000000001,1.34,1.47,0.58,3.39,127.6,2014,2025-08-15 15:18:32
BAL,rav,15.6,8.31,7.8,4.85,19.66,56.22,22.73,20.02,20.19,62.94,0.57,2.8,1.14,4.51,124.87,2014,2025-08-15 15:18:32
OAK,rai,12.43,7.04,8.57,2.17,21.3,51.510000000000005,18.37,14.26,31.02,63.650000000000006,3.07,0.57,1.08,4.72,124.44,2014,2025-08-15 15:18:32
IND,clt,9.79,4.41,13.05,2.94,18.88,49.07,20.01,23.97,24.42,68.4,2.25,2.95,0.57,5.7700000000000005,123.73,2014,2025-08-15 15:18:32
NYJ,nyj,10.29,6.31,19.44,3.42,26.93,66.39,9.42,16.9,19.92,46.24,3.6,0.5,0.8,4.8999999999999995,118.35,2014,2025-08-15 15:18:32
