Team,PFR_Team,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,Year,Scraped_Date
TEN,oti,40.0,13.88,20.43,7.17,34.01,115.49000000000001,20.62,36.9,30.61,88.13,2.38,2.36,1.05,5.79,209.79,2022,2025-08-15 15:20:38
MIN,min,33.73,14.94,21.06,8.2,24.68,102.60999999999999,24.77,46.99,26.08,97.84,2.44,1.43,1.04,4.91,208.79,2022,2025-08-15 15:20:38
MIA,mia,15.61,11.57,30.35,19.62,26.89,104.04,24.98,30.49,40.69,96.16,3.15,1.05,0.94,5.140000000000001,208.56,2022,2025-08-15 15:20:38
WAS,was,32.6,5.44,28.52,9.46,37.46,113.48000000000002,40.31,10.51,37.44,88.25999999999999,2.0,3.08,0.86,5.94,208.07,2022,2025-08-15 15:20:38
NE,nwe,6.66,4.44,38.76,24.21,30.39,104.46,26.96,28.3,41.74,97.0,2.44,2.64,1.46,6.54,208.0,2022,2025-08-15 15:20:38
NO,nor,21.94,11.81,27.46,10.68,48.17,120.06,34.58,12.17,31.77,78.52,5.57,0.83,1.26,7.66,206.83,2022,2025-08-15 15:20:38
BUF,buf,20.51,8.42,23.24,6.16,36.16,94.49,36.46,24.93,45.62,107.00999999999999,0.94,1.48,1.54,3.96,206.69,2022,2025-08-15 15:20:38
SF,sfo,24.4,5.0,16.71,10.7,34.96,91.77000000000001,46.54,23.45,33.03,103.02,5.52,1.71,1.12,8.35,206.08,2022,2025-08-15 15:20:38
IND,clt,22.59,7.83,11.87,10.25,44.8,97.34,52.59,20.86,29.4,102.85,1.33,3.25,1.04,5.62,205.81,2022,2025-08-15 15:20:38
KC,kan,38.84,6.48,18.61,11.77,35.5,111.2,56.64,12.53,18.58,87.75,3.08,0.9,1.28,5.26,205.25,2022,2025-08-15 15:20:38
ARI,crd,16.43,7.62,28.61,8.84,46.34,107.84,28.14,29.67,32.06,89.87,4.76,1.17,1.19,7.119999999999999,204.83,2022,2025-08-15 15:20:38
CHI,chi,19.83,9.75,11.85,10.37,32.29,84.09,41.59,43.5,28.56,113.65,3.22,0.72,1.06,5.0,204.7,2022,2025-08-15 15:20:38
BAL,rav,24.53,9.69,10.65,17.14,42.37,104.38,19.92,20.07,50.56,90.55000000000001,4.76,1.93,0.83,7.52,204.62,2022,2025-08-15 15:20:38
NYG,nyg,11.48,10.58,37.34,5.18,35.22,99.80000000000001,27.22,21.14,49.27,97.63,2.92,1.39,1.05,5.359999999999999,203.67,2022,2025-08-15 15:20:38
TB,tam,16.26,7.69,27.17,11.99,44.81,107.92000000000002,25.16,39.4,24.49,89.05,4.0,0.88,1.12,6.0,202.96,2022,2025-08-15 15:20:38
NYJ,nyj,14.63,5.65,26.29,9.05,51.82,107.44,47.77,14.16,27.63,89.56,2.69,0.95,1.16,4.8,202.47,2022,2025-08-15 15:20:38
CAR,car,24.45,12.1,26.15,5.8,43.59,112.09,24.05,30.25,29.27,83.57,2.88,1.79,1.08,5.75,202.25,2022,2025-08-15 15:20:38
ATL,atl,46.0,7.01,26.52,11.94,33.26,124.72999999999999,27.1,22.28,20.21,69.59,3.0,1.53,1.2,5.73,201.72,2022,2025-08-15 15:20:38
LAR,ram,16.65,4.84,41.61,5.78,24.53,93.41,45.42,15.21,40.78,101.41,2.54,1.9,1.0,5.4399999999999995,200.27,2022,2025-08-15 15:20:38
LV,rai,21.4,13.9,26.51,15.36,23.5,100.67,47.03,19.38,23.82,90.22999999999999,4.23,2.0,1.04,7.2700000000000005,199.67,2022,2025-08-15 15:20:38
CLE,cle,28.75,13.65,14.68,10.03,40.39,107.5,35.22,11.78,28.28,75.28,0.89,1.5,1.34,3.7300000000000004,186.51,2022,2025-08-15 15:20:38
