Coach,Year,Season_Number,Annual_WAR,Cumulative_WAR,Win_Pct,Impact,Total_Seasons
Joe Gibbs,1982,2,2.74236146,2.0986587720000003,0.8889,0.16131538,16
Joe Gibbs,1983,3,2.2752703100000002,4.373929082,0.875,0.13383943,16
Joe Gibbs,1984,4,1.7088128850000002,6.0827419670000005,0.6875,0.100518405,16
Joe Gibbs,1985,5,1.552908775,7.635650742,0.625,0.091347575,16
Joe Gibbs,1986,6,1.20427694,8.839927682,0.75,0.07083982,16
Joe Gibbs,1987,7,1.72370106,10.563628742,0.7333,0.10139418,16
Joe Gibbs,1988,8,0.914600782,11.478229524,0.4375,0.053800046,16
Joe Gibbs,1989,9,0.8861337380000001,12.364363262,0.625,0.052125514000000005,16
Joe Gibbs,1990,10,-0.066347481,12.298015781,0.625,-0.003902793,16
Joe Gibbs,1991,11,1.88985345,14.187869231,0.875,0.11116785,16
Joe Gibbs,1992,12,0.7212570280000001,14.909126259,0.5625,0.042426884000000005,16
Joe Gibbs,2004,13,0.32623986,15.235366119,0.375,0.01919058,16
Joe Gibbs,2005,14,0.44243610099999997,15.67780222,0.625,0.026025653,16
Joe Gibbs,2006,15,-0.469179056,15.208623164,0.3125,-0.027598768,16
Joe Gibbs,2007,16,0.406763607,15.615386771,0.5625,0.023927271,16
Andy Reid,1999,1,-0.4453822009999999,-0.4453822009999999,0.3125,-0.026198952999999997,26
Andy Reid,2000,2,-0.483754567,-0.929136768,0.6875,-0.028456151000000002,26
Andy Reid,2001,3,0.6194437899999999,-0.30969297800000006,0.6875,0.03643787,26
Andy Reid,2002,4,0.341072734,0.031379755999999925,0.75,0.020063102,26
Andy Reid,2003,5,1.22937897,1.260758726,0.75,0.07231641,26
Andy Reid,2004,6,1.56537411,2.826132836,0.8125,0.09208083,26
Andy Reid,2005,7,0.86953266,3.695665496,0.375,0.05114898,26
Andy Reid,2006,8,0.596875015,4.292540511,0.625,0.035110295,26
Andy Reid,2007,9,1.047928042,5.340468553,0.5,0.061642826,26
Andy Reid,2008,10,0.6571205499999999,5.997589103,0.5938,0.03865415,26
Andy Reid,2009,11,0.92740967,6.924998773,0.6875,0.05455351,26
Andy Reid,2010,12,0.8275439180000002,7.752542691,0.625,0.048679054000000006,26
Andy Reid,2011,13,-0.0642925499,7.6882501411,0.5,-0.0037819146999999997,26
Andy Reid,2012,14,1.129173762,8.8174239031,0.25,0.066421986,26
Andy Reid,2013,15,1.585638705,10.4030626081,0.6875,0.093272865,26
Andy Reid,2014,16,2.73596266,13.139025268100001,0.5625,0.16093898,26
Andy Reid,2015,17,1.6291620199999999,14.768187288100002,0.6875,0.09583306,26
Andy Reid,2016,18,1.51816137,16.286348658100003,0.75,0.08930361,26
Andy Reid,2017,19,1.52463123,17.810979888100004,0.625,0.08968419,26
Andy Reid,2018,20,1.83281488,19.643794768100005,0.75,0.10781264,26
Andy Reid,2019,21,2.04240363,21.686198398100004,0.75,0.12014139,26
Andy Reid,2020,22,2.55626671,24.242465108100003,0.875,0.15036863,26
Andy Reid,2021,23,1.476633192,25.719098300100004,0.7059,0.086860776,26
Andy Reid,2022,24,1.38338112,27.102479420100003,0.8235,0.08137536,26
Andy Reid,2023,25,1.8250957749999999,28.927575195100005,0.6471,0.107358575,26
Andy Reid,2024,26,1.6355487499999999,30.563123945100003,0.8824,0.09620875,26
Tony Dungy,1996,1,-1.371038882,-1.371038882,0.375,-0.080649346,13
Tony Dungy,1997,2,0.45493388900000004,-0.9161049929999998,0.625,0.026760817000000003,13
Tony Dungy,1998,3,0.512548929,-0.40355606399999977,0.5,0.030149937,13
Tony Dungy,1999,4,1.4443420150000001,1.0407859510000004,0.6875,0.084961295,13
Tony Dungy,2000,5,0.5685629600000001,1.6093489110000005,0.625,0.03344488,13
Tony Dungy,2001,6,0.371880474,1.9812293850000007,0.5625,0.021875322000000003,13
Tony Dungy,2002,7,0.7822959700000001,2.7635253550000005,0.625,0.04601741,13
Tony Dungy,2003,8,0.847257254,3.6107826090000006,0.75,0.049838662,13
Tony Dungy,2004,9,2.2721139200000002,5.882896529000001,0.75,0.13365376,13
Tony Dungy,2005,10,2.7064671500000004,8.589363679000002,0.875,0.15920395,13
Tony Dungy,2006,11,2.1079354,10.697299079000002,0.75,0.1239962,13
Tony Dungy,2007,12,2.54278197,13.240081049000002,0.8125,0.14957541,13
Tony Dungy,2008,13,2.040432752,15.280513801000001,0.75,0.120025456,13
Mike Sherman,2000,1,1.3642139599999998,1.3642139599999998,0.5625,0.08024788,6
Mike Sherman,2001,2,1.795495868,3.1597098279999996,0.75,0.105617404,6
Mike Sherman,2002,3,1.58988233,4.749592158,0.75,0.09352249,6
Mike Sherman,2003,4,1.235130308,5.984722465999999,0.625,0.072654724,6
Mike Sherman,2004,5,2.62742429,8.612146756,0.625,0.15455437,6
Mike Sherman,2005,6,0.896069439,9.508216195,0.25,0.052709967,6
Bill Belichick,1991,1,0.318401636,0.318401636,0.375,0.018729508,29
Bill Belichick,1992,2,-0.7328889719999999,-0.41448733599999993,0.4375,-0.043111116,29
Bill Belichick,1993,3,-0.24941760799999999,-0.6639049439999999,0.4375,-0.014671624,29
Bill Belichick,1994,4,0.0455752609,-0.6183296830999999,0.6875,0.0026808977,29
Bill Belichick,1995,5,-0.349885738,-0.9682154210999999,0.3125,-0.020581514,29
Bill Belichick,2000,6,0.6277998,-0.3404156210999999,0.3125,0.0369294,29
Bill Belichick,2001,7,-0.672201165,-1.0126167861,0.6875,-0.039541245,29
Bill Belichick,2002,8,0.243873959,-0.7687428271,0.5625,0.014345527,29
Bill Belichick,2003,9,0.8474274919999999,0.07868466489999992,0.875,0.049848675999999995,29
Bill Belichick,2004,10,0.68297942,0.7616640848999999,0.875,0.04017526,29
Bill Belichick,2005,11,1.38058751,2.1422515949,0.625,0.08121103,29
Bill Belichick,2006,12,1.757794798,3.9000463928999998,0.75,0.103399694,29
Bill Belichick,2007,13,2.61325054,6.5132969328999994,1.0,0.15372062,29
Bill Belichick,2008,14,1.962727435,8.4760243679,0.6875,0.115454555,29
Bill Belichick,2009,15,1.5590948199999999,10.0351191879,0.625,0.09171146,29
Bill Belichick,2010,16,2.2618615600000003,12.2969807479,0.875,0.13305068,29
Bill Belichick,2011,17,1.71724939,14.0142301379,0.8125,0.10101467,29
Bill Belichick,2012,18,1.84407551,15.8583056479,0.75,0.10847503,29
Bill Belichick,2013,19,2.20679091,18.0650965579,0.75,0.12981123,29
Bill Belichick,2014,20,1.472587175,19.5376837329,0.75,0.086622775,29
Bill Belichick,2015,21,1.72114953,21.258833262899998,0.75,0.10124409,29
Bill Belichick,2016,22,1.71459773,22.9734309929,0.875,0.10085869,29
Bill Belichick,2017,23,1.64933541,24.622766402899998,0.8125,0.09701973,29
Bill Belichick,2018,24,0.715900838,25.338667240899998,0.6875,0.042111814000000004,29
Bill Belichick,2019,25,0.689071234,26.027738474899998,0.75,0.040533602,29
Bill Belichick,2020,26,-0.281535504,25.746202970899997,0.4375,-0.016560912,29
Bill Belichick,2021,27,0.689392449,26.435595419899997,0.5882,0.040552497,29
Bill Belichick,2022,28,0.308892006,26.744487425899997,0.4706,0.018170118,29
Bill Belichick,2023,29,0.596874505,27.341361930899996,0.2353,0.035110265,29
Chuck Knox,1973,1,2.61301645,2.61301645,0.8571,0.15370685,27
Chuck Knox,1973,2,2.4548527,5.06786915,0.8571,0.1444031,27
Chuck Knox,1974,3,1.76017099,6.82804014,0.7143,0.10353947,27
Chuck Knox,1974,4,1.8262468619999999,8.654287002,0.7143,0.107426286,27
Chuck Knox,1975,5,2.0535405,10.707827502,0.8571,0.12079649999999999,27
Chuck Knox,1975,6,2.10001969,12.807847192,0.8571,0.12353057,27
Chuck Knox,1976,7,1.1983816800000002,14.006228872000001,0.75,0.07049304,27
Chuck Knox,1976,8,1.11624125,15.122470122000001,0.75,0.06566125,27
Chuck Knox,1977,9,1.88109165,17.003561772,0.7143,0.11065245,27
Chuck Knox,1977,10,1.88109165,18.884653422,0.7143,0.11065245,27
Chuck Knox,1978,11,0.74174349,19.626396912,0.3125,0.04363197,27
Chuck Knox,1979,12,-0.0656584506,19.5607384614,0.4375,-0.0038622618,27
Chuck Knox,1980,13,1.09042794,20.6511664014,0.6875,0.06414282,27
Chuck Knox,1981,14,1.24882884,21.899995241400003,0.625,0.07346052,27
Chuck Knox,1982,15,2.4398530899999997,24.339848331400002,0.4444,0.14352077,27
Chuck Knox,1983,16,1.041322471,25.381170802400003,0.5625,0.061254262999999996,27
Chuck Knox,1984,17,0.138869889,25.520040691400002,0.75,0.008168817,27
Chuck Knox,1985,18,-0.868191598,24.651849093400003,0.5,-0.051070094,27
Chuck Knox,1986,19,1.33722119,25.989070283400004,0.625,0.07866007,27
Chuck Knox,1987,20,1.75324315,27.742313433400003,0.6,0.10313195,27
Chuck Knox,1988,21,1.51654824,29.258861673400002,0.5625,0.08920872,27
Chuck Knox,1989,22,1.8513357,31.110197373400002,0.4375,0.1089021,27
Chuck Knox,1990,23,0.382633382,31.492830755400004,0.5625,0.022507846,27
Chuck Knox,1991,24,1.28091685,32.773747605400004,0.4375,0.07534805,27
Chuck Knox,1992,25,0.24488369100000001,33.0186312964,0.375,0.014404923,27
Chuck Knox,1993,26,0.7717502409999999,33.7903815374,0.3125,0.045397072999999996,27
Chuck Knox,1994,27,-0.0466300837,33.7437514537,0.25,-0.0027429461,27
Mike Holmgren,1992,1,0.875492775,0.875492775,0.5625,0.051499575,17
Mike Holmgren,1993,2,1.35570597,2.231198745,0.5625,0.07974741,17
Mike Holmgren,1994,3,0.8025544280000001,3.033753173,0.5625,0.047209084000000005,17
Mike Holmgren,1995,4,1.7216835000000001,4.755436673,0.6875,0.1012755,17
Mike Holmgren,1996,5,2.6070897399999997,7.362526412999999,0.8125,0.15335822,17
Mike Holmgren,1997,6,1.55879086,8.921317273,0.8125,0.09169358,17
Mike Holmgren,1998,7,1.3679387619999999,10.289256035,0.6875,0.08046698599999999,17
Mike Holmgren,1999,8,1.181282638,11.470538673,0.5625,0.069487214,17
Mike Holmgren,2000,9,1.10947253,12.580011203,0.375,0.06526309,17
Mike Holmgren,2001,10,1.96811193,14.548123133,0.5625,0.11577129,17
Mike Holmgren,2002,11,0.8906407949999999,15.438763928,0.4375,0.052390635,17
Mike Holmgren,2003,12,0.95042223,16.389186158,0.625,0.05590719,17
Mike Holmgren,2004,13,0.9343394650000001,17.323525623000002,0.5625,0.054961145,17
Mike Holmgren,2005,14,1.71140785,19.034933473000002,0.8125,0.10067105,17
Mike Holmgren,2006,15,2.02479588,21.059729353,0.5625,0.11910564,17
Mike Holmgren,2007,16,0.722540851,21.782270204000003,0.625,0.042502403,17
Mike Holmgren,2008,17,0.521469322,22.303739526000005,0.25,0.030674666,17
Mike Tomlin,2007,1,1.9931632999999997,1.9931632999999997,0.625,0.11724489999999999,18
Mike Tomlin,2008,2,1.84548906,3.8386523599999998,0.75,0.10855818,18
Mike Tomlin,2009,3,1.1081756,4.94682796,0.5625,0.0651868,18
Mike Tomlin,2010,4,2.58154401,7.52837197,0.75,0.15185553,18
Mike Tomlin,2011,5,1.270830155,8.799202125,0.75,0.074754715,18
Mike Tomlin,2012,6,1.5197436450000001,10.318945770000001,0.5,0.089396685,18
Mike Tomlin,2013,7,1.47028393,11.7892297,0.5,0.08648729,18
Mike Tomlin,2014,8,0.98182072,12.77105042,0.6875,0.05775416,18
Mike Tomlin,2015,9,2.44057814,15.21162856,0.625,0.14356342,18
Mike Tomlin,2016,10,1.92670639,17.13833495,0.6875,0.11333567,18
Mike Tomlin,2017,11,1.3224283,18.46076325,0.8125,0.0777899,18
Mike Tomlin,2018,12,1.2981815399999999,19.75894479,0.5938,0.07636362,18
Mike Tomlin,2019,13,0.47341304200000006,20.232357832,0.5,0.027847826000000003,18
Mike Tomlin,2020,14,1.03994746,21.272305292000002,0.75,0.06117338,18
Mike Tomlin,2021,15,1.4292036000000004,22.701508892000003,0.5588,0.08407080000000001,18
Mike Tomlin,2022,16,0.348520332,23.050029224000003,0.5294,0.020501196,18
Mike Tomlin,2023,17,-0.069876732,22.980152492000002,0.5882,-0.004110396,18
Mike Tomlin,2024,18,1.2769737,24.257126192,0.5882,0.0751161,18
Bum Phillips,1981,1,-0.682484414,-0.682484414,0.25,-0.040146142,5
Bum Phillips,1982,2,2.48771047,1.805226056,0.4444,0.14633591,5
Bum Phillips,1983,3,-0.6477866999999999,1.157439356,0.5,-0.038105099999999996,5
Bum Phillips,1984,4,0.7562105919999998,1.9136499479999998,0.4375,0.044482975999999994,5
Bum Phillips,1985,5,0.16624614499999998,2.079896093,0.3125,0.009779185,5
George Seifert,1989,1,2.3515012000000004,2.3515012000000004,0.875,0.13832360000000002,11
George Seifert,1990,2,1.91876127,4.2702624700000005,0.875,0.11286831,11
George Seifert,1991,3,2.27871434,6.548976810000001,0.625,0.13404202,11
George Seifert,1992,4,2.45917631,9.008153120000001,0.875,0.14465743,11
George Seifert,1993,5,1.2304418099999999,10.238594930000001,0.625,0.07237893,11
George Seifert,1994,6,1.8036335300000002,12.042228460000002,0.8125,0.10609609,11
George Seifert,1995,7,1.10634453,13.148572990000002,0.6875,0.06507909,11
George Seifert,1996,8,1.56591828,14.714491270000002,0.75,0.09211284,11
George Seifert,1999,9,0.513810448,15.228301718,0.5,0.030224143999999998,11
George Seifert,2000,10,-0.00249519948,15.22580651852,0.4375,-0.00014677644,11
George Seifert,2001,11,-0.886384522,14.33942199652,0.0625,-0.052140266,11
Pete Carroll,1994,1,-0.110991538,-0.110991538,0.375,-0.006528914,18
Pete Carroll,1997,2,0.25107026299999996,0.14007872499999996,0.625,0.014768838999999999,18
Pete Carroll,1998,3,0.6806367010000001,0.820715426,0.5625,0.040037453,18
Pete Carroll,1999,4,0.5677984699999999,1.388513896,0.5,0.03339991,18
Pete Carroll,2010,5,0.35484168,1.7433555760000001,0.4375,0.02087304,18
Pete Carroll,2011,6,0.246524684,1.98988026,0.4375,0.014501452,18
Pete Carroll,2012,7,1.27273305,3.26261331,0.6875,0.07486665,18
Pete Carroll,2013,8,2.39348338,5.65609669,0.8125,0.14079314,18
Pete Carroll,2014,9,1.6753239899999999,7.33142068,0.75,0.09854847,18
Pete Carroll,2015,10,1.019064779,8.350485459,0.625,0.059944987000000005,18
Pete Carroll,2016,11,1.25341901,9.603904469,0.6562,0.07373053,18
Pete Carroll,2017,12,1.3483160699999999,10.952220538999999,0.5625,0.07931271,18
Pete Carroll,2018,13,1.18536512,12.137585658999999,0.625,0.06972736,18
Pete Carroll,2019,14,1.3652363399999998,13.502821998999998,0.6875,0.08030802,18
Pete Carroll,2020,15,1.09207864,14.594900638999999,0.75,0.06423992,18
Pete Carroll,2021,16,1.52196733,16.116867968999998,0.4118,0.08952749,18
Pete Carroll,2022,17,0.76857714,16.885445109,0.5294,0.04521042,18
Pete Carroll,2023,18,0.98345459,17.868899699,0.5294,0.05785027,18
Ron Meyer,1982,1,1.279645675,1.279645675,0.5556,0.075273275,9
Ron Meyer,1983,2,0.36830865500000004,1.6479543300000001,0.5,0.021665215,9
Ron Meyer,1984,3,0.522851949,2.1708062790000002,0.5625,0.030755997,9
Ron Meyer,1984,4,0.482456566,2.6532628450000004,0.5625,0.028379797999999998,9
Ron Meyer,1987,5,1.263216875,3.9164797200000003,0.6,0.074306875,9
Ron Meyer,1988,6,2.36343163,6.279911350000001,0.5625,0.13902539,9
Ron Meyer,1989,7,0.246640199,6.526551549000001,0.5,0.014508247,9
Ron Meyer,1990,8,1.94600785,8.472559399000001,0.4375,0.11447105,9
Ron Meyer,1991,9,-1.4310047499999998,7.041554649000002,0.0625,-0.08417675,9
Mike Ditka,1982,1,-0.5448619,-0.5448619,0.3333,-0.0320507,14
Mike Ditka,1983,2,-0.5676044149999999,-1.1124663149999998,0.5,-0.033388495,14
Mike Ditka,1984,3,0.898580849,-0.2138854659999998,0.625,0.052857697,14
Mike Ditka,1985,4,2.22280372,2.008918254,0.9375,0.13075316,14
Mike Ditka,1986,5,0.564601059,2.5735193130000003,0.875,0.033211827,14
Mike Ditka,1987,6,2.35656567,4.930084983,0.7333,0.13862151,14
Mike Ditka,1988,7,2.03324046,6.9633254430000004,0.75,0.11960238,14
Mike Ditka,1989,8,0.270551566,7.233877009,0.375,0.015914798,14
Mike Ditka,1990,9,0.7036857599999999,7.937562769,0.6875,0.04139328,14
Mike Ditka,1991,10,1.71748552,9.655048289,0.6875,0.10102856,14
Mike Ditka,1992,11,0.28119960099999997,9.93624789,0.3125,0.016541153,14
Mike Ditka,1997,12,0.341453228,10.277701118000001,0.375,0.020085484,14
Mike Ditka,1998,13,0.19462353100000002,10.472324649,0.375,0.011448443,14
Mike Ditka,1999,14,-0.560768851,9.911555798,0.1875,-0.032986403,14
Chuck Noll,1970,1,-0.032187818699999995,-0.032187818699999995,0.3571,-0.0018934010999999999,22
Chuck Noll,1971,2,0.08058,0.0483921813,0.4286,0.00474,22
Chuck Noll,1972,3,0.489348893,0.5377410743,0.7857,0.028785229,22
Chuck Noll,1973,4,1.113389908,1.6511309823,0.7143,0.065493524,22
Chuck Noll,1974,5,1.3274501,2.9785810823,0.75,0.07808530000000001,22
Chuck Noll,1975,6,1.24248869,4.2210697723,0.8571,0.07308757,22
Chuck Noll,1976,7,1.3125701699999999,5.5336399423,0.7143,0.07721001,22
Chuck Noll,1977,8,0.9018132119999999,6.435453154299999,0.6429,0.053047835999999994,22
Chuck Noll,1978,9,2.34169577,8.777148924299999,0.875,0.13774681,22
Chuck Noll,1979,10,1.16633175,9.943480674299998,0.75,0.06860775,22
Chuck Noll,1980,11,0.685853066,10.629333740299998,0.5625,0.040344298,22
Chuck Noll,1981,12,1.1039684399999998,11.733302180299997,0.5,0.06493932,22
Chuck Noll,1982,13,2.2256094,13.958911580299997,0.6667,0.1309182,22
Chuck Noll,1983,14,0.8488126349999999,14.807724215299997,0.625,0.049930155,22
Chuck Noll,1984,15,0.63169637,15.439420585299997,0.5625,0.03715861,22
Chuck Noll,1985,16,1.0774945100000002,16.516915095299996,0.4375,0.06338203,22
Chuck Noll,1986,17,0.568124734,17.085039829299998,0.375,0.033419102,22
Chuck Noll,1987,18,1.8353628400000002,18.920402669299996,0.5333,0.10796252,22
Chuck Noll,1988,19,0.690061212,19.610463881299996,0.3125,0.040591836,22
Chuck Noll,1989,20,0.38821251,19.998676391299995,0.5625,0.02283603,22
Chuck Noll,1990,21,0.33933191700000004,20.338008308299994,0.5625,0.019960701,22
Chuck Noll,1991,22,0.32933895999999996,20.667347268299995,0.4375,0.01937288,22
Matt LaFleur,2019,1,1.3551177699999999,1.3551177699999999,0.8125,0.07971281,6
Matt LaFleur,2020,2,1.500448288,2.855566058,0.8125,0.088261664,6
Matt LaFleur,2021,3,1.27172189,4.127287948,0.7647,0.07480717,6
Matt LaFleur,2022,4,0.507706462,4.63499441,0.4706,0.029865086000000002,6
Matt LaFleur,2023,5,2.3410989000000004,6.97609331,0.5294,0.13771170000000002,6
Matt LaFleur,2024,6,1.56312773,8.539221040000001,0.6471,0.09194869,6
Jimmy Johnson,1989,1,-0.832083904,-0.832083904,0.0625,-0.048946112,9
Jimmy Johnson,1990,2,1.296920565,0.464836661,0.4375,0.076289445,9
Jimmy Johnson,1991,3,0.707155222,1.171991883,0.6875,0.041597366000000004,9
Jimmy Johnson,1992,4,2.34108377,3.513075653,0.8125,0.13771081,9
Jimmy Johnson,1993,5,1.45819761,4.9712732630000005,0.75,0.08577633,9
Jimmy Johnson,1996,6,-0.617966405,4.353306858000001,0.5,-0.036350965,9
Jimmy Johnson,1997,7,1.2499131,5.603219958,0.5625,0.0735243,9
Jimmy Johnson,1998,8,1.03313012,6.636350078,0.625,0.06077236,9
Jimmy Johnson,1999,9,1.37978698,8.016137058,0.5625,0.08116394,9
Tom Landry,1970,1,0.669074185,0.669074185,0.7143,0.039357305,19
Tom Landry,1971,2,1.28870234,1.9577765249999999,0.7857,0.07580602,19
Tom Landry,1972,3,1.2797916200000001,3.237568145,0.7143,0.07528186,19
Tom Landry,1973,4,1.477942345,4.71551049,0.7143,0.086937785,19
Tom Landry,1974,5,2.013651785,6.729162275,0.5714,0.118450105,19
Tom Landry,1975,6,1.39061292,8.119775195,0.7143,0.08180076,19
Tom Landry,1976,7,1.904162945,10.02393814,0.7857,0.112009585,19
Tom Landry,1977,8,1.549271115,11.573209255,0.8571,0.091133595,19
Tom Landry,1978,9,1.55723145,13.130440705,0.75,0.09160185,19
Tom Landry,1979,10,2.1863235899999998,15.316764294999999,0.6875,0.12860727,19
Tom Landry,1980,11,0.50531514,15.822079435,0.75,0.02972442,19
Tom Landry,1981,12,1.056049469,16.878128904,0.75,0.062120557,19
Tom Landry,1982,13,2.28445762,19.162586524,0.6667,0.13437986,19
Tom Landry,1983,14,1.175050982,20.337637506,0.75,0.069120646,19
Tom Landry,1984,15,0.31908915,20.656726656,0.5625,0.01876995,19
Tom Landry,1985,16,0.401623249,21.058349905,0.625,0.023624897000000002,19
Tom Landry,1986,17,1.251660428,22.310010333,0.4375,0.07362708400000001,19
Tom Landry,1987,18,0.39000601,22.700016343,0.4667,0.02294153,19
Tom Landry,1988,19,1.046887659,23.746904002,0.1875,0.061581627,19
Bart Starr,1975,1,-0.022569776300000004,-0.022569776300000004,0.2857,-0.0013276339000000002,9
Bart Starr,1976,2,-0.271936709,-0.2945064853,0.3571,-0.015996277,9
Bart Starr,1977,3,-1.4016085200000001,-1.6961150053000003,0.2857,-0.08244756,9
Bart Starr,1978,4,-1.15186611,-2.8479811153000005,0.5312,-0.06775683,9
Bart Starr,1979,5,-0.78405751,-3.6320386253000008,0.3125,-0.04612103,9
