PFR_Team,Year,QB_Pct,RB_Pct,WR_Pct,TE_Pct,OL_Pct,DL_Pct,LB_Pct,SEC_Pct,K_Pct,P_Pct,LS_Pct,Off_Pct,Def_Pct,SPT_Pct,Total_Pct
CRD,2014,11.97,2.69,11.27,3.78,19.4,20.82,12.16,15.5,0.32,1.28,0.82,49.12,48.48,2.41,100.0
DAL,2014,10.34,2.24,6.54,7.83,19.17,15.21,15.53,19.77,1.31,0.5,0.78,46.13,50.51,2.58,100.0
DEN,2014,13.72,3.06,14.21,3.27,20.96,7.64,15.18,18.1,1.05,2.39,0.43,55.22,40.91,3.87,100.0
DET,2014,12.86,5.8,16.19,4.2,9.46,29.71,9.93,9.14,0.43,0.41,0.48,48.52,48.77,1.32,100.0
GNB,2014,14.38,2.35,7.08,2.2,15.38,10.81,22.73,20.2,2.54,0.93,0.63,41.4,53.75,4.09,100.0
JAX,2014,8.9,4.5,6.82,8.48,16.37,25.93,15.81,8.03,3.24,0.6,0.39,45.07,49.77,4.23,100.0
KAN,2014,6.66,8.71,14.2,4.26,9.37,11.14,18.66,21.89,0.89,2.86,0.45,43.2,51.69,4.2,100.0
MIA,2014,6.32,3.99,20.3,2.16,14.23,17.8,16.55,15.07,0.37,2.52,0.69,47.0,49.42,3.58,100.0
MIN,2014,7.99,12.78,8.19,5.58,19.67,21.1,10.6,10.24,0.46,0.42,0.98,54.22,41.95,1.85,100.0
NOR,2014,14.53,4.52,11.62,4.83,19.56,7.66,13.42,18.32,1.21,2.46,0.65,55.06,39.4,4.33,100.0
NWE,2014,11.62,3.0,10.71,11.31,15.51,10.3,13.74,19.6,2.83,0.37,0.56,52.16,43.65,3.76,100.0
NYG,2014,16.02,4.09,9.87,2.3,21.0,14.17,7.38,20.78,1.02,1.5,0.87,53.28,42.33,3.4,100.0
NYJ,2014,8.69,5.33,16.43,2.89,22.76,7.96,14.28,16.83,3.04,0.42,0.68,56.1,39.07,4.14,100.0
PHI,2014,2.8,9.27,13.19,4.26,23.2,8.17,16.95,17.03,0.39,0.99,0.79,52.72,42.15,2.17,100.0
PIT,2014,16.17,2.34,5.84,5.97,14.84,7.26,26.47,18.54,1.33,0.32,0.49,45.15,52.26,2.14,100.0
RAI,2014,9.99,5.66,6.89,1.74,17.12,14.76,11.46,24.93,2.47,0.46,0.87,41.39,51.15,3.79,100.0
SEA,2014,1.59,7.37,12.85,5.19,18.51,24.72,8.93,17.1,1.3,1.07,0.68,45.51,50.75,3.06,100.0
SFO,2014,4.83,6.66,12.12,7.26,18.1,15.15,17.87,12.87,1.52,1.82,0.43,48.97,45.89,3.78,100.0
TAM,2014,4.16,2.6,12.59,3.17,19.81,28.71,7.72,17.82,0.31,2.38,0.31,42.33,54.26,2.99,100.0
WAS,2014,5.35,2.18,16.92,3.05,21.57,19.44,19.14,9.76,0.45,0.44,0.69,49.07,48.33,1.57,100.0
ATL,2015,15.11,2.53,18.92,2.19,20.88,16.7,6.32,11.33,2.22,2.47,0.56,59.63,34.35,5.25,100.0
BUF,2015,4.41,7.5,9.87,5.39,12.05,32.2,7.5,16.59,2.1,0.37,0.76,39.21,56.29,3.22,100.0
CAR,2015,10.62,9.87,9.01,6.32,15.0,21.71,12.35,9.45,2.13,0.47,0.71,50.82,43.52,3.31,100.0
CHI,2015,12.61,8.35,13.16,5.32,12.54,13.21,16.31,14.78,2.54,0.4,0.78,51.97,44.3,3.73,100.0
CIN,2015,7.23,2.83,13.46,2.4,18.21,18.54,15.27,17.73,1.35,1.92,0.63,44.13,51.54,3.91,100.0
CLE,2015,5.11,2.26,11.06,4.69,20.01,11.69,17.0,25.78,0.32,1.47,0.32,43.14,54.47,2.1,100.0
CLT,2015,7.85,4.39,9.65,2.9,13.48,11.5,23.01,22.16,1.92,2.23,0.91,38.27,56.67,5.06,100.0
CRD,2015,8.2,1.94,12.85,3.77,22.69,20.29,10.0,18.67,0.35,0.78,0.46,49.46,48.95,1.6,100.0
DAL,2015,14.53,3.13,12.19,6.1,15.88,10.69,10.73,22.77,1.81,0.73,0.81,51.84,44.19,3.35,100.0
DEN,2015,13.2,1.74,15.92,5.78,18.45,7.04,16.92,17.36,0.91,1.62,0.59,55.09,41.32,3.12,100.0
DET,2015,13.04,6.4,18.23,5.43,7.87,24.34,9.57,12.84,1.03,0.44,0.47,50.97,46.75,1.94,100.0
GNB,2015,14.06,2.88,8.87,2.36,14.94,17.17,17.75,17.04,2.5,0.94,0.73,43.11,51.95,4.17,100.0
JAX,2015,6.06,4.58,5.42,12.22,18.45,29.41,10.06,11.01,1.7,0.65,0.43,46.73,50.49,2.78,100.0
KAN,2015,15.19,6.89,11.33,3.2,11.98,9.55,16.3,20.44,1.08,2.69,0.31,48.58,46.29,4.08,100.0
MIA,2015,5.18,2.43,13.03,4.47,17.21,23.83,12.33,19.46,0.32,0.9,0.81,42.32,55.63,2.04,100.0
MIN,2015,3.58,11.54,15.17,6.09,20.36,18.05,8.24,14.0,1.52,0.43,0.61,56.75,40.29,2.56,100.0
NOR,2015,17.71,4.4,7.2,9.13,17.32,8.91,15.63,15.56,0.41,2.42,0.61,55.75,40.11,3.45,100.0
NWE,2015,10.49,2.82,11.9,8.87,18.2,7.32,17.49,18.72,2.55,0.77,0.34,52.28,43.53,3.66,100.0
NYG,2015,11.88,5.78,11.85,1.74,20.48,17.83,9.17,17.41,1.05,1.1,1.06,51.74,44.41,3.21,100.0
NYJ,2015,3.47,5.33,14.12,2.79,22.06,11.89,11.18,26.63,1.16,0.41,0.58,47.77,49.7,2.14,100.0
PHI,2015,11.76,10.01,7.68,4.6,18.77,12.38,13.94,18.2,0.57,1.38,0.71,52.83,44.52,2.66,100.0
PIT,2015,14.67,3.1,8.4,4.52,13.97,10.8,21.37,17.02,3.95,0.32,0.48,44.66,49.18,4.75,100.0
RAI,2015,2.5,3.45,9.26,3.61,22.81,17.44,13.92,19.13,2.63,1.12,0.9,41.62,50.48,4.65,100.0
SEA,2015,5.81,7.05,12.14,7.23,10.57,19.8,9.41,23.27,2.26,1.02,0.58,42.8,52.48,3.85,100.0
SFO,2015,12.67,3.84,10.08,5.4,17.15,13.73,16.1,15.21,3.02,0.72,0.59,49.13,45.04,4.33,100.0
TAM,2015,4.47,3.53,13.95,3.42,20.87,26.19,12.76,13.15,0.5,0.33,0.38,46.24,52.1,1.21,100.0
WAS,2015,6.35,2.55,17.73,4.41,20.19,19.36,12.45,14.26,0.44,0.36,0.79,51.23,46.07,1.6,100.0
ATL,2016,16.66,1.47,17.29,3.63,20.89,17.48,6.19,11.4,2.07,1.77,0.56,59.94,35.07,4.41,100.0
BUF,2016,6.75,6.98,10.46,5.39,14.79,25.83,5.07,20.73,1.81,0.39,0.74,44.37,51.63,2.94,100.0
CAR,2016,16.02,9.74,6.73,5.99,18.75,15.19,12.87,7.97,2.9,2.03,0.74,57.23,36.03,5.67,100.0
CHI,2016,13.62,1.81,15.65,3.9,20.65,7.54,24.33,10.58,1.15,0.42,0.36,55.64,42.45,1.93,100.0
CIN,2016,9.08,4.92,11.61,2.54,17.36,20.01,10.09,20.11,1.05,1.93,0.68,45.51,50.21,3.66,100.0
CLE,2016,12.33,2.48,10.68,3.16,16.69,11.41,13.74,26.75,0.63,1.31,0.41,45.33,51.9,2.34,100.0
CLT,2016,13.25,3.76,11.56,7.38,18.12,7.03,17.12,17.34,2.13,1.77,0.52,54.08,41.49,4.43,100.0
CRD,2016,13.55,3.32,16.56,4.0,13.9,17.0,11.57,18.43,0.38,0.88,0.41,51.33,47.0,1.67,100.0
DAL,2016,15.9,6.45,13.19,6.32,14.0,9.53,11.1,19.25,2.16,0.95,0.77,55.85,39.88,3.88,100.0
DEN,2016,4.76,5.82,16.8,4.86,11.86,10.26,19.98,23.28,0.41,0.83,0.83,44.1,53.52,2.07,100.0
DET,2016,15.78,3.75,20.89,5.24,12.0,12.7,10.97,14.55,2.12,0.81,0.69,57.66,38.23,3.63,100.0
GNB,2016,13.01,3.33,13.33,2.54,14.49,17.92,14.47,17.88,1.56,0.56,0.39,46.71,50.27,2.51,100.0
JAX,2016,7.22,4.23,9.65,8.42,16.32,27.08,8.05,16.79,0.35,1.43,0.45,45.85,51.92,2.23,100.0
KAN,2016,13.34,5.38,10.62,3.23,14.16,11.83,21.9,14.05,0.69,2.92,0.35,46.73,47.78,3.95,100.0
MIA,2016,8.84,1.87,5.34,7.12,20.09,27.2,7.72,19.8,0.37,0.86,0.81,43.27,54.71,2.03,100.0
MIN,2016,8.03,9.02,6.16,6.46,21.9,18.07,7.68,19.31,1.34,0.46,0.5,51.58,45.06,2.3,100.0
NOR,2016,12.87,6.52,5.44,4.29,16.89,10.25,19.3,20.62,0.37,2.08,0.61,46.01,50.17,3.06,100.0
NWE,2016,10.33,3.11,12.89,9.86,18.04,8.7,20.23,11.95,2.78,1.15,0.4,54.23,40.88,4.33,100.0
NYG,2016,16.53,6.31,8.9,1.98,13.36,21.88,10.3,16.52,1.25,1.28,0.73,47.08,48.71,3.25,100.0
NYJ,2016,6.4,3.85,14.63,1.9,21.03,15.47,9.29,24.4,2.11,0.3,0.59,47.81,49.16,3.0,100.0
PHI,2016,10.91,9.49,5.63,4.26,23.06,13.64,14.41,15.85,0.45,1.45,0.84,53.35,43.89,2.74,100.0
PIT,2016,17.03,3.37,11.28,4.91,18.86,9.46,20.54,12.28,1.14,0.35,0.45,55.44,42.28,1.94,100.0
RAI,2016,2.82,1.78,11.81,3.71,22.97,10.9,16.47,20.15,2.41,3.07,0.72,43.07,47.52,6.2,100.0
RAM,2016,10.99,4.44,11.44,5.59,13.01,16.68,15.23,18.27,0.84,1.58,0.59,45.47,50.19,3.01,100.0
SEA,2016,12.65,5.67,9.06,8.51,6.05,15.34,10.98,27.4,2.35,1.06,0.43,41.95,53.72,3.85,100.0
SFO,2016,15.12,2.41,11.69,4.1,16.54,11.93,18.9,15.08,2.34,0.8,0.72,49.86,45.9,3.86,100.0
TAM,2016,5.26,6.77,14.24,3.41,18.45,21.0,10.49,18.28,0.48,1.12,0.39,48.13,49.78,1.98,100.0
WAS,2016,15.22,1.7,17.8,5.77,17.89,12.29,11.5,15.99,0.41,0.58,0.83,58.39,39.79,1.83,100.0
ATL,2017,16.43,3.69,16.98,2.41,15.85,23.16,3.12,13.94,1.86,1.62,0.53,55.35,40.22,4.02,100.0
BUF,2017,7.14,7.65,7.97,7.39,23.47,23.09,5.22,12.38,2.03,0.76,0.39,53.63,40.69,3.18,100.0
CAR,2017,13.12,6.48,5.93,9.1,15.24,20.67,15.89,8.5,2.65,1.37,0.59,49.86,45.06,4.61,100.0
CHI,2017,13.82,1.74,10.33,5.99,19.41,9.83,20.05,15.78,1.48,0.43,0.78,51.28,45.65,2.69,100.0
CIN,2017,10.39,4.81,15.15,4.44,10.97,17.24,11.62,20.82,0.55,1.96,0.65,45.76,49.68,3.16,100.0
CLE,2017,12.78,2.87,7.47,3.15,29.22,10.79,15.96,14.11,0.31,2.01,0.94,55.48,40.86,3.26,100.0
CLT,2017,14.16,4.54,11.24,8.48,13.78,12.64,15.73,16.32,1.76,1.36,,52.2,44.68,3.12,100.0
CRD,2017,17.38,2.54,12.98,3.67,17.41,7.2,14.48,21.48,1.48,0.83,0.51,53.98,43.16,2.82,100.0
DAL,2017,8.42,5.83,16.44,10.43,16.46,16.18,9.81,11.65,2.62,0.97,0.76,57.59,37.64,4.35,100.0
DEN,2017,2.51,4.22,16.11,3.42,15.54,11.93,21.14,22.63,1.44,0.36,0.35,41.8,55.7,2.14,100.0
DET,2017,10.72,3.45,12.06,3.67,15.72,19.24,9.99,18.98,3.25,2.42,0.47,45.61,48.21,6.13,100.0
GNB,2017,12.73,1.88,18.83,4.12,17.27,10.1,16.99,13.98,2.14,0.65,0.81,54.83,41.07,3.6,100.0
JAX,2017,5.94,8.24,8.32,6.35,14.8,27.23,7.67,18.58,0.36,1.11,0.92,43.66,53.48,2.39,100.0
KAN,2017,12.77,2.64,4.76,4.51,16.06,14.45,25.58,13.38,1.3,2.92,0.44,40.73,53.4,4.65,100.0
MIA,2017,19.3,2.19,5.89,5.63,15.6,25.76,8.43,16.13,0.4,0.27,0.41,48.61,50.32,1.08,100.0
MIN,2017,14.69,3.99,7.89,5.52,16.42,20.47,6.78,21.54,1.58,0.51,0.61,48.5,48.8,2.7,100.0
NOR,2017,12.97,6.99,5.17,8.35,21.28,15.63,9.93,15.4,0.33,2.91,,54.76,40.96,3.24,100.0
NWE,2017,9.38,6.77,12.14,8.0,14.09,8.5,11.43,24.52,2.75,1.16,0.42,50.37,44.46,4.33,100.0
NYG,2017,12.88,4.14,10.35,3.05,13.7,24.25,8.94,20.1,0.43,1.08,0.78,44.11,53.29,2.28,100.0
NYJ,2017,9.2,7.27,6.49,2.4,21.39,21.89,7.57,21.99,1.04,0.39,0.38,46.74,51.46,1.8,100.0
PHI,2017,11.57,5.09,12.12,5.79,20.36,21.64,9.03,12.37,0.86,0.8,0.37,54.94,43.04,2.03,100.0
PIT,2017,12.86,8.25,11.07,5.1,24.15,9.77,10.59,15.33,1.73,0.38,0.4,61.43,35.69,2.5,100.0
RAI,2017,10.38,2.42,13.18,4.8,27.13,8.67,7.15,20.85,2.36,1.55,0.43,57.92,36.66,4.34,100.0
RAM,2017,5.65,4.31,16.37,2.14,15.59,12.27,21.83,18.88,1.07,0.91,0.56,44.06,52.98,2.54,100.0
SEA,2017,9.23,3.99,5.77,7.6,13.58,19.33,11.56,27.02,0.62,0.96,0.32,40.17,57.91,1.89,100.0
SFO,2017,8.11,2.49,13.81,4.52,18.09,16.05,17.93,13.66,1.2,0.45,0.79,47.02,47.64,2.45,100.0
TAM,2017,7.65,5.89,12.83,3.73,14.39,26.59,6.3,17.94,1.57,2.6,0.44,44.49,50.82,4.61,100.0
WAS,2017,15.8,2.95,7.13,6.77,20.61,9.34,14.34,21.1,0.5,0.86,0.6,53.26,44.77,1.96,100.0
ATL,2018,12.89,4.28,14.26,1.96,23.1,15.69,2.72,20.95,1.46,1.55,0.86,56.5,39.36,3.87,100.0
BUF,2018,8.51,7.21,9.67,5.79,19.68,26.06,6.09,13.02,1.67,0.84,0.31,50.86,45.17,2.82,100.0
CAR,2018,12.13,5.42,8.02,5.11,20.36,23.55,9.77,11.88,2.0,0.83,0.57,51.04,45.2,3.4,100.0
CHI,2018,8.64,1.71,15.18,8.66,15.37,11.79,20.53,14.42,2.12,0.84,0.35,49.56,46.73,3.31,100.0
CIN,2018,9.91,3.64,13.2,5.14,15.17,21.8,10.55,17.58,0.83,1.28,0.63,47.06,49.94,2.73,100.0
CLE,2018,14.2,4.2,14.69,3.75,21.09,10.12,12.55,16.86,0.28,1.4,0.39,57.95,39.54,2.07,100.0
CLT,2018,17.91,2.81,15.5,9.57,19.59,17.75,4.37,8.93,2.52,0.39,,65.39,31.05,2.9,100.0
CRD,2018,13.31,3.63,13.02,5.03,13.64,15.26,9.8,21.76,2.15,1.52,0.51,48.64,46.81,4.18,100.0
DAL,2018,6.37,4.62,15.97,1.8,25.58,22.55,11.13,8.93,0.74,0.98,0.41,54.32,42.61,2.13,100.0
DEN,2018,10.54,1.17,12.44,1.66,19.83,11.52,19.46,19.58,1.93,1.15,0.35,45.64,50.57,3.42,100.0
DET,2018,15.64,5.09,9.4,2.88,15.95,18.54,11.17,17.2,1.82,1.67,0.43,48.96,46.91,3.92,100.0
GNB,2018,12.59,1.37,16.87,8.23,19.52,11.29,16.24,10.11,2.99,0.32,0.28,58.57,37.64,3.6,100.0
JAX,2018,5.6,8.03,8.98,3.84,14.23,29.05,6.33,22.05,0.42,0.38,0.64,40.69,57.43,1.44,100.0
KAN,2018,5.69,3.28,10.33,7.54,20.25,8.83,23.32,17.88,0.32,0.96,0.47,47.09,50.04,1.75,100.0
