Team,Year,split,Primary_Coach
CRD,1996,train,Vince Tobin
CRD,1997,train,Vince Tobin
CRD,1998,train,Vince Tobin
CRD,1999,train,Vince Tobin
CRD,2000,train,Vince Tobin
CRD,2001,test,Dave McGinnis
CRD,2002,test,Dave McGinnis
CRD,2003,test,Dave McGinnis
CRD,2004,test,Dennis Green
CRD,2005,test,Dennis Green
CRD,2006,test,Dennis Green
CRD,2007,train,Ken Whisenhunt
CRD,2008,train,Ken Whisenhunt
CRD,2009,train,Ken Whisenhunt
CRD,2010,train,Ken Whisenhunt
CRD,2011,train,Ken Whisenhunt
CRD,2012,train,Ken Whisenhunt
CRD,2013,train,Bruce Arians
CRD,2014,train,Bruce Arians
CRD,2015,train,Bruce Arians
CRD,2016,train,Bruce Arians
CRD,2017,train,Bruce Arians
CRD,2018,train,Steve Wilks
CRD,2019,test,Kliff Kingsbury
CRD,2020,test,Kliff Kingsbury
CRD,2021,test,Kliff Kingsbury
CRD,2022,test,Kliff Kingsbury
CRD,2023,train,Jonathan Gannon
CRD,2024,train,Jonathan Gannon
DAL,1970,train,Tom Landry
DAL,1971,train,Tom Landry
DAL,1972,train,Tom Landry
DAL,1973,train,Tom Landry
DAL,1974,train,Tom Landry
DAL,1975,train,Tom Landry
DAL,1976,train,Tom Landry
DAL,1977,train,Tom Landry
DAL,1978,train,Tom Landry
DAL,1979,train,Tom Landry
DAL,1980,train,Tom Landry
DAL,1981,train,Tom Landry
DAL,1982,train,Tom Landry
DAL,1983,train,Tom Landry
DAL,1984,train,Tom Landry
DAL,1985,train,Tom Landry
DAL,1986,train,Tom Landry
DAL,1987,train,Tom Landry
DAL,1988,train,Tom Landry
DAL,1989,train,Jimmy Johnson
DAL,1990,train,Jimmy Johnson
DAL,1991,train,Jimmy Johnson
DAL,1992,train,Jimmy Johnson
DAL,1993,train,Jimmy Johnson
DAL,1994,train,Barry Switzer
DAL,1995,train,Barry Switzer
DAL,1996,train,Barry Switzer
DAL,1997,train,Barry Switzer
DAL,1998,test,Chan Gailey
DAL,1999,test,Chan Gailey
DAL,2000,train,Dave Campo
DAL,2001,train,Dave Campo
DAL,2002,train,Dave Campo
DAL,2003,train,Bill Parcells
DAL,2004,train,Bill Parcells
DAL,2005,train,Bill Parcells
DAL,2006,train,Bill Parcells
DAL,2007,train,Wade Phillips
DAL,2008,train,Wade Phillips
DAL,2009,train,Wade Phillips
DAL,2010,train,Wade Phillips
DAL,2011,train,Jason Garrett
DAL,2012,train,Jason Garrett
DAL,2013,train,Jason Garrett
DAL,2014,train,Jason Garrett
DAL,2015,train,Jason Garrett
DAL,2016,train,Jason Garrett
DAL,2017,train,Jason Garrett
DAL,2018,train,Jason Garrett
DAL,2019,train,Jason Garrett
DAL,2020,test,Mike McCarthy
DAL,2021,test,Mike McCarthy
DAL,2022,test,Mike McCarthy
DAL,2023,test,Mike McCarthy
DAL,2024,test,Mike McCarthy
DEN,1970,train,Lou Saban
DEN,1971,train,Lou Saban
DEN,1972,train,John Ralston
DEN,1973,train,John Ralston
DEN,1974,train,John Ralston
DEN,1975,train,John Ralston
DEN,1976,train,John Ralston
DEN,1977,test,Red Miller
DEN,1978,test,Red Miller
DEN,1979,test,Red Miller
DEN,1980,test,Red Miller
DEN,1981,train,Dan Reeves
DEN,1982,train,Dan Reeves
DEN,1983,train,Dan Reeves
DEN,1984,train,Dan Reeves
DEN,1985,train,Dan Reeves
DEN,1986,train,Dan Reeves
DEN,1987,train,Dan Reeves
DEN,1988,train,Dan Reeves
DEN,1989,train,Dan Reeves
DEN,1990,train,Dan Reeves
DEN,1991,train,Dan Reeves
DEN,1992,train,Dan Reeves
DEN,1993,train,Wade Phillips
DEN,1994,train,Wade Phillips
DEN,1995,train,Mike Shanahan
DEN,1996,train,Mike Shanahan
DEN,1997,train,Mike Shanahan
DEN,1998,train,Mike Shanahan
DEN,1999,train,Mike Shanahan
DEN,2000,train,Mike Shanahan
DEN,2001,train,Mike Shanahan
DEN,2002,train,Mike Shanahan
DEN,2003,train,Mike Shanahan
DEN,2004,train,Mike Shanahan
DEN,2005,train,Mike Shanahan
DEN,2006,train,Mike Shanahan
DEN,2007,train,Mike Shanahan
DEN,2008,train,Mike Shanahan
DEN,2009,train,Josh McDaniels
DEN,2010,train,Josh McDaniels
DEN,2011,test,John Fox
DEN,2012,test,John Fox
DEN,2013,test,John Fox
DEN,2014,test,John Fox
DEN,2015,train,Gary Kubiak
DEN,2016,train,Gary Kubiak
DEN,2017,train,Vance Joseph
DEN,2018,train,Vance Joseph
DEN,2019,train,Vic Fangio
DEN,2020,train,Vic Fangio
DEN,2021,train,Vic Fangio
DEN,2022,train,Nathaniel Hackett
DEN,2023,train,Sean Payton
DEN,2024,train,Sean Payton
DET,1970,train,Joe Schmidt
DET,1971,train,Joe Schmidt
DET,1972,train,Joe Schmidt
DET,1973,train,Don McCafferty
DET,1974,test,Rick Forzano
DET,1975,test,Rick Forzano
DET,1976,test,Rick Forzano
DET,1977,train,Tommy Hudspeth
DET,1978,train,Monte Clark
DET,1979,train,Monte Clark
DET,1980,train,Monte Clark
DET,1981,train,Monte Clark
DET,1982,train,Monte Clark
DET,1983,train,Monte Clark
DET,1984,train,Monte Clark
DET,1985,train,Darryl Rogers
DET,1986,train,Darryl Rogers
DET,1987,train,Darryl Rogers
DET,1988,train,Darryl Rogers
DET,1989,train,Wayne Fontes
DET,1990,train,Wayne Fontes
DET,1991,train,Wayne Fontes
DET,1992,train,Wayne Fontes
DET,1993,train,Wayne Fontes
DET,1994,train,Wayne Fontes
DET,1995,train,Wayne Fontes
DET,1996,train,Wayne Fontes
DET,1997,train,Bobby Ross
DET,1998,train,Bobby Ross
DET,1999,train,Bobby Ross
DET,2000,train,Bobby Ross
DET,2001,train,Marty Mornhinweg
DET,2002,train,Marty Mornhinweg
DET,2003,train,Steve Mariucci
DET,2004,train,Steve Mariucci
DET,2005,train,Steve Mariucci
DET,2006,train,Rod Marinelli
DET,2007,train,Rod Marinelli
DET,2008,train,Rod Marinelli
DET,2009,train,Jim Schwartz
DET,2010,train,Jim Schwartz
DET,2011,train,Jim Schwartz
DET,2012,train,Jim Schwartz
DET,2013,train,Jim Schwartz
DET,2014,train,Jim Caldwell
DET,2015,train,Jim Caldwell
DET,2016,train,Jim Caldwell
DET,2017,train,Jim Caldwell
DET,2018,train,Matt Patricia
DET,2019,train,Matt Patricia
DET,2020,train,Matt Patricia
DET,2021,train,Dan Campbell
DET,2022,train,Dan Campbell
DET,2023,train,Dan Campbell
DET,2024,train,Dan Campbell
GNB,1970,train,Phil Bengtson
GNB,1971,train,Dan Devine
GNB,1972,train,Dan Devine
GNB,1973,train,Dan Devine
GNB,1974,train,Dan Devine
GNB,1975,train,Bart Starr
GNB,1976,train,Bart Starr
GNB,1977,train,Bart Starr
GNB,1978,train,Bart Starr
GNB,1979,train,Bart Starr
GNB,1980,train,Bart Starr
GNB,1981,train,Bart Starr
GNB,1982,train,Bart Starr
GNB,1983,train,Bart Starr
GNB,1984,train,Forrest Gregg
GNB,1985,train,Forrest Gregg
GNB,1986,train,Forrest Gregg
GNB,1987,train,Forrest Gregg
GNB,1988,train,Lindy Infante
GNB,1989,train,Lindy Infante
GNB,1990,train,Lindy Infante
GNB,1991,train,Lindy Infante
GNB,1992,test,Mike Holmgren
GNB,1993,test,Mike Holmgren
GNB,1994,test,Mike Holmgren
GNB,1995,test,Mike Holmgren
GNB,1996,test,Mike Holmgren
GNB,1997,test,Mike Holmgren
GNB,1998,test,Mike Holmgren
GNB,1999,train,Ray Rhodes
GNB,2000,train,Mike Sherman
GNB,2001,train,Mike Sherman
GNB,2002,train,Mike Sherman
GNB,2003,train,Mike Sherman
GNB,2004,train,Mike Sherman
GNB,2005,train,Mike Sherman
GNB,2006,test,Mike McCarthy
GNB,2007,test,Mike McCarthy
GNB,2008,test,Mike McCarthy
GNB,2009,test,Mike McCarthy
GNB,2010,test,Mike McCarthy
GNB,2011,test,Mike McCarthy
GNB,2012,test,Mike McCarthy
GNB,2013,test,Mike McCarthy
GNB,2014,test,Mike McCarthy
GNB,2015,test,Mike McCarthy
GNB,2016,test,Mike McCarthy
GNB,2017,test,Mike McCarthy
GNB,2018,test,Mike McCarthy
GNB,2019,train,Matt LaFleur
GNB,2020,train,Matt LaFleur
GNB,2021,train,Matt LaFleur
GNB,2022,train,Matt LaFleur
GNB,2023,train,Matt LaFleur
GNB,2024,train,Matt LaFleur
HTX,2002,train,Dom Capers
HTX,2003,train,Dom Capers
HTX,2004,train,Dom Capers
HTX,2005,train,Dom Capers
HTX,2006,train,Gary Kubiak
HTX,2007,train,Gary Kubiak
HTX,2008,train,Gary Kubiak
HTX,2009,train,Gary Kubiak
HTX,2010,train,Gary Kubiak
HTX,2011,train,Gary Kubiak
HTX,2012,train,Gary Kubiak
HTX,2013,train,Gary Kubiak
HTX,2014,test,Bill O'Brien
HTX,2015,test,Bill O'Brien
HTX,2016,test,Bill O'Brien
HTX,2017,test,Bill O'Brien
HTX,2018,test,Bill O'Brien
HTX,2019,test,Bill O'Brien
HTX,2020,test,Bill O'Brien
HTX,2021,train,David Culley
HTX,2022,train,Lovie Smith
HTX,2023,train,DeMeco Ryans
HTX,2024,train,DeMeco Ryans
JAX,1995,train,Tom Coughlin
JAX,1996,train,Tom Coughlin
JAX,1997,train,Tom Coughlin
JAX,1998,train,Tom Coughlin
JAX,1999,train,Tom Coughlin
JAX,2000,train,Tom Coughlin
JAX,2001,train,Tom Coughlin
JAX,2002,train,Tom Coughlin
JAX,2003,train,Jack Del Rio
JAX,2004,train,Jack Del Rio
JAX,2005,train,Jack Del Rio
JAX,2006,train,Jack Del Rio
JAX,2007,train,Jack Del Rio
JAX,2008,train,Jack Del Rio
JAX,2009,train,Jack Del Rio
JAX,2010,train,Jack Del Rio
JAX,2011,train,Jack Del Rio
JAX,2012,train,Mike Mularkey
JAX,2013,train,Gus Bradley
JAX,2014,train,Gus Bradley
JAX,2015,train,Gus Bradley
JAX,2016,train,Gus Bradley
JAX,2017,train,Doug Marrone
JAX,2018,train,Doug Marrone
JAX,2019,train,Doug Marrone
JAX,2020,train,Doug Marrone
JAX,2021,train,Urban Meyer
JAX,2022,test,Doug Pederson
JAX,2023,test,Doug Pederson
JAX,2024,test,Doug Pederson
KAN,1970,train,Hank Stram
KAN,1971,train,Hank Stram
KAN,1972,train,Hank Stram
KAN,1973,train,Hank Stram
KAN,1974,train,Hank Stram
KAN,1975,train,Paul Wiggin
KAN,1976,train,Paul Wiggin
KAN,1977,train,Paul Wiggin
KAN,1978,train,Marv Levy
KAN,1979,train,Marv Levy
KAN,1980,train,Marv Levy
KAN,1981,train,Marv Levy
KAN,1982,train,Marv Levy
KAN,1983,train,John Mackovic
KAN,1984,train,John Mackovic
KAN,1985,train,John Mackovic
KAN,1986,train,John Mackovic
KAN,1987,train,Frank Gansz
KAN,1988,train,Frank Gansz
KAN,1989,train,Marty Schottenheimer
KAN,1990,train,Marty Schottenheimer
KAN,1991,train,Marty Schottenheimer
KAN,1992,train,Marty Schottenheimer
KAN,1993,train,Marty Schottenheimer
KAN,1994,train,Marty Schottenheimer
KAN,1995,train,Marty Schottenheimer
KAN,1996,train,Marty Schottenheimer
KAN,1997,train,Marty Schottenheimer
KAN,1998,train,Marty Schottenheimer
KAN,1999,train,Gunther Cunningham
KAN,2000,train,Gunther Cunningham
KAN,2001,train,Dick Vermeil
KAN,2002,train,Dick Vermeil
KAN,2003,train,Dick Vermeil
KAN,2004,train,Dick Vermeil
KAN,2005,train,Dick Vermeil
KAN,2006,train,Herm Edwards
KAN,2007,train,Herm Edwards
KAN,2008,train,Herm Edwards
KAN,2009,train,Todd Haley
KAN,2010,train,Todd Haley
KAN,2011,train,Todd Haley
KAN,2012,train,Romeo Crennel
KAN,2013,train,Andy Reid
KAN,2014,train,Andy Reid
KAN,2015,train,Andy Reid
KAN,2016,train,Andy Reid
KAN,2017,train,Andy Reid
KAN,2018,train,Andy Reid
KAN,2019,train,Andy Reid
KAN,2020,train,Andy Reid
KAN,2021,train,Andy Reid
KAN,2022,train,Andy Reid
KAN,2023,train,Andy Reid
KAN,2024,train,Andy Reid
MIA,1970,test,Don Shula
MIA,1971,test,Don Shula
MIA,1972,test,Don Shula
MIA,1973,test,Don Shula
MIA,1974,test,Don Shula
MIA,1975,test,Don Shula
MIA,1976,test,Don Shula
MIA,1977,test,Don Shula
MIA,1978,test,Don Shula
MIA,1979,test,Don Shula
MIA,1980,test,Don Shula
MIA,1981,test,Don Shula
MIA,1982,test,Don Shula
MIA,1983,test,Don Shula
MIA,1984,test,Don Shula
MIA,1985,test,Don Shula
MIA,1986,test,Don Shula
MIA,1987,test,Don Shula
MIA,1988,test,Don Shula
MIA,1989,test,Don Shula
MIA,1990,test,Don Shula
MIA,1991,test,Don Shula
MIA,1992,test,Don Shula
MIA,1993,test,Don Shula
MIA,1994,test,Don Shula
MIA,1995,test,Don Shula
MIA,1996,train,Jimmy Johnson
MIA,1997,train,Jimmy Johnson
MIA,1998,train,Jimmy Johnson
MIA,1999,train,Jimmy Johnson
MIA,2000,train,Dave Wannstedt
MIA,2001,train,Dave Wannstedt
MIA,2002,train,Dave Wannstedt
MIA,2003,train,Dave Wannstedt
MIA,2004,train,Dave Wannstedt
MIA,2005,train,Nick Saban
MIA,2006,train,Nick Saban
MIA,2007,train,Cam Cameron
MIA,2008,train,Tony Sparano
MIA,2009,train,Tony Sparano
MIA,2010,train,Tony Sparano
MIA,2011,train,Tony Sparano
MIA,2012,train,Joe Philbin
MIA,2013,train,Joe Philbin
MIA,2014,train,Joe Philbin
MIA,2015,train,Joe Philbin
MIA,2016,train,Adam Gase
MIA,2017,train,Adam Gase
MIA,2018,train,Adam Gase
MIA,2019,train,Brian Flores
MIA,2020,train,Brian Flores
MIA,2021,train,Brian Flores
MIA,2022,train,Mike McDaniel
MIA,2023,train,Mike McDaniel
MIA,2024,train,Mike McDaniel
MIN,1970,train,Bud Grant
MIN,1971,train,Bud Grant
MIN,1972,train,Bud Grant
MIN,1973,train,Bud Grant
MIN,1974,train,Bud Grant
MIN,1975,train,Bud Grant
MIN,1976,train,Bud Grant
MIN,1977,train,Bud Grant
MIN,1978,train,Bud Grant
MIN,1979,train,Bud Grant
MIN,1980,train,Bud Grant
MIN,1981,train,Bud Grant
MIN,1982,train,Bud Grant
MIN,1983,train,Bud Grant
MIN,1984,train,Les Steckel
MIN,1985,train,Bud Grant
MIN,1986,train,Jerry Burns
MIN,1987,train,Jerry Burns
MIN,1988,train,Jerry Burns
MIN,1989,train,Jerry Burns
MIN,1990,train,Jerry Burns
MIN,1991,train,Jerry Burns
MIN,1992,test,Dennis Green
