Primary_Coach,Avg_Impact,Impact_StdDev,Seasons,Total_Impact,Avg_Actual_Win,Avg_Pred_Coach,Avg_Pred_Replace,Avg_WAR,Total_WAR
Chuck Pagano,0.054524,0.042207,6,0.327142,0.552083,0.506232,0.451708,0.9269080000000001,5.561414
Dan Campbell,0.025951,0.055581,5,0.129754,0.53972,0.515959,0.490008,0.441167,2.2058180000000003
Dan Devine,0.007923,0.034018,4,0.031692,0.48215,0.4464,0.438477,0.134691,0.538764
Dan Henning,-0.024384,0.04097,7,-0.170687,0.343757,0.414403,0.438786,-0.414528,-2.901679
Dan Quinn,0.014909,0.039476,7,0.104365,0.520486,0.554615,0.539706,0.253453,1.774205
Dan Reeves,-0.003389,0.03959,23,-0.077941,0.530587,0.530668,0.534057,-0.057613000000000004,-1.324997
Darrell Bevell,-0.007644,0.021483,2,-0.015287,0.2445,0.280964,0.288607,-0.129948,-0.259879
Darren Rizzi,-0.012563,,1,-0.012563,0.2941,0.359219,0.371782,-0.21357099999999998,-0.21357099999999998
Darryl Rogers,-0.006828,0.043204,4,-0.027314,0.316675,0.335689,0.342517,-0.116076,-0.46433800000000003
Dave Campo,-0.053444,0.017067,3,-0.160331,0.3125,0.326095,0.379539,-0.908548,-2.7256270000000002
Dave Canales,0.037977,,1,0.037977,0.2941,0.337475,0.299498,0.645609,0.645609
Dave McGinnis,-0.036197,0.013771,4,-0.144787,0.296875,0.335855,0.372052,-0.615349,-2.461379
Dave Wannstedt,0.019392,0.031953,11,0.213316,0.482955,0.483361,0.463969,0.329664,3.626372
David Culley,-0.066263,,1,-0.066263,0.2353,0.332795,0.399058,-1.126471,-1.126471
David Shula,-0.02585,0.024895,4,-0.103401,0.28125,0.303398,0.329248,-0.43945,-1.7578170000000002
DeMeco Ryans,0.012666,0.006101,2,0.025331,0.5882,0.558001,0.545335,0.215322,0.430627
Dennis Allen,-0.030475,0.028453,5,-0.152377,0.32574,0.33084,0.361316,-0.518075,-2.590409
Dennis Erickson,0.032777,0.03251,6,0.196663,0.416667,0.409025,0.376247,0.5572090000000001,3.343271
Dennis Green,0.043892,0.041531,13,0.570597,0.543269,0.516828,0.472936,0.746164,9.700149
Dick Jauron,0.013951,0.023453,10,0.139508,0.41875,0.404053,0.390102,0.237167,2.371636
Dick LeBeau,-0.005091,0.020904,2,-0.010182,0.25,0.277453,0.282544,-0.086547,-0.173094
Dick MacPherson,-0.00654,0.009972,2,-0.013081,0.25,0.299005,0.305546,-0.11118,-0.22237700000000002
Dick Modzelewski,-0.043672,,1,-0.043672,0.4286,0.439733,0.483405,-0.7424240000000001,-0.7424240000000001
Dick Nolan,0.04072,0.038777,9,0.366484,0.460311,0.490302,0.449582,0.69224,6.230227999999999
Dick Vermeil,0.024002,0.057037,12,0.288019,0.529258,0.589027,0.565026,0.408034,4.896323000000001
Dirk Koetter,0.004457,0.023596,3,0.013372,0.395833,0.394783,0.390325,0.075769,0.227324
Dom Capers,-0.052632,0.059451,8,-0.421059,0.375,0.431827,0.484459,-0.894744,-7.158003
Don Coryell,0.08693,0.058125,9,0.782368,0.574078,0.569846,0.482917,1.4778099999999998,13.300256
Don McCafferty,0.046988,,1,0.046988,0.4643,0.466559,0.419571,0.7987960000000001,0.7987960000000001
Don Shula,0.097267,0.045186,27,2.6262,0.654548,0.620831,0.523565,1.653539,44.645399999999995
Doug Marrone,-0.002592,0.025925,7,-0.018145,0.357143,0.395445,0.398037,-0.044064,-0.30846500000000004
Doug Pederson,0.038266,0.032464,8,0.306132,0.493788,0.493548,0.455282,0.650522,5.204244
Ed Khayat,-0.030032,0.04213,3,-0.090095,0.369067,0.385058,0.415089,-0.510544,-1.531615
Eric Mangini,-0.021372,0.029311,5,-0.106858,0.4125,0.40855,0.429921,-0.363324,-1.8165859999999998
Eric Studesville,0.007206,,1,0.007206,0.25,0.38448,0.377274,0.122502,0.122502
Ernie Hefferle,-0.013707,0.001973,2,-0.027414,0.1429,0.245208,0.258915,-0.233019,-0.466038
Forrest Gregg,0.018548,0.056191,10,0.18548,0.48142,0.466403,0.447855,0.315316,3.15316
Frank Gansz,0.010853,0.000223,2,0.021705,0.27395,0.319857,0.309004,0.184501,0.36898499999999995
Frank Kush,-0.062716,0.002519,2,-0.125432,0.25,0.28964,0.352356,-1.066172,-2.132344
Frank Reich,-0.002373,0.032289,5,-0.011863,0.50882,0.53224,0.534612,-0.040341,-0.20167100000000002
Fred Bruney,-0.04779,0.030133,2,-0.09558,0.4375,0.42422,0.47201,-0.81243,-1.62486
Fred O'Connor,-0.070417,,1,-0.070417,0.125,0.225362,0.295779,-1.1970889999999998,-1.1970889999999998
Freddie Kitchens,-0.045292,,1,-0.045292,0.375,0.351664,0.396956,-0.769964,-0.769964
Gary Kubiak,-0.002553,0.032978,10,-0.025531,0.5125,0.457011,0.459564,-0.043401,-0.43402700000000005
George Allen,0.053115,0.027082,9,0.478034,0.686522,0.687278,0.634163,0.9029550000000001,8.126578
George Seifert,0.084768,0.063332,11,0.932445,0.647727,0.671653,0.586885,1.441056,15.851564999999999
Greg Schiano,-0.032357,0.061864,2,-0.064714,0.34375,0.39212,0.424477,-0.5500689999999999,-1.1001379999999998
Gregg Williams,-0.011086,0.017947,4,-0.044344,0.382825,0.361033,0.372119,-0.18846200000000002,-0.7538480000000001
Gunther Cunningham,-0.025459,0.030272,2,-0.050917,0.5,0.568294,0.593753,-0.432803,-0.8655889999999999
Gus Bradley,-0.012821,0.00837,3,-0.038462,0.25,0.294481,0.307302,-0.217957,-0.653854
Hank Bullough,-0.070153,0.053175,3,-0.210459,0.208333,0.298921,0.369074,-1.1926009999999998,-3.5778030000000003
Hank Stram,0.020349,0.026783,7,0.14244,0.474471,0.53185,0.511502,0.345933,2.4214800000000003
Harland Svare,-0.052042,0.047403,5,-0.260209,0.30716,0.328004,0.380046,-0.884714,-4.423553
Harvey Johnson,-0.031951,,1,-0.031951,0.0714,0.121209,0.153159,-0.543167,-0.543167
Herm Edwards,0.007793,0.044504,8,0.062348,0.421875,0.456615,0.448821,0.132481,1.059916
Homer Rice,-0.035231,,1,-0.035231,0.25,0.374586,0.409817,-0.598927,-0.598927
Hue Jackson,-0.08415,0.064036,3,-0.252449,0.1875,0.231151,0.3153,-1.43055,-4.291633
J.D. Roberts,-0.147513,0.065148,4,-0.590051,0.223225,0.264126,0.411639,-2.507721,-10.030867
Jack Del Rio,0.005069,0.036032,12,0.060824,0.494792,0.497936,0.492868,0.086173,1.034008
Jack Pardee,-0.038016,0.042226,6,-0.228094,0.4881,0.489859,0.527875,-0.6462720000000001,-3.877598
Jack Patera,-0.016313,0.086963,8,-0.1305,0.39235,0.423893,0.440206,-0.27732100000000004,-2.2185
Jason Garrett,0.042625,0.026629,11,0.46888,0.522727,0.508727,0.466102,0.7246250000000001,7.970960000000001
Jay Gruden,0.010972,0.023718,5,0.054859,0.44374,0.430385,0.419413,0.18652400000000002,0.932603
Jeff Fisher,0.023834,0.023597,14,0.333677,0.5625,0.54036,0.516526,0.40517800000000004,5.672509
Jeff Ulbrich,-0.005864,,1,-0.005864,0.2941,0.422249,0.428113,-0.099688,-0.099688
Jerod Mayo,-0.078741,,1,-0.078741,0.2353,0.239189,0.31793,-1.338597,-1.338597
Jerry Burns,0.030786,0.034158,6,0.184717,0.547217,0.570892,0.540105,0.523362,3.140189
Jerry Glanville,-0.007088,0.031912,4,-0.028353,0.421875,0.411967,0.419055,-0.12049599999999999,-0.482001
Jerry Rosburg,-0.004216,,1,-0.004216,0.2941,0.338409,0.342625,-0.071672,-0.071672
Jerry Smith,0.021201,0.00757,2,0.042402,0.3214,0.365647,0.344446,0.36041700000000004,0.7208340000000001
Jerry Williams,-0.047567,,1,-0.047567,0.25,0.31765,0.365217,-0.808639,-0.808639
Jim Caldwell,0.074845,0.114831,7,0.523912,0.553571,0.528174,0.453329,1.272365,8.906504
Jim Dooley,-0.003483,0.032508,2,-0.006967,0.4286,0.376932,0.380415,-0.059211,-0.118439
Jim Fassel,-0.008608,0.036174,7,-0.060257,0.522314,0.509732,0.51834,-0.146336,-1.0243689999999999
Jim Hanifan,-0.05028,,1,-0.05028,0.1875,0.329622,0.379902,-0.85476,-0.85476
Jim Harbaugh,0.070528,0.043048,5,0.352642,0.68568,0.6904,0.619872,1.1989759999999998,5.9949140000000005
Jim Haslett,0.006829,0.016212,6,0.040971,0.46875,0.51446,0.507631,0.116093,0.696507
Jim Mora,-0.051028,0.025642,4,-0.204112,0.484375,0.491609,0.542637,-0.8674759999999999,-3.4699039999999997
Jim Ringo,-0.015848,0.013741,3,-0.047545,0.1667,0.301039,0.316887,-0.269416,-0.8082649999999999
Jim Schwartz,-0.047809,0.030982,5,-0.239043,0.3625,0.388743,0.436552,-0.812753,-4.063731
Jim Tomsula,0.063166,0.044762,2,0.126333,0.34375,0.391956,0.328789,1.073822,2.147661
Jim Zorn,0.048533,0.040415,2,0.097065,0.375,0.51869,0.470157,0.825061,1.650105
Jimmy Johnson,0.059499,0.059587,9,0.535494,0.555556,0.510262,0.450763,1.0114830000000001,9.103398
Joe Bugel,-0.092579,,1,-0.092579,0.25,0.381973,0.474553,-1.5738429999999999,-1.5738429999999999
Joe Gibbs,0.066589,0.057487,16,1.065424,0.628731,0.594779,0.52819,1.132013,18.112208
Joe Judge,-0.010854,0.002274,2,-0.021708,0.30515,0.343221,0.354075,-0.18451800000000002,-0.36903600000000003
Joe Philbin,0.054005,0.032711,4,0.216019,0.460925,0.479477,0.425473,0.9180849999999999,3.672323
Joe Schmidt,0.056437,0.03487,3,0.169311,0.619033,0.644211,0.587775,0.959429,2.878287
Joe Walton,0.017635,0.033722,7,0.123444,0.481243,0.466614,0.44898,0.29979500000000003,2.098548
John Fox,0.030931,0.041534,16,0.494894,0.519531,0.496531,0.4656,0.525827,8.413198
John Harbaugh,0.071377,0.041799,17,1.213414,0.623053,0.609038,0.537661,1.213409,20.628038
John Mackovic,0.014087,0.036891,4,0.056347,0.46875,0.514459,0.500373,0.239479,0.9578990000000001
John Madden,0.045684,0.035123,9,0.41116,0.737111,0.650357,0.604673,0.7766280000000001,6.98972
John Mazur,0.008093,0.008908,3,0.024278,0.285733,0.259636,0.251544,0.13758099999999998,0.41272600000000004
John McKay,-0.040839,0.084076,9,-0.367555,0.338033,0.385564,0.426403,-0.694263,-6.248435000000001
John McVay,0.022575,0.0317,3,0.067725,0.315467,0.30513,0.282555,0.38377500000000003,1.151325
John North,0.020822,0.027342,2,0.041643,0.3571,0.301558,0.280737,0.353974,0.707931
John Ralston,0.051129,0.031541,5,0.255644,0.50714,0.463495,0.412366,0.869193,4.345948
John Rauch,-0.070513,,1,-0.070513,0.25,0.247025,0.317538,-1.1987210000000001,-1.1987210000000001
John Robinson,0.062352,0.031813,14,0.872924,0.54375,0.56541,0.503058,1.059984,14.839708
Jon Gruden,0.005202,0.0307,13,0.067628,0.509615,0.542186,0.536984,0.088434,1.149676
Jonathan Gannon,0.012005,0.003388,2,0.024009,0.35295,0.32511,0.313106,0.204085,0.408153
Josh McDaniels,-0.127139,,1,-0.127139,0.5,0.517938,0.645077,-2.161363,-2.161363
June Jones,-0.046622,0.036408,4,-0.186487,0.375,0.429769,0.476391,-0.7925739999999999,-3.1702790000000003
Kay Stephenson,0.000817,0.042268,2,0.001633,0.3125,0.357412,0.356595,0.013889,0.027760999999999997
Ken Meyer,-0.063967,,1,-0.063967,0.3571,0.370828,0.434794,-1.0874389999999998,-1.0874389999999998
Ken Whisenhunt,-0.021494,0.019478,8,-0.17195,0.390625,0.414537,0.436031,-0.365398,-2.9231499999999997
Kevin Gilbride,0.048861,,1,0.048861,0.25,0.313034,0.264172,0.8306370000000001,0.8306370000000001
Kevin O'Connell,0.096774,0.038542,3,0.290321,0.666667,0.596787,0.500013,1.645158,4.9354569999999995
Kevin Stefanski,0.057986,0.022604,5,0.289931,0.4787,0.42282,0.364834,0.985762,4.928827
Kliff Kingsbury,0.042277,0.019867,4,0.169106,0.43155,0.429895,0.387618,0.718709,2.8748020000000003
Kyle Shanahan,0.054437,0.025392,8,0.435499,0.528025,0.471646,0.417208,0.925429,7.4034830000000005
Lane Kiffin,-0.004283,0.041389,2,-0.008565,0.28125,0.382764,0.387046,-0.072811,-0.14560499999999998
Leeman Bennett,-0.001214,0.049925,8,-0.009711,0.428825,0.456593,0.457807,-0.020638,-0.16508699999999998
Les Steckel,-0.03023,,1,-0.03023,0.1875,0.194864,0.225093,-0.51391,-0.51391
Leslie Frazier,-0.009173,0.032139,3,-0.027519,0.385433,0.41621,0.425384,-0.155941,-0.467823
Lindy Infante,-0.022643,0.034622,6,-0.13586,0.375,0.401207,0.42385,-0.384931,-2.3096200000000002
Lou Holtz,-0.002239,0.014353,2,-0.004479,0.2143,0.162813,0.165052,-0.038063,-0.076143
Lou Saban,0.014602,0.038194,5,0.073012,0.5143,0.456637,0.442035,0.248234,1.241204
Lovie Smith,0.011605,0.033589,12,0.139254,0.4807,0.508671,0.497067,0.19728500000000002,2.367318
Marc Trestman,-0.003404,0.004606,2,-0.006807,0.40625,0.425153,0.428557,-0.057867999999999996,-0.11571899999999999
Marion Campbell,-0.026436,0.027571,8,-0.211485,0.287825,0.311564,0.338,-0.44941200000000003,-3.5952450000000002
Marty Mornhinweg,-0.083376,0.025053,2,-0.166751,0.15625,0.251461,0.334837,-1.417392,-2.8347670000000003
Marty Schottenheimer,0.042043,0.034869,21,0.882902,0.601686,0.58716,0.545117,0.714731,15.009333999999999
Marv Levy,0.033289,0.063735,16,0.53262,0.561719,0.550464,0.517175,0.565913,9.05454
Marvin Lewis,0.007446,0.02606,16,0.119143,0.517569,0.517703,0.510256,0.126582,2.025431
Matt Eberflus,-0.059014,0.033769,3,-0.177042,0.294133,0.41189,0.470904,-1.0032379999999999,-3.0097140000000002
Matt LaFleur,0.090088,0.035676,6,0.540529,0.6728,0.671407,0.581319,1.531496,9.188993
Matt Nagy,0.041173,0.018862,4,0.164693,0.525725,0.490467,0.449294,0.699941,2.7997810000000003
Matt Patricia,0.023104,0.043703,2,0.046208,0.2969,0.305596,0.282492,0.392768,0.785536
Matt Rhule,0.03548,0.034306,3,0.106441,0.339467,0.329839,0.294359,0.6031599999999999,1.809497
Mike Ditka,0.047181,0.05912,14,0.660539,0.553864,0.541692,0.494511,0.802077,11.229163
Mike Holmgren,0.084369,0.032204,17,1.434273,0.591912,0.593747,0.509378,1.434273,24.382641
Mike Macdonald,-0.00222,,1,-0.00222,0.5882,0.469724,0.471945,-0.03774,-0.03774
Mike McCarthy,0.036766,0.030535,17,0.625027,0.617541,0.606996,0.57023,0.625022,10.625459
Mike McCormack,-0.058784,0.03394,3,-0.176353,0.392867,0.401254,0.460038,-0.999328,-2.9980010000000004
Mike McCoy,0.035203,0.065744,4,0.14081,0.421875,0.402786,0.367583,0.598451,2.39377
Mike McDaniel,0.093891,0.074438,3,0.281672,0.549033,0.501035,0.407145,1.596147,4.788424
Mike Mularkey,-0.012051,0.019605,5,-0.060254,0.425,0.446756,0.458807,-0.204867,-1.024318
Mike Munchak,-0.043221,0.041962,3,-0.129662,0.458333,0.44121,0.484431,-0.734757,-2.204254
Mike Nolan,-0.054551,0.044781,4,-0.218204,0.359375,0.352152,0.406703,-0.927367,-3.709468
Mike Pettine,-0.041434,0.038595,2,-0.082869,0.3125,0.319866,0.361301,-0.704378,-1.408773
Mike Riley,-0.034779,0.031614,3,-0.104337,0.291667,0.357926,0.392705,-0.591243,-1.773729
Mike Shanahan,0.038946,0.041259,19,0.739974,0.555921,0.564786,0.525839,0.6620820000000001,12.579558
Mike Sherman,0.0998,0.035783,6,0.598798,0.59375,0.594322,0.494522,1.6966,10.179566000000001
Mike Singletary,-0.092804,,1,-0.092804,0.5,0.531087,0.623891,-1.577668,-1.577668
Mike Smith,0.05878,0.034485,7,0.411462,0.589286,0.574889,0.516109,0.99926,6.994854
Mike Tice,0.008302,0.013731,4,0.033206,0.5,0.551021,0.542719,0.141134,0.564502
Mike Tomlin,0.087975,0.040588,18,1.583557,0.631022,0.619287,0.531311,1.4955749999999999,26.920469
Mike Vrabel,0.069801,0.035851,6,0.418804,0.547183,0.528352,0.458552,1.186617,7.119668
Mike White,0.054725,0.002519,2,0.10945,0.46875,0.424903,0.370178,0.9303250000000001,1.8606500000000001
Mike Zimmer,0.019716,0.021768,8,0.157731,0.562725,0.544999,0.525283,0.335172,2.6814270000000002
Monte Clark,0.006083,0.04548,8,0.048661,0.435562,0.451117,0.445035,0.103411,0.827237
Neill Armstrong,-0.019177,0.005108,4,-0.076707,0.46875,0.473324,0.492501,-0.326009,-1.304019
Nick Saban,-0.027169,0.017396,2,-0.054337,0.46875,0.452662,0.47983,-0.461873,-0.923729
Nick Sirianni,0.031123,0.043054,4,0.124494,0.705875,0.64573,0.614607,0.529091,2.116398
Nick Skorich,0.053104,0.059322,4,0.212417,0.553575,0.488168,0.435064,0.902768,3.6110889999999998
Norm Van Brocklin,-0.002082,0.011791,4,-0.008329,0.508925,0.498747,0.50083,-0.035394,-0.141593
Norv Turner,0.008811,0.066737,15,0.13217,0.481247,0.508994,0.500182,0.149787,2.24689
Pat Shurmur,-0.035204,0.025171,4,-0.140816,0.28125,0.404619,0.439823,-0.598468,-2.393872
Paul Brown,0.034491,0.07993,6,0.206944,0.571417,0.583182,0.548691,0.5863470000000001,3.518048
Paul Wiggin,-0.049241,0.060369,3,-0.147724,0.2857,0.364616,0.413857,-0.837097,-2.511308
Perry Fewell,0.018771,,1,0.018771,0.3125,0.349674,0.330904,0.319107,0.319107
Pete Carroll,0.065967,0.035053,18,1.187405,0.586906,0.57886,0.512893,1.121439,20.185885
Phil Bengtson,-0.025472,,1,-0.025472,0.4286,0.398867,0.424339,-0.433024,-0.433024
Raheem Morris,-0.04759,0.056713,4,-0.190358,0.383275,0.388081,0.435671,-0.80903,-3.236086
Ray Handley,-0.007874,0.024767,2,-0.015749,0.4375,0.439153,0.447027,-0.133858,-0.267733
Ray Malavasi,0.038828,0.028343,11,0.427113,0.523355,0.512835,0.474006,0.660076,7.260921000000001
Ray Perkins,0.004012,0.021501,9,0.036111,0.363733,0.368505,0.364493,0.068204,0.613887
Ray Rhodes,-0.00406,0.013078,5,-0.0203,0.46874,0.411376,0.415436,-0.06902,-0.34509999999999996
Raymond Berry,0.058248,0.04585,7,0.407738,0.558329,0.535038,0.47679,0.990216,6.931546
Red Miller,0.011,0.042706,4,0.044001,0.651775,0.596611,0.585611,0.187,0.7480169999999999
Rex Ryan,0.02358,0.042081,7,0.165062,0.482143,0.485337,0.461757,0.40086,2.8060539999999996
Rich Kotite,0.003298,0.021582,6,0.019789,0.416667,0.445192,0.441894,0.056066000000000005,0.336413
Richard Williamson,-0.06158,,1,-0.06158,0.1875,0.204244,0.265824,-1.0468600000000001,-1.0468600000000001
Richie Petitbon,-0.048896,,1,-0.048896,0.25,0.310627,0.359523,-0.8312320000000001,-0.8312320000000001
Rick Forzano,0.000172,0.052256,4,0.000689,0.4643,0.507231,0.507059,0.002924,0.011713000000000001
Rick Venturi,-0.10944,0.045419,2,-0.218881,0.125,0.310412,0.419852,-1.86048,-3.720977
Rob Chudzinski,0.010782,,1,0.010782,0.25,0.334305,0.323523,0.183294,0.183294
Robert Saleh,0.020393,0.016111,3,0.061178,0.352967,0.321571,0.301179,0.346681,1.0400260000000001
Rod Dowhower,-0.026897,0.013894,3,-0.08069,0.229167,0.270545,0.297441,-0.457249,-1.37173
Rod Marinelli,-0.061764,0.087021,3,-0.185291,0.208333,0.243764,0.305528,-1.049988,-3.149947
Rod Rust,-0.055773,,1,-0.055773,0.0625,0.1531,0.208872,-0.948141,-0.948141
Romeo Crennel,-0.012253,0.029784,6,-0.073519,0.34375,0.36492,0.377173,-0.20830100000000001,-1.2498230000000001
Ron Erhardt,0.02764,0.028759,3,0.08292,0.4375,0.467236,0.439596,0.46988,1.40964
Ron Meyer,0.080061,0.04928,6,0.480363,0.525933,0.46977,0.389709,1.3610369999999998,8.166171
Ron Rivera,0.022699,0.058152,12,0.272385,0.50445,0.458585,0.435886,0.38588300000000003,4.630545
Sam Rutigliano,-0.001356,0.038988,6,-0.008137,0.511567,0.523501,0.524857,-0.023052,-0.138329
Sam Wyche,0.029321,0.035602,12,0.351848,0.438892,0.46398,0.434659,0.498457,5.981416
Sean McDermott,-0.00515,0.037695,8,-0.041199,0.6558,0.589775,0.594925,-0.08755,-0.700383
Sean Payton,0.078758,0.029899,17,1.338888,0.619159,0.60023,0.521472,1.338886,22.761096000000002
Shane Steichen,-0.022349,0.004645,2,-0.044697,0.5,0.466612,0.48896,-0.379933,-0.759849
Steve Mariucci,0.042615,0.039382,8,0.340921,0.53125,0.554268,0.511653,0.724455,5.795656999999999
Steve Spurrier,0.037507,0.003169,2,0.075015,0.375,0.39974,0.362232,0.6376189999999999,1.275255
Steve Wilks,-0.049536,,1,-0.049536,0.1875,0.218021,0.267557,-0.842112,-0.842112
Ted Marchibroda,-0.056095,0.050254,7,-0.392668,0.415171,0.41897,0.475065,-0.953615,-6.675356000000001
Todd Bowles,-0.002275,0.024278,8,-0.018196,0.4329,0.442989,0.445264,-0.038675,-0.309332
Todd Haley,-0.007468,0.008878,2,-0.014937,0.4375,0.451295,0.458763,-0.12695599999999999,-0.253929
Tom Cable,0.002429,0.064758,2,0.004857,0.40625,0.351797,0.349368,0.041293,0.082569
Tom Coughlin,0.050613,0.048,20,1.012252,0.53125,0.53495,0.484337,0.860421,17.208284
Tom Flores,0.010962,0.048546,12,0.131543,0.53935,0.531656,0.520694,0.186354,2.236231
Tom Landry,0.081394,0.037711,19,1.546485,0.657395,0.625973,0.544579,1.3836979999999999,26.290245000000002
Tommy Hudspeth,0.006765,,1,0.006765,0.4286,0.447786,0.441021,0.115005,0.115005
Tommy Prothro,0.027044,0.041942,8,0.216355,0.446425,0.44535,0.418306,0.459748,3.678035
Tony Dungy,0.074753,0.068984,13,0.971794,0.668269,0.634468,0.559714,1.270801,16.520498
Tony Sparano,0.032739,0.059581,3,0.098217,0.520833,0.452528,0.419789,0.5565629999999999,1.669689
Vance Joseph,0.00394,0.00379,2,0.007881,0.34375,0.35233,0.348389,0.06698,0.133977
Vic Fangio,0.003788,0.033243,3,0.011363,0.387267,0.35829,0.354502,0.06439600000000001,0.193171
Vince Tobin,-0.006127,0.026709,4,-0.024509,0.40625,0.345671,0.351798,-0.10415899999999999,-0.416653
Wade Phillips,0.020222,0.036691,8,0.161775,0.609375,0.565084,0.544862,0.343774,2.750175
Walt Michaels,-0.002837,0.048739,6,-0.017024,0.464533,0.440255,0.443093,-0.048229,-0.289408
Wayne Fontes,-0.013127,0.029349,8,-0.105018,0.5,0.503473,0.5166,-0.223159,-1.785306
