Feature,Mean_Abs_SHAP,Subcategory,Rank
1stD Passing__dc_Norm,0.00044213742,Coaching: DC,55
TO__hc_Norm,0.00041732326,Coaching: HC Offense,56
Plays Average Drive__oc_Norm,0.00041472187,Coaching: OC,57
TD Passing__opp__hc_Norm,0.00041327422,Coaching: HC Defense,58
Int Passing__dc_Norm,0.000406795,Coaching: DC,59
TO%__opp__hc_Norm,0.00040086504,Coaching: HC Defense,60
Int Passing__hc_Norm,0.0003453793,Coaching: HC Offense,61
3D%__dc_Norm,0.00033652116,Coaching: DC,62
TD Rushing__dc_Norm,0.00032562568,Coaching: DC,63
Yds Average Drive__hc_Norm,0.00029721844,Coaching: HC Offense,64
PF (Points For)__dc_Norm,0.0002919311,Coaching: DC,65
TD Passing__hc_Norm,0.0002867119,Coaching: HC Offense,66
RZAtt__oc_Norm,0.0002861717,Coaching: OC,67
Time Average Drive__dc_Norm,0.0002746438,Coaching: DC,68
Yds Penalties__opp__hc_Norm,0.00026093997,Coaching: HC Defense,69
Plays Average Drive__opp__hc_Norm,0.00025131376,Coaching: HC Defense,70
Att Rushing__hc_Norm,0.00024864066,Coaching: HC Offense,71
Sc%__opp__hc_Norm,0.00023889678,Coaching: HC Defense,72
4D%__oc_Norm,0.00023746457,Coaching: OC,73
4DAtt__opp__hc_Norm,0.000221931,Coaching: HC Defense,74
4D%__opp__hc_Norm,0.00021862287,Coaching: HC Defense,75
#Dr__opp__hc_Norm,0.00021012631,Coaching: HC Defense,76
Pen__opp__hc_Norm,0.00020638185,Coaching: HC Defense,77
3D%__opp__hc_Norm,0.00020424453,Coaching: HC Defense,78
Yds Average Drive__oc_Norm,0.00020237993,Coaching: OC,79
Yds Rushing__hc_Norm,0.00016876894,Coaching: HC Offense,80
Yds Rushing__oc_Norm,0.00016365327,Coaching: OC,81
3D%__oc_Norm,0.00015562278,Coaching: OC,82
Att Passing__dc_Norm,0.0001375746,Coaching: DC,83
Y/A Rushing__hc_Norm,0.00013214737,Coaching: HC Offense,84
4DAtt__hc_Norm,0.00012018164,Coaching: HC Offense,85
TD Rushing__oc_Norm,9.4927746e-05,Coaching: OC,86
Yds Passing__dc_Norm,9.321285e-05,Coaching: DC,87
#Dr__oc_Norm,8.5161504e-05,Coaching: OC,88
Time Average Drive__opp__hc_Norm,6.823483e-05,Coaching: HC Defense,89
Cmp Passing__opp__hc_Norm,4.5924597e-05,Coaching: HC Defense,90
NY/A Passing__oc_Norm,4.4364548e-05,Coaching: OC,91
TD Passing__oc_Norm,3.9909228e-05,Coaching: OC,92
Att Passing__hc_Norm,2.665622e-05,Coaching: HC Offense,93
Y/P__oc_Norm,0.0,Coaching: OC,94
Yds__oc_Norm,0.0,Coaching: OC,95
PF (Points For)__oc_Norm,0.0,Coaching: OC,96
TO__oc_Norm,0.0,Coaching: OC,97
Yds Penalties__oc_Norm,0.0,Coaching: OC,98
Pts Average Drive__oc_Norm,0.0,Coaching: OC,99
Time Average Drive__oc_Norm,0.0,Coaching: OC,100
Yds__hc_Norm,0.0,Coaching: HC Offense,101
RZPct__dc_Norm,0.0,Coaching: DC,102
Plays Average Drive__dc_Norm,0.0,Coaching: DC,103
Yds Average Drive__dc_Norm,0.0,Coaching: DC,104
Sc%__dc_Norm,0.0,Coaching: DC,105
Att Rushing__dc_Norm,0.0,Coaching: DC,106
Yds Rushing__dc_Norm,0.0,Coaching: DC,107
Pen__dc_Norm,0.0,Coaching: DC,108
TD Passing__dc_Norm,0.0,Coaching: DC,109
1stD Rushing__oc_Norm,0.0,Coaching: OC,110
Cmp Passing__oc_Norm,0.0,Coaching: OC,111
1stD__oc_Norm,0.0,Coaching: OC,112
Yds Passing__oc_Norm,0.0,Coaching: OC,113
Att Passing__oc_Norm,0.0,Coaching: OC,114
Cmp Passing__hc_Norm,0.0,Coaching: HC Offense,115
TD Rushing__hc_Norm,0.0,Coaching: HC Offense,116
RZPct__hc_Norm,0.0,Coaching: HC Offense,117
3D%__hc_Norm,0.0,Coaching: HC Offense,118
3DAtt__hc_Norm,0.0,Coaching: HC Offense,119
Plays Average Drive__hc_Norm,0.0,Coaching: HC Offense,120
Time Average Drive__hc_Norm,0.0,Coaching: HC Offense,121
#Dr__hc_Norm,0.0,Coaching: HC Offense,122
1stD Rushing__hc_Norm,0.0,Coaching: HC Offense,123
Pen__hc_Norm,0.0,Coaching: HC Offense,124
1stD__hc_Norm,0.0,Coaching: HC Offense,125
1stD Passing__opp__hc_Norm,0.0,Coaching: HC Defense,126
Att Passing__opp__hc_Norm,0.0,Coaching: HC Defense,127
Att Rushing__opp__hc_Norm,0.0,Coaching: HC Defense,128
Yds Average Drive__opp__hc_Norm,0.0,Coaching: HC Defense,129
Pts Average Drive__opp__hc_Norm,0.0,Coaching: HC Defense,130
RZAtt__opp__hc_Norm,0.0,Coaching: HC Defense,131
RZPct__opp__hc_Norm,0.0,Coaching: HC Defense,132
