Feature,Mean_Abs_SHAP,Category,Rank
CB_Min_Games_Missed_Pct,0.0025393388,Injury/Availability,36
Total CapAllocations_Pct,0.0024922502,Salary Cap,37
WR_Pct,0.0024416915,Salary Cap,38
DL_Max_Games_Missed_Pct,0.0023002096,Injury/Availability,39
QB_Players_New,0.0022303783,Roster Turnover,40
TE_Players_Count,0.0021960041,Injury/Availability,41
NY/A Passing__opp__hc_Norm,0.0021490466,Coaching Performance,42
RZAtt__dc_Norm,0.0021429001,Coaching Performance,43
4D%__dc_Norm,0.00210234,Coaching Performance,44
1stD__opp__hc_Norm,0.0020572464,Coaching Performance,45
Yds__opp__hc_Norm,0.0020164174,Coaching Performance,46
1stPy__opp__hc_Norm,0.0017883022,Coaching Performance,47
3DAtt__opp__hc_Norm,0.0017764042,Coaching Performance,48
Opp_Yds_Penalties_Norm,0.0017751822,Team Performance,49
TD Rushing__opp__hc_Norm,0.0017136235,Coaching Performance,50
Avg_Roster_Exp_OL,0.0016820682,Player Age & Experience,51
RZAtt__hc_Norm,0.0016430162,Coaching Performance,52
Y/P__opp__hc_Norm,0.0016401245,Coaching Performance,53
TO%__opp__hc_Norm,0.0016172779,Coaching Performance,54
RB_Net_Change,0.0016033981,Roster Turnover,55
TO__opp__hc_Norm,0.0015665077,Coaching Performance,56
WR_Retention_Rate_Pct_crosstab,0.0015061602,Roster Turnover,57
Avg_Roster_Age_QB,0.0014337894,Player Age & Experience,58
QB_New_Player_Rate_Pct,0.0014317583,Roster Turnover,59
WR_Max_Games_Missed_Pct,0.0014002032,Injury/Availability,60
DL_Avg_Games_Missed_Pct,0.0013851883,Injury/Availability,61
QB_Players_Departed,0.0013816281,Roster Turnover,62
S_Players_Count,0.0013411539,Injury/Availability,63
Pen__oc_Norm,0.0013306407,Coaching Performance,64
Avg_Roster_Age_TE,0.0013122667,Player Age & Experience,65
Avg_Starter_Age_LB,0.0013003346,Player Age & Experience,66
QB_Players_Retained,0.0012888596,Roster Turnover,67
1stD Rushing__opp__hc_Norm,0.0012303304,Coaching Performance,68
Yds Penalties__oc_Norm,0.0011652607,Coaching Performance,69
4DAtt__oc_Norm,0.0011617754,Coaching Performance,70
TD Rushing__hc_Norm,0.0011409794,Coaching Performance,71
Avg_Roster_Exp_QB,0.0011305822,Player Age & Experience,72
Sc%__dc_Norm,0.0011180722,Coaching Performance,73
Cmp Passing__dc_Norm,0.0011155184,Coaching Performance,74
WR_Players_New,0.0010959927,Roster Turnover,75
Avg_Starter_Exp_QB,0.0010530719,Player Age & Experience,76
Y/A Rushing__oc_Norm,0.001021522,Coaching Performance,77
Y/P__dc_Norm,0.0010193603,Coaching Performance,78
Sc%__hc_Norm,0.0010068562,Coaching Performance,79
LB_Players_New,0.000998603,Roster Turnover,80
Avg_Roster_Age_DL,0.000991272,Player Age & Experience,81
1stD Passing__hc_Norm,0.0009761059,Coaching Performance,82
LB_Net_Change,0.00096496585,Roster Turnover,83
Avg_Roster_Age_LB,0.0009645446,Player Age & Experience,84
Avg_Starter_Age_CB,0.00095499,Player Age & Experience,85
3D%__opp__hc_Norm,0.0009422648,Coaching Performance,86
Prev_2Yr_Round_6_Picks,0.00091257796,Draft Strategy,87
K_Pct,0.00088227226,Salary Cap,88
Y/P__hc_Norm,0.0008691188,Coaching Performance,89
LB_New_Player_Rate_Pct_crosstab,0.00086105766,Roster Turnover,90
1stD Passing__dc_Norm,0.0008503848,Coaching Performance,91
Pts Average Drive__dc_Norm,0.0008472376,Coaching Performance,92
Time Average Drive__oc_Norm,0.0008456489,Coaching Performance,93
Yds Penalties__dc_Norm,0.0008398135,Coaching Performance,94
4DAtt__dc_Norm,0.00081998494,Coaching Performance,95
Pts Average Drive__opp__hc_Norm,0.00081069616,Coaching Performance,96
Avg_Starter_Age_TE,0.0008043236,Player Age & Experience,97
Y/A Rushing__opp__hc_Norm,0.0008037182,Coaching Performance,98
NY/A Passing__dc_Norm,0.00079979195,Coaching Performance,99
DL_Players_Departed,0.00077227573,Roster Turnover,100
NY/A Passing__oc_Norm,0.0007625217,Coaching Performance,101
Avg_Roster_Age,0.00075234834,Player Age & Experience,102
TD Passing__opp__hc_Norm,0.00074804615,Coaching Performance,103
TO%__oc_Norm,0.00074655394,Coaching Performance,104
WR_Min_Games_Missed_Pct,0.00074224075,Injury/Availability,105
TE_Departure_Rate_Pct,0.0007418745,Roster Turnover,106
RB_Max_Games_Missed_Pct,0.00072524144,Injury/Availability,107
1stD Rushing__oc_Norm,0.0007098417,Coaching Performance,108
LB_Avg_Games_Missed_Pct,0.00069872476,Injury/Availability,109
WR_Players_Count,0.0006984206,Injury/Availability,110
Sc%__opp__hc_Norm,0.00068783964,Coaching Performance,111
CB_Net_Change,0.00068249064,Roster Turnover,112
Opp_Pen_Norm,0.0006822821,Team Performance,113
CB_Avg_Games_Missed_Pct,0.00067363493,Injury/Availability,114
TO%__hc_Norm,0.00066524214,Coaching Performance,115
TD Passing__dc_Norm,0.00066497,Coaching Performance,116
#Dr__dc_Norm,0.00065270247,Coaching Performance,117
Int Passing__dc_Norm,0.00065040856,Coaching Performance,118
PF (Points For)__oc_Norm,0.0006460531,Coaching Performance,119
num_yr_nfl_coor,0.00064210757,Coaching Experience,120
CB_Players_New,0.00062237715,Roster Turnover,121
Avg_Roster_Age_WR,0.0005712034,Player Age & Experience,122
1stPy__hc_Norm,0.0005661593,Coaching Performance,123
num_yr_col_pos,0.00053168123,Coaching Experience,124
TO__dc_Norm,0.0005308425,Coaching Performance,125
SEC_Pct,0.0005273028,Salary Cap,126
3DAtt__oc_Norm,0.000525995,Coaching Performance,127
TE_Avg_Games_Missed_Pct,0.00052117265,Injury/Availability,128
CB_New_Player_Rate_Pct,0.0005156322,Roster Turnover,129
Int Passing__opp__hc_Norm,0.00051516696,Coaching Performance,130
DL_Min_Games_Missed_Pct,0.0005079013,Injury/Availability,131
Att Passing__opp__hc_Norm,0.00050714874,Coaching Performance,132
QB_Retention_Rate_Pct_crosstab,0.000494668,Roster Turnover,133
4D%__hc_Norm,0.0004901618,Coaching Performance,134
Avg_Starter_Age_RB,0.00048656372,Player Age & Experience,135
1stPy__oc_Norm,0.00047522812,Coaching Performance,136
Yds__dc_Norm,0.0004715524,Coaching Performance,137
RB_Players_New,0.00047048792,Roster Turnover,138
Att Passing__hc_Norm,0.0004552479,Coaching Performance,139
Avg_Roster_Age_CB,0.0004529804,Player Age & Experience,140
CB_Players_Departed,0.00045279443,Roster Turnover,141
3DAtt__dc_Norm,0.00044612173,Coaching Performance,142
Prev_3Yr_Round_4_Picks,0.00044471363,Draft Strategy,143
Yds Average Drive__opp__hc_Norm,0.00043340307,Coaching Performance,144
Yds Passing__oc_Norm,0.00043322454,Coaching Performance,145
Prev_3Yr_Round_7Plus_Picks,0.00041639866,Draft Strategy,146
Yds Penalties__opp__hc_Norm,0.00040971916,Coaching Performance,147
Yds Passing__opp__hc_Norm,0.00040688133,Coaching Performance,148
Avg_Roster_Age_S,0.00039137265,Player Age & Experience,149
Prev_1Yr_Round_5_Picks,0.00037932466,Draft Strategy,150
PF (Points For)__dc_Norm,0.00037210365,Coaching Performance,151
Avg_Roster_Exp_RB,0.00036530494,Player Age & Experience,152
Plays Average Drive__dc_Norm,0.00036300666,Coaching Performance,153
TD Passing__oc_Norm,0.00036085016,Coaching Performance,154
Avg_Roster_Exp_LB,0.0003565732,Player Age & Experience,155
RB_Min_Games_Missed_Pct,0.00035518454,Injury/Availability,156
Att Rushing__dc_Norm,0.00035396978,Coaching Performance,157
Total_Games_In_Season,0.0003524637,Injury/Availability,158
TE_Departure_Rate_Pct_crosstab,0.0003516983,Roster Turnover,159
LB_Retention_Rate_Pct_crosstab,0.0003512523,Roster Turnover,160
WR_New_Player_Rate_Pct,0.0003503422,Roster Turnover,161
Att Passing__dc_Norm,0.00034630197,Coaching Performance,162
SPT_Pct,0.00034434441,Salary Cap,163
Prev_2Yr_Round_7Plus_Picks,0.00033598294,Draft Strategy,164
DL_Players_New,0.00033042196,Roster Turnover,165
Time Average Drive__opp__hc_Norm,0.00032822497,Coaching Performance,166
Cmp Passing__hc_Norm,0.00032798943,Coaching Performance,167
S_New_Player_Rate_Pct,0.0003235128,Roster Turnover,168
RZPct__oc_Norm,0.00032181843,Coaching Performance,169
Avg_Roster_Exp_CB,0.00031843095,Player Age & Experience,170
Int Passing__oc_Norm,0.0003121095,Coaching Performance,171
4D%__oc_Norm,0.00031107364,Coaching Performance,172
DL_Players_Count,0.00030344835,Injury/Availability,173
Prev_2Yr_Round_4_Picks,0.00029397206,Draft Strategy,174
Yds Average Drive__dc_Norm,0.00028921218,Coaching Performance,175
Avg_Starter_Age_S,0.0002869621,Player Age & Experience,176
3DAtt__hc_Norm,0.00028622666,Coaching Performance,177
Avg_Starter_Age_QB,0.00028584513,Player Age & Experience,178
StdDev_Starter_Experience,0.00028540165,Player Age & Experience,179
Avg_Starter_Exp_RB,0.0002802054,Player Age & Experience,180
Yds Rushing__dc_Norm,0.00027679792,Coaching Performance,181
Cmp Passing__opp__hc_Norm,0.00026561102,Coaching Performance,182
Yds Average Drive__oc_Norm,0.0002647862,Coaching Performance,183
CB_Players_Count,0.00025874472,Injury/Availability,184
1stD__oc_Norm,0.00024709516,Coaching Performance,185
RZPct__hc_Norm,0.00024692854,Coaching Performance,186
num_yr_nfl_hc,0.00023520108,Coaching Experience,187
3D%__dc_Norm,0.0002315934,Coaching Performance,188
Int Passing__hc_Norm,0.00022922597,Coaching Performance,189
Att Rushing__oc_Norm,0.0002257971,Coaching Performance,190
4DAtt__hc_Norm,0.00022323616,Coaching Performance,191
CB_Retention_Rate_Pct_crosstab,0.00021034566,Roster Turnover,192
4D%__opp__hc_Norm,0.00020580062,Coaching Performance,193
Avg_Starter_Exp_WR,0.00020505697,Player Age & Experience,194
Pen__dc_Norm,0.00020413994,Coaching Performance,195
LS_Pct,0.0001889106,Salary Cap,196
1stD Rushing__hc_Norm,0.00018464078,Coaching Performance,197
QB_Pct,0.00018408292,Salary Cap,198
Team_Yds_Penalties_Norm,0.00018080733,Team Performance,199
OL_Retention_Rate_Pct_crosstab,0.0001788841,Roster Turnover,200
#Dr__hc_Norm,0.00017858758,Coaching Performance,201
RB_Avg_Games_Missed_Pct,0.00017750748,Injury/Availability,202
OL_Net_Change,0.00017522513,Roster Turnover,203
RB_New_Player_Rate_Pct,0.00017036851,Roster Turnover,204
StdDev_Roster_Age,0.0001680091,Player Age & Experience,205
Avg_Starter_Age_WR,0.0001660587,Player Age & Experience,206
Current_Round_1_Picks,0.00015981782,Draft Strategy,207
RZAtt__oc_Norm,0.00015957489,Coaching Performance,208
TO__hc_Norm,0.00014901574,Coaching Performance,209
S_Net_Change,0.00014887362,Roster Turnover,210
RB_New_Player_Rate_Pct_crosstab,0.00014434652,Roster Turnover,211
LB_Players_Count,0.00014325058,Injury/Availability,212
1stD Passing__opp__hc_Norm,0.00014182935,Coaching Performance,213
Prev_1Yr_Round_2_Picks,0.00014170271,Draft Strategy,214
WR_Net_Change,0.00013090037,Roster Turnover,215
Sc%__oc_Norm,0.00012498247,Coaching Performance,216
RB_Players_Count,0.000120574405,Injury/Availability,217
DeadCap_Pct,0.00011578851,Salary Cap,218
Yds__hc_Norm,0.00011059989,Coaching Performance,219
OL_New_Player_Rate_Pct,0.00010287417,Roster Turnover,220
OL_Pct,0.00010039307,Salary Cap,221
Prev_3Yr_Round_3_Picks,9.837482e-05,Draft Strategy,222
Avg_Roster_Exp_WR,9.562554e-05,Player Age & Experience,223
Yds Penalties__hc_Norm,9.248045e-05,Coaching Performance,224
Current_Round_5_Picks,9.157803e-05,Draft Strategy,225
TE_Players_Retained,8.6096414e-05,Roster Turnover,226
RB_Retention_Rate_Pct_crosstab,7.0958435e-05,Roster Turnover,227
RZAtt__opp__hc_Norm,6.757502e-05,Coaching Performance,228
4DAtt__opp__hc_Norm,6.450728e-05,Coaching Performance,229
Time Average Drive__dc_Norm,5.166164e-05,Coaching Performance,230
StdDev_Roster_Experience,4.926987e-05,Player Age & Experience,231
DL_Net_Change,4.359936e-05,Roster Turnover,232
Def_Pct,2.8504954e-05,Salary Cap,233
Off_Pct,0.0,Salary Cap,234
LB_Pct,0.0,Salary Cap,235
QB_Net_Change,0.0,Roster Turnover,236
DL_Pct,0.0,Salary Cap,237
Current_Round_2_Picks,0.0,Draft Strategy,238
Team_Pen_Norm,0.0,Team Performance,239
Avg_Roster_Exp_S,0.0,Player Age & Experience,240
Avg_Starter_Exp_S,0.0,Player Age & Experience,241
Avg_Roster_Exp_DL,0.0,Player Age & Experience,242
Avg_Starter_Exp_CB,0.0,Player Age & Experience,243
Avg_Starter_Exp_DL,0.0,Player Age & Experience,244
Avg_Starter_Age_DL,0.0,Player Age & Experience,245
TE_Pct,0.0,Salary Cap,246
Avg_Roster_Age_OL,0.0,Player Age & Experience,247
Avg_Starter_Age_OL,0.0,Player Age & Experience,248
Avg_Roster_Exp_TE,0.0,Player Age & Experience,249
#Dr__opp__hc_Norm,0.0,Coaching Performance,250
Plays Average Drive__opp__hc_Norm,0.0,Coaching Performance,251
Pen__opp__hc_Norm,0.0,Coaching Performance,252
Att Rushing__opp__hc_Norm,0.0,Coaching Performance,253
QB_Departure_Rate_Pct,0.0,Roster Turnover,254
WR_Players_Departed,0.0,Roster Turnover,255
WR_Retention_Rate_Pct,0.0,Roster Turnover,256
WR_Departure_Rate_Pct,0.0,Roster Turnover,257
WR_Players_Retained,0.0,Roster Turnover,258
RB_Players_Departed,0.0,Roster Turnover,259
RB_Retention_Rate_Pct,0.0,Roster Turnover,260
RB_Departure_Rate_Pct,0.0,Roster Turnover,261
RB_Players_Retained,0.0,Roster Turnover,262
Prev_3Yr_Round_1_Picks,0.0,Draft Strategy,263
Prev_2Yr_Round_5_Picks,0.0,Draft Strategy,264
Prev_2Yr_Round_3_Picks,0.0,Draft Strategy,265
Prev_3Yr_Round_2_Picks,0.0,Draft Strategy,266
Prev_1Yr_Round_6_Picks,0.0,Draft Strategy,267
Prev_1Yr_Round_4_Picks,0.0,Draft Strategy,268
Current_Round_4_Picks,0.0,Draft Strategy,269
Avg_Roster_Age_RB,0.0,Player Age & Experience,270
CB_Max_Games_Missed_Pct,0.0,Injury/Availability,271
Avg_Starter_Age,0.0,Player Age & Experience,272
StdDev_Starter_Age,0.0,Player Age & Experience,273
num_times_hc,0.0,Coaching Experience,274
num_yr_col_coor,0.0,Coaching Experience,275
S_New_Player_Rate_Pct_crosstab,0.0,Roster Turnover,276
CB_New_Player_Rate_Pct_crosstab,0.0,Roster Turnover,277
QB_Players_Count,0.0,Injury/Availability,278
QB_Min_Games_Missed_Pct,0.0,Injury/Availability,279
TE_Min_Games_Missed_Pct,0.0,Injury/Availability,280
LB_Max_Games_Missed_Pct,0.0,Injury/Availability,281
LB_Min_Games_Missed_Pct,0.0,Injury/Availability,282
QB_Max_Games_Missed_Pct,0.0,Injury/Availability,283
S_Retention_Rate_Pct_crosstab,0.0,Roster Turnover,284
S_Departure_Rate_Pct_crosstab,0.0,Roster Turnover,285
TO__oc_Norm,0.0,Coaching Performance,286
Y/P__oc_Norm,0.0,Coaching Performance,287
Yds__oc_Norm,0.0,Coaching Performance,288
Cmp Passing__oc_Norm,0.0,Coaching Performance,289
Prev_2Yr_Round_2_Picks,0.0,Draft Strategy,290
Prev_3Yr_Round_5_Picks,0.0,Draft Strategy,291
Prev_3Yr_Round_6_Picks,0.0,Draft Strategy,292
Prev_4Yr_Round_1_Picks,0.0,Draft Strategy,293
num_yr_nfl_pos,0.0,Coaching Experience,294
num_yr_col_hc,0.0,Coaching Experience,295
Prev_1Yr_Round_7Plus_Picks,0.0,Draft Strategy,296
Current_Round_3_Picks,0.0,Draft Strategy,297
Current_Round_6_Picks,0.0,Draft Strategy,298
Current_Round_7Plus_Picks,0.0,Draft Strategy,299
Prev_1Yr_Round_1_Picks,0.0,Draft Strategy,300
Prev_1Yr_Round_3_Picks,0.0,Draft Strategy,301
S_Departure_Rate_Pct,0.0,Roster Turnover,302
S_Retention_Rate_Pct,0.0,Roster Turnover,303
S_Players_New,0.0,Roster Turnover,304
S_Players_Departed,0.0,Roster Turnover,305
3D%__oc_Norm,0.0,Coaching Performance,306
S_Players_Retained,0.0,Roster Turnover,307
Plays Average Drive__oc_Norm,0.0,Coaching Performance,308
Pts Average Drive__oc_Norm,0.0,Coaching Performance,309
Att Passing__oc_Norm,0.0,Coaching Performance,310
Yds Rushing__oc_Norm,0.0,Coaching Performance,311
#Dr__oc_Norm,0.0,Coaching Performance,312
TD Rushing__oc_Norm,0.0,Coaching Performance,313
RB_Departure_Rate_Pct_crosstab,0.0,Roster Turnover,314
WR_Departure_Rate_Pct_crosstab,0.0,Roster Turnover,315
QB_New_Player_Rate_Pct_crosstab,0.0,Roster Turnover,316
QB_Departure_Rate_Pct_crosstab,0.0,Roster Turnover,317
1stD__dc_Norm,0.0,Coaching Performance,318
CB_Departure_Rate_Pct_crosstab,0.0,Roster Turnover,319
Y/A Rushing__dc_Norm,0.0,Coaching Performance,320
Yds Passing__dc_Norm,0.0,Coaching Performance,321
1stD Rushing__dc_Norm,0.0,Coaching Performance,322
TO%__dc_Norm,0.0,Coaching Performance,323
TE_Players_Departed,0.0,Roster Turnover,324
TD Rushing__dc_Norm,0.0,Coaching Performance,325
OL_Departure_Rate_Pct_crosstab,0.0,Roster Turnover,326
OL_New_Player_Rate_Pct_crosstab,0.0,Roster Turnover,327
DL_Retention_Rate_Pct_crosstab,0.0,Roster Turnover,328
DL_Departure_Rate_Pct_crosstab,0.0,Roster Turnover,329
DL_New_Player_Rate_Pct_crosstab,0.0,Roster Turnover,330
LB_Departure_Rate_Pct_crosstab,0.0,Roster Turnover,331
TE_Retention_Rate_Pct_crosstab,0.0,Roster Turnover,332
TE_New_Player_Rate_Pct_crosstab,0.0,Roster Turnover,333
OL_Departure_Rate_Pct,0.0,Roster Turnover,334
OL_Retention_Rate_Pct,0.0,Roster Turnover,335
OL_Players_New,0.0,Roster Turnover,336
OL_Players_Departed,0.0,Roster Turnover,337
TE_Net_Change,0.0,Roster Turnover,338
OL_Players_Retained,0.0,Roster Turnover,339
TE_Retention_Rate_Pct,0.0,Roster Turnover,340
TE_Players_New,0.0,Roster Turnover,341
LB_Players_Departed,0.0,Roster Turnover,342
LB_Players_Retained,0.0,Roster Turnover,343
LB_Retention_Rate_Pct,0.0,Roster Turnover,344
LB_Departure_Rate_Pct,0.0,Roster Turnover,345
DL_Departure_Rate_Pct,0.0,Roster Turnover,346
DL_New_Player_Rate_Pct,0.0,Roster Turnover,347
DL_Retention_Rate_Pct,0.0,Roster Turnover,348
DL_Players_Retained,0.0,Roster Turnover,349
CB_Departure_Rate_Pct,0.0,Roster Turnover,350
RZPct__dc_Norm,0.0,Coaching Performance,351
CB_Players_Retained,0.0,Roster Turnover,352
CB_Retention_Rate_Pct,0.0,Roster Turnover,353
Att Rushing__hc_Norm,0.0,Coaching Performance,354
1stD__hc_Norm,0.0,Coaching Performance,355
TD Passing__hc_Norm,0.0,Coaching Performance,356
Yds Passing__hc_Norm,0.0,Coaching Performance,357
Pen__hc_Norm,0.0,Coaching Performance,358
Y/A Rushing__hc_Norm,0.0,Coaching Performance,359
Yds Rushing__hc_Norm,0.0,Coaching Performance,360
Time Average Drive__hc_Norm,0.0,Coaching Performance,361
3D%__hc_Norm,0.0,Coaching Performance,362
Yds Average Drive__hc_Norm,0.0,Coaching Performance,363
Plays Average Drive__hc_Norm,0.0,Coaching Performance,364
RZPct__opp__hc_Norm,0.0,Coaching Performance,365
