PFR_Team,Team_cap,Total CapAllocations,Cap SpaceAll,DeadCap,Total CapAllocations_Pct,Cap SpaceAll_Pct,DeadCap_Pct,Total_Cap_For_Calc,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,Total CapAllocations_Pct,Cap SpaceAll_Pct,Active53-Man_Pct,ReservesIR/PUP/NFI/SUSP_Pct,DeadCap_Pct,QB_Pct,RB_Pct,WR_Pct,TE_Pct,OL_Pct,DL_Pct,LB_Pct,SEC_Pct,K_Pct,P_Pct,LS_Pct,Off_Pct,Def_Pct,SPT_Pct,Year,Scraped_Date,Team_pos,OFF,DEF,Rank,Record,PlayersActive,Avg AgeTeam,Active53-Man,ReservesIR/PUP/NFI/SUSP
nyg,NYGNYG,124971791,-4371791,4846653,103.63,-3.63,4.02,124971791,10.14,8.67,5.57,4.37,23.16,51.91,25.66,13.72,28.93,68.31,1.6,1.48,1.11,4.19,124.97,103.63,-3.63,94.51,5.1,4.02,8.11,6.94,4.46,3.5,18.53,20.53,10.98,23.15,1.28,1.18,0.89,41.54,54.66,3.35,2012,2025-08-15 15:18:14,NYG,51.46M,62.92M,13,-,53,26.5,113975692,6149446
nyj,NYJNYJ,132815305,-12215305,6049895,110.13,-10.13,5.02,132815305,9.99,3.08,16.23,8.35,20.19,57.84,8.69,31.66,32.33,72.68,0.64,0.47,0.54,1.65,132.82,110.13,-10.13,85.0,20.11,5.02,7.52,2.32,12.22,6.29,15.2,6.54,23.84,24.34,0.48,0.35,0.41,43.55,54.72,1.24,2012,2025-08-15 15:18:14,NYJ,57.50M,65.48M,26,-,62,26.2,102512003,24247707
rai,OAKOAK,113093129,7506871,21064932,93.78,6.22,17.47,113093129,3.7,11.44,12.23,2.31,9.29,38.97,22.35,15.81,23.89,62.05,4.5,5.29,1.28,11.07,113.24,93.78,6.22,65.94,10.37,17.47,3.27,10.12,10.81,2.04,8.21,19.76,13.98,21.12,3.98,4.68,1.13,34.46,54.87,9.79,2012,2025-08-15 15:18:14,OAK,39.97M,61.15M,1,-,60,26.6,79520206,12507991
phi,PHIPHI,117414344,3185656,9406670,97.36,2.64,7.8,117414344,18.65,4.47,11.61,5.41,25.28,65.42,15.07,13.5,20.56,49.13,0.57,0.83,0.93,2.33,117.41,97.36,2.64,73.64,15.75,7.8,15.88,3.81,9.89,4.61,21.53,12.83,11.5,17.51,0.49,0.71,0.79,55.72,41.84,1.98,2012,2025-08-15 15:18:14,PHI,65.47M,48.94M,5,-,59,26.0,88815050,18998824
pit,PITPIT,125059129,-4459129,10419367,103.7,-3.7,8.64,125059129,10.04,5.97,11.24,8.56,17.38,53.19,16.8,26.53,24.75,68.08,2.08,0.39,0.93,3.4000000000000004,125.06,103.7,-3.7,77.12,17.79,8.64,8.03,4.77,8.99,6.84,13.9,13.43,21.21,19.79,1.66,0.31,0.74,42.53,54.44,2.72,2012,2025-08-15 15:18:14,PIT,53.13M,66.15M,14,-,56,26.7,93010135,21450115
sdg,SDSD,125987093,-5387093,9932792,104.47,-4.47,8.24,125987093,16.57,8.95,11.28,8.47,23.8,69.07,14.61,14.83,20.42,49.86,2.54,1.61,0.54,4.69,125.99,104.47,-4.47,78.3,17.93,8.24,13.15,7.1,8.95,6.72,18.89,11.6,11.77,16.21,2.02,1.28,0.43,54.82,39.58,3.72,2012,2025-08-15 15:18:14,SD,62.77M,45.70M,16,-,54,27.2,94427351,21626950
sea,SEASEA,126992530,-6392530,22989653,105.3,-5.3,19.06,126992530,5.29,9.38,14.15,8.59,23.74,61.14999999999999,26.1,19.56,13.92,59.58,1.96,1.31,0.49,3.76,126.99,105.3,-5.3,77.4,8.84,19.06,4.17,7.39,11.14,6.76,18.69,20.55,15.4,10.96,1.54,1.03,0.39,48.15,46.92,2.96,2012,2025-08-15 15:18:14,SEA,61.76M,54.65M,19,-,56,26.0,93341595,10661282
sfo,SFSF,139207508,-18607508,2225680,115.43,-15.43,1.85,139207508,11.05,9.43,14.26,9.2,14.45,58.39,20.2,30.15,22.79,73.13999999999999,3.62,1.96,1.15,6.73,139.21,115.43,-15.43,107.49,5.45,1.85,7.94,6.77,10.24,6.61,10.38,14.51,21.66,16.37,2.6,1.41,0.83,41.94,52.54,4.83,2012,2025-08-15 15:18:14,SF,59.35M,70.83M,31,-,56,27.1,129631457,6575171
ram,STLSTL,119565241,1034759,13829074,99.14,0.86,11.47,119565241,16.53,10.88,7.34,2.33,27.45,64.53,29.47,5.46,17.77,52.7,1.22,0.39,0.47,2.08,119.57,99.14,0.86,80.36,6.81,11.47,13.83,9.1,6.14,1.95,22.96,24.65,4.57,14.86,1.02,0.33,0.39,53.97,44.08,1.74,2012,2025-08-15 15:18:14,STL,62.28M,52.14M,9,-,56,25.5,96908309,8214158
tam,TBTB,137720452,-17120452,4363722,114.2,-14.2,3.62,137720452,8.82,3.58,22.52,4.19,40.17,79.28,21.54,12.85,14.81,49.2,4.91,3.0,0.81,8.72,137.72,114.2,-14.2,79.61,30.97,3.62,6.4,2.6,16.35,3.04,29.17,15.64,9.33,10.75,3.57,2.18,0.59,57.57,35.72,6.33,2012,2025-08-15 15:18:14,TB,79.76M,42.91M,30,-,59,25.8,96004352,37352378
oti,TENTEN,115654867,4945133,2712920,95.9,4.1,2.25,115654867,10.93,13.64,10.6,4.29,30.24,69.7,7.49,17.97,14.19,39.65,3.68,1.24,0.4,5.32,115.65,95.9,4.1,75.33,18.32,2.25,9.45,11.79,9.17,3.71,26.15,6.48,15.54,12.27,3.18,1.07,0.35,60.27,34.28,4.6,2012,2025-08-15 15:18:14,TEN,70.70M,37.89M,2,-,55,25.8,90842019,22099928
was,WASWAS,116425969,4174031,8142361,96.54,3.46,6.75,116425969,5.65,3.24,15.03,7.97,28.14,60.03,19.2,9.16,23.87,52.23,0.52,1.85,0.54,2.91,116.43,96.54,3.46,73.78,15.68,6.75,4.85,2.78,12.91,6.85,24.17,16.49,7.87,20.5,0.45,1.59,0.46,51.56,44.86,2.5,2012,2025-08-15 15:18:14,WAS,56.05M,51.66M,3,-,60,26.5,88980238,18915770
