PFR_Team,Team_cap,Total CapAllocations,Cap SpaceAll,DeadCap,Total_Cap_For_Calc,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,QB_Pct,RB_Pct,WR_Pct,TE_Pct,OL_Pct,DL_Pct,LB_Pct,SEC_Pct,K_Pct,P_Pct,LS_Pct,Off_Pct,Def_Pct,SPT_Pct,Total_Pct,Year,Scraped_Date,Team_pos,Rank,Record,PlayersActive,Avg AgeTeam,Active53-Man,ReservesIR/PUP/NFI/SUSP
rai,LVLV,189930974,296100,36524563,189930974,27.96,10.7,13.94,9.79,45.04,107.43,31.93,20.85,22.74,75.52,3.51,1.25,1.37,6.13,189.93,14.72,5.63,7.34,5.15,23.71,16.81,10.98,11.97,1.85,0.66,0.72,56.56,39.76,3.23,100.0,2021,2025-08-15 15:21:15,LV,27,10-7-0,54,26.4,129494524,22935487
buf,BUFBUF,189337479,-960520,9888567,189337479,13.82,5.56,23.74,2.51,40.27,85.9,47.13,23.62,27.39,98.14,1.46,1.6,1.45,4.51,189.34,7.3,2.94,12.54,1.33,21.27,24.89,12.48,14.47,0.77,0.85,0.77,45.37,51.83,2.38,100.0,2021,2025-08-15 15:21:15,BUF,31,11-6-0,55,26.5,165564312,10985000
phi,PHIPHI,189181452,17817323,63769525,189181452,37.56,4.03,21.92,12.59,39.42,115.52,44.21,4.59,20.24,69.03999999999999,2.1,0.68,1.83,4.61,189.18,19.85,2.13,11.59,6.65,20.84,23.37,2.43,10.7,1.11,0.36,0.97,61.06,36.49,2.44,100.0,2021,2025-08-15 15:21:15,PHI,2,9-8-0,62,25.3,101610988,22982139
chi,CHICHI,188749384,1383458,26298749,188749384,15.16,7.06,25.85,10.87,25.38,84.32,29.04,43.05,28.63,100.72,1.63,1.08,0.99,3.7,188.75,8.03,3.74,13.7,5.76,13.45,15.39,22.81,15.17,0.86,0.57,0.52,44.67,53.36,1.96,100.0,2021,2025-08-15 15:21:15,CHI,22,6-11-0,53,27.4,128620134,33066901
min,MINMIN,188620675,-1346576,25570247,188620675,33.51,7.6,14.91,6.76,23.02,85.8,36.73,23.98,32.66,93.37,2.9,2.66,0.89,6.45,188.62,17.77,4.03,7.9,3.58,12.2,19.47,12.71,17.32,1.54,1.41,0.47,45.49,49.5,3.42,100.0,2021,2025-08-15 15:21:15,MIN,32,8-9-0,56,26.0,118144787,44293641
den,DENDEN,188343846,12465470,37144693,188343846,7.91,14.05,16.89,7.28,32.53,78.66,14.63,43.23,45.94,103.8,2.31,2.78,0.78,5.87,188.34,4.2,7.46,8.97,3.87,17.27,7.77,22.95,24.39,1.23,1.48,0.41,41.76,55.11,3.12,100.0,2021,2025-08-15 15:21:15,DEN,3,7-10-0,55,25.8,107269390,43515363
clt,INDIND,187317746,3717651,6736780,187317746,22.99,7.5,16.7,10.36,44.2,101.75,42.37,13.57,25.35,81.28999999999998,1.21,2.0,1.06,4.27,187.32,12.27,4.0,8.92,5.53,23.6,22.62,7.24,13.53,0.65,1.07,0.57,54.32,43.4,2.28,100.0,2021,2025-08-15 15:21:15,IND,17,9-8-0,57,26.3,170696313,8862253
htx,HOUHOU,186825534,7643225,48012147,186825534,23.82,12.0,18.52,7.22,33.47,95.03,19.42,30.24,33.52,83.18,4.4,3.18,0.99,8.57,186.83,12.75,6.42,9.91,3.86,17.92,10.39,16.19,17.94,2.36,1.7,0.53,50.87,44.52,4.59,100.0,2021,2025-08-15 15:21:15,HOU,8,4-13-0,56,26.8,115736939,22643248
atl,ATLATL,185499791,-493883,30323910,185499791,28.82,7.68,17.29,12.11,32.7,98.6,32.1,26.69,23.61,82.4,0.98,1.22,0.85,3.0500000000000003,185.5,15.54,4.14,9.32,6.53,17.63,17.3,14.39,12.73,0.53,0.66,0.46,53.15,44.42,1.64,100.0,2021,2025-08-15 15:21:15,ATL,30,7-10-0,55,26.7,141096481,13098200
nor,NONO,185310258,180246,49107949,185310258,22.68,9.77,21.13,6.63,31.96,92.17,32.96,12.36,38.76,84.08,3.96,2.66,1.18,7.8,185.31,12.24,5.27,11.4,3.58,17.25,17.79,6.67,20.92,2.14,1.44,0.64,49.74,45.37,4.21,100.0,2021,2025-08-15 15:21:15,NO,29,9-8-0,54,26.7,107680541,28080568
kan,KCKC,185112146,3320964,17790771,185112146,9.61,6.18,22.72,10.23,29.06,77.8,49.53,18.05,32.79,100.37,3.98,0.85,1.26,6.09,185.11,5.19,3.34,12.27,5.53,15.7,26.76,9.75,17.71,2.15,0.46,0.68,42.03,54.22,3.29,100.0,2021,2025-08-15 15:21:15,KC,18,12-5-0,54,26.4,160366274,6035101
oti,TENTEN,184416734,6128963,30830452,184416734,12.26,16.95,16.64,7.59,50.11,103.55,12.15,21.92,38.92,72.99000000000002,1.61,3.38,1.44,6.43,184.42,6.65,9.19,9.02,4.12,27.17,6.59,11.89,21.1,0.87,1.83,0.78,56.15,39.58,3.49,100.0,2021,2025-08-15 15:21:15,TEN,10,12-5-0,56,27.0,141092116,11214566
ram,LARLAR,184237455,2861686,49435215,184237455,46.23,15.31,19.54,8.79,19.91,109.78,29.14,16.06,23.72,68.92,0.94,3.69,0.91,5.54,184.24,25.09,8.31,10.61,4.77,10.81,15.82,8.72,12.87,0.51,2.0,0.49,59.59,37.41,3.01,100.0,2021,2025-08-15 15:21:15,LAR,20,12-5-0,54,25.9,121817079,11982361
sdg,LACLAC,183047309,8683218,6203246,183047309,8.96,8.57,35.25,8.05,31.93,92.76,21.19,32.93,32.69,86.81,1.02,0.85,0.87,2.74,183.05,4.89,4.68,19.26,4.4,17.44,11.58,17.99,17.86,0.56,0.46,0.48,50.68,47.42,1.5,100.0,2021,2025-08-15 15:21:15,LAC,7,9-8-0,53,26.5,159785508,16228955
rav,BALBAL,182781957,265482,19685331,182781957,4.27,9.12,14.79,11.72,28.35,68.25,33.3,19.97,50.23,103.5,3.48,2.92,0.66,7.0600000000000005,182.78,2.34,4.99,8.09,6.41,15.51,18.22,10.93,27.48,1.9,1.6,0.36,37.34,56.62,3.86,100.0,2021,2025-08-15 15:21:15,BAL,28,8-9-0,56,27.1,113199729,49218097
nyg,NYGNYG,182521051,2972804,19015015,182521051,8.95,13.5,23.2,13.66,34.14,93.45,21.04,16.91,41.35,79.30000000000003,3.91,2.77,1.2,7.88,182.52,4.9,7.4,12.71,7.48,18.7,11.53,9.26,22.65,2.14,1.52,0.66,51.2,43.45,4.32,100.0,2021,2025-08-15 15:21:15,NYG,19,4-13-0,49,26.1,121896505,40829531
car,CARCAR,181771931,4745701,53966463,181771931,29.44,10.03,17.82,5.39,23.01,85.69,35.97,22.23,31.8,90.0,2.58,1.39,1.44,5.41,181.77,16.2,5.52,9.8,2.97,12.66,19.79,12.23,17.49,1.42,0.76,0.79,47.14,49.51,2.98,100.0,2021,2025-08-15 15:21:15,CAR,14,5-12-0,56,25.8,96749377,30685691
gnb,GBGB,181317830,4856188,10739283,181317830,30.18,6.83,26.1,6.5,28.19,97.8,15.88,37.5,24.87,78.25,3.33,1.07,0.87,5.2700000000000005,181.32,16.64,3.77,14.39,3.58,15.55,8.76,20.68,13.72,1.84,0.59,0.48,53.94,43.16,2.91,100.0,2021,2025-08-15 15:21:15,GB,13,13-4-0,58,26.1,162492766,6802181
tam,TBTB,181119199,931909,11189876,181119199,13.89,8.15,31.82,11.48,34.07,99.41,20.75,35.03,17.8,73.58,3.83,2.89,1.41,8.13,181.12,7.67,4.5,17.57,6.34,18.81,11.46,19.34,9.83,2.11,1.6,0.78,54.89,40.63,4.49,100.0,2021,2025-08-15 15:21:15,TB,24,13-4-0,57,27.6,149094323,19333000
jax,JAXJAX,180473269,28496887,23625065,180473269,9.12,6.73,15.1,8.09,51.74,90.78,21.12,34.57,26.51,82.2,5.04,1.69,0.78,7.510000000000002,180.47,5.05,3.73,8.37,4.48,28.67,11.7,19.16,14.69,2.79,0.94,0.43,50.3,45.55,4.16,100.0,2021,2025-08-15 15:21:15,JAX,1,3-14-0,58,25.5,126905443,29358361
pit,PITPIT,175907130,11542925,30380017,175907130,29.86,5.52,8.88,9.86,26.35,80.47,25.49,22.81,37.55,85.85,4.82,0.91,0.89,6.62,175.91,16.97,3.14,5.05,5.61,14.98,14.49,12.97,21.35,2.74,0.52,0.51,45.75,48.8,3.76,100.0,2021,2025-08-15 15:21:15,PIT,4,9-7-1,53,25.8,124164123,20351790
sea,SEASEA,172703125,11228110,13921645,172703125,33.77,9.16,13.48,6.73,29.85,92.99,26.29,23.57,20.32,70.18,4.35,2.37,1.12,7.84,172.7,19.55,5.3,7.81,3.9,17.28,15.22,13.65,11.77,2.52,1.37,0.65,53.84,40.64,4.54,100.0,2021,2025-08-15 15:21:15,SEA,5,7-10-0,57,26.4,137955994,19983486
