PFR_Team,Team_cap,Total CapAllocations,Cap SpaceAll,DeadCap,Total_Cap_For_Calc,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,QB_Pct,RB_Pct,WR_Pct,TE_Pct,OL_Pct,DL_Pct,LB_Pct,SEC_Pct,K_Pct,P_Pct,LS_Pct,Off_Pct,Def_Pct,SPT_Pct,Total_Pct,Year,Scraped_Date,Team_pos,Rank,Record,PlayersActive,Avg AgeTeam,Active53-Man,ReservesIR/PUP/NFI/SUSP
jax,JAXJAX,252087967,16949079,53636487,252087967,19.12,7.74,45.02,11.35,51.43,134.66,30.78,47.2,34.65,112.63,0.85,2.62,1.31,4.78,252.09,7.58,3.07,17.86,4.5,20.4,12.21,18.72,13.75,0.34,1.04,0.52,53.42,44.68,1.9,100.0,2024,2025-08-15 15:16:57,JAX,9,4-13-0,53,25.9,142873539,52907841
gnb,GBGB,251586978,16128199,64574213,251586978,22.46,22.13,8.82,5.6,49.09,108.1,65.1,13.79,60.77,139.66,1.29,0.92,1.33,3.54,251.59,8.93,8.8,3.51,2.23,19.51,25.88,5.48,24.15,0.51,0.37,0.53,42.97,55.51,1.41,100.0,2024,2025-08-15 15:16:57,GB,10,11-6-0,52,25.2,154542400,29678165
phi,PHIPHI,250867000,9366359,63634011,250867000,19.86,6.66,26.47,13.42,55.32,121.73,33.23,47.54,41.16,121.93,4.57,1.34,1.04,6.95,250.87,7.92,2.65,10.55,5.35,22.05,13.25,18.95,16.41,1.82,0.53,0.41,48.52,48.6,2.77,100.0,2024,2025-08-15 15:16:57,PHI,16,14-3-0,53,25.7,168537310,16316779
clt,INDIND,250316091,10423917,15608803,250316091,14.06,13.34,28.26,12.98,69.27,137.91,51.98,25.92,24.57,102.47,6.01,2.51,1.43,9.95,250.32,5.62,5.33,11.29,5.19,27.67,20.77,10.35,9.82,2.4,1.0,0.57,55.09,40.94,3.97,100.0,2024,2025-08-15 15:16:57,IND,13,8-9-0,53,26.3,199356329,32881659
kan,KCKC,250025386,2167701,17019007,250025386,39.79,6.26,28.25,25.91,61.43,161.64,41.57,12.42,28.45,82.44,3.94,0.87,1.15,5.959999999999999,250.03,15.91,2.5,11.3,10.36,24.57,16.63,4.97,11.38,1.58,0.35,0.46,64.65,32.97,2.38,100.0,2024,2025-08-15 15:16:57,KC,29,15-2-0,53,26.5,220972465,9560714
cle,CLECLE,248708541,42043438,42497245,248708541,31.78,11.58,22.84,14.25,53.39,133.84,52.84,11.85,43.4,108.09,3.06,1.56,1.96,6.58,248.71,12.78,4.66,9.18,5.73,21.47,21.25,4.76,17.45,1.23,0.63,0.79,53.81,43.46,2.65,100.0,2024,2025-08-15 15:16:57,CLE,2,3-14-0,53,26.8,130535406,74269590
pit,PITPIT,247812491,9927701,30733672,247812491,13.94,8.85,16.9,7.61,47.65,94.95,37.4,58.77,47.68,143.85,4.72,3.03,1.16,8.91,247.81,5.63,3.57,6.82,3.07,19.23,15.09,23.72,19.24,1.9,1.22,0.47,38.32,58.05,3.6,100.0,2024,2025-08-15 15:16:57,PIT,15,10-7-0,51,27.6,182613866,31872753
sfo,SFSF,246996749,50467685,30442060,246996749,10.67,11.67,27.69,16.47,43.01,109.51,53.73,30.53,43.98,128.23999999999998,1.94,2.4,1.3,5.64,247.0,4.32,4.72,11.21,6.67,17.41,21.75,12.36,17.81,0.79,0.97,0.53,44.34,51.92,2.28,100.0,2024,2025-08-15 15:16:57,SF,1,6-11-0,53,26.9,138201567,76435422
tam,TBTB,244479945,8459981,62499171,244479945,11.72,5.07,57.98,4.23,31.31,110.31,34.9,38.31,53.12,126.33,5.0,1.48,1.36,7.840000000000002,244.48,4.79,2.07,23.72,1.73,12.81,14.28,15.67,21.73,2.05,0.61,0.56,45.12,51.67,3.21,100.0,2024,2025-08-15 15:16:57,TB,17,10-7-0,53,25.9,139250589,40305885
was,WASWAS,240632456,24017815,47227012,240632456,14.7,6.75,39.26,9.93,51.34,121.98,62.87,16.75,29.76,109.38,3.05,3.75,1.45,8.25,240.63,6.11,2.81,16.32,4.13,21.34,26.13,6.96,12.37,1.27,1.56,0.6,50.69,45.46,3.43,100.0,2024,2025-08-15 15:16:57,WAS,5,12-5-0,53,27.5,186228005,4436939
dal,DALDAL,240414997,20050038,29661014,240414997,53.01,11.0,28.57,4.75,41.88,139.20999999999998,45.76,10.88,37.78,94.42,0.92,3.8,1.15,5.869999999999999,240.41,22.05,4.58,11.88,1.98,17.42,19.03,4.53,15.71,0.38,1.58,0.48,57.9,39.27,2.44,100.0,2024,2025-08-15 15:16:57,DAL,7,7-10-0,53,26.4,97500830,110943953
mia,MIAMIA,238318281,18415532,58059677,238318281,13.65,8.25,40.92,7.33,33.28,103.43,23.09,50.73,49.59,123.41,4.51,1.68,2.17,8.36,238.32,5.73,3.46,17.17,3.08,13.96,9.69,21.29,20.81,1.89,0.7,0.91,43.4,51.78,3.51,100.0,2024,2025-08-15 15:16:57,MIA,8,8-9-0,53,27.3,138344211,39966893
det,DETDET,234434840,23638724,39256611,234434840,29.65,11.5,17.97,6.09,53.63,118.84,47.02,22.16,39.55,108.73,2.1,3.98,0.8,6.88,234.43,12.65,4.91,7.67,2.6,22.88,20.06,9.45,16.87,0.9,1.7,0.34,50.69,46.38,2.93,100.0,2024,2025-08-15 15:16:57,DET,6,15-2-0,52,26.9,151659745,41395684
nwe,NENE,229603859,36456118,60985272,229603859,17.88,10.48,30.55,10.12,41.18,110.21,32.99,32.74,49.7,115.43,1.37,0.96,1.63,3.96,229.6,7.79,4.56,13.31,4.41,17.94,14.37,14.26,21.65,0.6,0.42,0.71,48.0,50.27,1.72,100.0,2024,2025-08-15 15:16:57,NE,3,4-13-0,53,26.1,130005536,32289751
rai,LVLV,226100229,35897151,50307790,226100229,16.86,7.1,33.75,10.09,35.58,103.38,72.71,14.54,26.1,113.35,4.65,3.52,1.13,9.3,226.1,7.46,3.14,14.93,4.46,15.74,32.16,6.43,11.54,2.06,1.56,0.5,45.72,50.13,4.11,100.0,2024,2025-08-15 15:16:57,LV,4,4-13-0,53,25.6,111412545,62367394
