PFR_Team,Team_cap,Total CapAllocations,Cap SpaceAll,DeadCap,Total_Cap_For_Calc,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,QB_Pct,RB_Pct,WR_Pct,TE_Pct,OL_Pct,DL_Pct,LB_Pct,SEC_Pct,K_Pct,P_Pct,LS_Pct,Off_Pct,Def_Pct,SPT_Pct,Total_Pct,Year,Scraped_Date,Team_pos,Rank,Record,PlayersActive,Avg AgeTeam,Active53-Man,ReservesIR/PUP/NFI/SUSP
crd,ARIARI,204825664,2674336,25839514,204825664,16.43,7.62,28.61,8.84,46.34,107.84,28.14,29.67,32.06,89.87,4.76,1.17,1.19,7.119999999999999,204.83,8.02,3.72,13.97,4.32,22.62,13.74,14.49,15.65,2.32,0.57,0.58,52.65,43.88,3.48,100.0,2022,2025-08-15 15:20:38,ARI,22,4-13-0,52,27.3,98153785,79550165
chi,CHICHI,204696905,5203095,93289973,204696905,19.83,9.75,11.85,10.37,32.29,84.09,41.59,43.5,28.56,113.65,3.22,0.72,1.06,5.0,204.7,9.69,4.76,5.79,5.07,15.77,20.32,21.25,13.95,1.57,0.35,0.52,41.08,55.52,2.44,100.0,2022,2025-08-15 15:20:38,CHI,10,3-14-0,53,26.1,78766986,30646446
nyg,NYGNYG,203667109,2932891,53752511,203667109,11.48,10.58,37.34,5.18,35.22,99.8,27.22,21.14,49.27,97.63,2.92,1.39,1.05,5.3599999999999985,203.67,5.64,5.19,18.33,2.54,17.29,13.36,10.38,24.19,1.43,0.68,0.52,49.0,47.94,2.63,100.0,2022,2025-08-15 15:20:38,NYG,19,9-7-1,53,25.9,133245725,14742873
tam,TBTB,202960773,2839227,25565164,202960773,16.26,7.69,27.17,11.99,44.81,107.92000000000002,25.16,39.4,24.49,89.05,4.0,0.88,1.12,6.0,202.96,8.01,3.79,13.39,5.91,22.08,12.4,19.41,12.07,1.97,0.43,0.55,53.17,43.88,2.96,100.0,2022,2025-08-15 15:20:38,TB,20,8-9-0,53,27.2,158812989,16147220
nyj,NYJNYJ,202470545,8529455,13760179,202470545,14.63,5.65,26.29,9.05,51.82,107.44,47.77,14.16,27.63,89.56,2.69,0.95,1.16,4.8,202.47,7.23,2.79,12.98,4.47,25.59,23.59,6.99,13.65,1.33,0.47,0.57,53.06,44.23,2.37,100.0,2022,2025-08-15 15:20:38,NYJ,3,7-10-0,54,26.4,153295451,33842715
car,CARCAR,202249051,11106983,52457843,202249051,24.45,12.1,26.15,5.8,43.59,112.09,24.05,30.25,29.27,83.57,2.88,1.79,1.08,5.75,202.25,12.09,5.98,12.93,2.87,21.55,11.89,14.96,14.47,1.42,0.89,0.53,55.42,41.32,2.84,100.0,2022,2025-08-15 15:20:38,CAR,2,7-10-0,53,26.2,128149331,19578244
atl,ATLATL,201717487,6942849,83599124,201717487,46.0,7.01,26.52,11.94,33.26,124.73,27.1,22.28,20.21,69.59,3.0,1.53,1.2,5.73,201.72,22.8,3.48,13.15,5.92,16.49,13.43,11.05,10.02,1.49,0.76,0.59,61.83,34.5,2.84,100.0,2022,2025-08-15 15:20:38,ATL,7,7-10-0,53,26.1,94499866,21702897
ram,LARLAR,200270156,829844,26653334,200270156,16.65,4.84,41.61,5.78,24.53,93.41,45.42,15.21,40.78,101.41,2.54,1.9,1.0,5.44,200.27,8.31,2.42,20.78,2.89,12.25,22.68,7.59,20.36,1.27,0.95,0.5,46.64,50.64,2.72,100.0,2022,2025-08-15 15:20:38,LAR,30,5-12-0,54,25.9,113511363,58353159
rai,LVLV,199666719,7333281,49550430,199666719,21.4,13.9,26.51,15.36,23.5,100.67,47.03,19.38,23.82,90.23,4.23,2.0,1.04,7.27,199.67,10.72,6.96,13.28,7.69,11.77,23.55,9.71,11.93,2.12,1.0,0.52,50.42,45.19,3.64,100.0,2022,2025-08-15 15:20:38,LV,5,6-11-0,53,26.2,122209751,25793138
cle,CLECLE,186513983,31186017,35989120,186513983,28.75,13.65,14.68,10.03,40.39,107.5,35.22,11.78,28.28,75.28,0.89,1.5,1.34,3.73,186.51,15.41,7.32,7.87,5.38,21.66,18.88,6.32,15.16,0.48,0.8,0.72,57.64,40.36,2.0,100.0,2022,2025-08-15 15:20:38,CLE,1,7-10-0,53,25.5,132199512,16565851
