PFR_Team,Team_cap,Total CapAllocations,Cap SpaceAll,DeadCap,Total CapAllocations_Pct,Cap SpaceAll_Pct,DeadCap_Pct,Total_Cap_For_Calc,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,Total CapAllocations_Pct,Cap SpaceAll_Pct,Active53-Man_Pct,ReservesIR/PUP/NFI/SUSP_Pct,DeadCap_Pct,QB_Pct,RB_Pct,WR_Pct,TE_Pct,OL_Pct,DL_Pct,LB_Pct,SEC_Pct,K_Pct,P_Pct,LS_Pct,Off_Pct,Def_Pct,SPT_Pct,Year,Scraped_Date,Team_pos,OFF,DEF,Rank,Record,PlayersActive,Avg AgeTeam,Active53-Man,ReservesIR/PUP/NFI/SUSP
buf,BUFBUF,179596576,9186883,70343254,101.35,5.18,39.7,179596576,15.29,12.95,17.37,10.4,35.34,91.35,46.81,10.93,23.39,81.13,3.0,1.51,0.56,5.07,179.6,101.35,5.18,58.7,2.96,39.7,8.51,7.21,9.67,5.79,19.68,26.06,6.09,13.02,1.67,0.84,0.31,50.86,45.17,2.82,2018,2025-08-15 15:19:08,BUF,92.81M,80.88M,10,6-10-0,53,26.4,104008378,5244944
chi,CHICHI,179461788,5347070,15403260,101.28,3.02,8.69,179461788,15.51,3.07,27.24,15.54,27.59,88.94999999999997,21.15,36.85,25.87,83.87,3.81,1.5,0.63,5.94,179.46,101.28,3.02,85.75,6.83,8.69,8.64,1.71,15.18,8.66,15.37,11.79,20.53,14.42,2.12,0.84,0.35,49.56,46.73,3.31,2018,2025-08-15 15:19:08,CHI,89.59M,80.38M,22,12-4-0,53,25.9,151948529,12109999
rai,OAKOAK,178870237,5956643,28994233,100.94,3.36,16.36,178870237,26.17,7.37,25.86,11.85,38.92,110.17,25.38,13.91,23.86,63.15,1.2,0.68,1.85,3.73,178.87,100.94,3.36,65.04,19.54,16.36,14.63,4.12,14.46,6.62,21.76,14.19,7.78,13.34,0.67,0.38,1.03,61.59,35.3,2.09,2018,2025-08-15 15:19:08,OAK,110.30M,62.77M,16,4-12-0,53,26.1,115252545,34623459
sdg,LACLAC,177286710,2535340,15367556,100.05,1.43,8.67,177286710,23.13,4.92,25.87,6.98,37.28,98.18,36.21,8.81,29.57,74.59,2.07,0.71,1.07,3.85,177.29,100.05,1.43,81.53,9.85,8.67,13.05,2.78,14.59,3.94,21.03,20.42,4.97,16.68,1.17,0.4,0.6,55.38,42.07,2.17,2018,2025-08-15 15:19:08,LAC,98.48M,73.20M,26,12-4-0,53,26.3,144473149,17446005
kan,KCKC,176891845,2908155,22862302,99.83,1.64,12.9,176891845,10.06,5.81,18.27,13.33,35.82,83.28999999999998,15.62,41.26,31.63,88.50999999999998,0.56,1.7,0.83,3.09,176.89,99.83,1.64,81.24,5.69,12.9,5.69,3.28,10.33,7.54,20.25,8.83,23.32,17.88,0.32,0.96,0.47,47.09,50.04,1.75,2018,2025-08-15 15:19:08,KC,85.09M,86.71M,25,12-4-0,52,26.0,143955068,10074475
nyj,NYJNYJ,176796047,17725853,25987196,99.77,10.0,14.67,176796047,18.01,9.33,20.31,3.85,39.02,90.52,26.84,17.51,39.52,83.87,1.21,0.65,0.56,2.42,176.8,99.77,10.0,61.54,23.57,14.67,10.19,5.28,11.49,2.18,22.07,15.18,9.9,22.35,0.68,0.37,0.32,51.2,47.44,1.37,2018,2025-08-15 15:19:08,NYJ,89.84M,83.19M,6,4-12-0,52,25.6,109047126,41761725
nor,NONO,176019524,1467541,22778103,99.33,0.83,12.85,176019524,27.09,9.63,13.24,13.21,37.5,100.67,31.17,17.15,22.19,70.51,0.63,2.65,0.56,3.84,176.02,99.33,0.83,78.4,8.01,12.85,15.39,5.47,7.52,7.5,21.3,17.71,9.74,12.61,0.36,1.51,0.32,57.19,40.06,2.18,2018,2025-08-15 15:19:08,NO,101.03M,70.23M,30,13-3-0,51,26.6,138920060,14192161
nwe,NENE,175832665,4379937,10991148,99.23,2.47,6.2,175832665,23.41,8.89,17.13,16.06,22.12,87.61,18.95,19.92,39.82,78.69,5.0,2.0,0.86,7.86,175.83,99.23,2.47,87.93,5.1,6.2,13.31,5.06,9.74,9.13,12.58,10.78,11.33,22.65,2.84,1.14,0.49,49.83,44.75,4.47,2018,2025-08-15 15:19:08,NE,85.83M,78.70M,24,11-5-0,52,27.5,155807993,9033524
gnb,GBGB,175766368,5368150,14982444,99.19,3.03,8.46,175766368,22.13,2.4,29.65,14.46,34.31,102.95,19.85,28.54,17.77,66.16,5.25,0.57,0.5,6.32,175.77,99.19,3.03,70.08,20.61,8.46,12.59,1.37,16.87,8.23,19.52,11.29,16.24,10.11,2.99,0.32,0.28,58.57,37.64,3.6,2018,2025-08-15 15:19:08,GB,101.01M,65.65M,21,6-9-1,53,25.6,124176442,36526400
det,DETDET,175496566,5854745,24645116,99.04,3.3,13.91,175496566,27.44,8.94,16.49,5.06,27.99,85.92,32.53,19.61,30.18,82.32,3.2,2.93,0.75,6.880000000000001,175.5,99.04,3.3,61.84,23.29,13.91,15.64,5.09,9.4,2.88,15.95,18.54,11.17,17.2,1.82,1.67,0.43,48.96,46.91,3.92,2018,2025-08-15 15:19:08,DET,86.09M,82.24M,19,6-10-0,53,26.6,109575685,41275765
sea,SEASEA,175232879,2514391,22740742,98.89,1.42,12.83,175232879,25.72,5.54,22.99,3.77,24.0,82.02000000000002,22.21,26.58,39.91,88.69999999999997,2.02,1.15,0.63,3.8,175.23,98.89,1.42,70.46,15.41,12.83,14.68,3.16,13.12,2.15,13.7,12.67,15.17,22.78,1.15,0.66,0.36,46.81,50.62,2.17,2018,2025-08-15 15:19:08,SEA,81.84M,88.11M,27,10-6-0,53,25.8,124852499,27300461
dal,DALDAL,173992050,11082724,32554792,98.19,6.25,18.37,173992050,11.08,8.03,27.78,3.13,44.5,94.52,39.24,19.36,15.54,74.14,1.28,1.7,0.72,3.7,173.99,98.19,6.25,68.38,11.44,18.37,6.37,4.62,15.97,1.8,25.58,22.55,11.13,8.93,0.74,0.98,0.41,54.32,42.61,2.13,2018,2025-08-15 15:19:08,DAL,93.00M,71.85M,8,10-6-0,52,25.5,121164619,20272639
atl,ATLATL,173654866,4666533,9172909,98.0,2.63,5.18,173654866,22.38,7.43,24.77,3.41,40.12,98.11,27.25,4.72,36.38,68.35,2.53,2.7,1.49,6.7200000000000015,173.65,98.0,2.63,79.76,13.06,5.18,12.89,4.28,14.26,1.96,23.1,15.69,2.72,20.95,1.46,1.55,0.86,56.5,39.36,3.87,2018,2025-08-15 15:19:08,ATL,97.66M,67.72M,23,7-9-0,53,27.5,141338061,23143896
crd,ARIARI,172915077,5886709,40226555,97.58,3.32,22.7,172915077,23.02,6.28,22.52,8.7,23.59,84.11,26.39,16.94,37.62,80.94999999999997,3.71,2.63,0.88,7.22,172.92,97.58,3.32,60.9,13.98,22.7,13.31,3.63,13.02,5.03,13.64,15.26,9.8,21.76,2.15,1.52,0.51,48.64,46.81,4.18,2018,2025-08-15 15:19:08,ARI,83.47M,80.95M,18,3-13-0,53,25.9,107921249,24767273
was,WASWAS,172795336,5889026,14621935,97.51,3.32,8.25,172795336,22.4,7.55,12.1,16.52,35.17,93.74,17.12,24.34,33.1,74.56,1.6,1.75,1.15,4.5,172.8,97.51,3.32,58.07,31.19,8.25,12.96,4.37,7.0,9.56,20.35,9.91,14.09,19.16,0.93,1.01,0.67,54.25,43.15,2.6,2018,2025-08-15 15:19:08,WAS,92.45M,74.56M,17,7-9-0,53,26.3,102905158,55268243
htx,HOUHOU,172088725,15060484,15491141,97.12,8.5,8.74,172088725,4.59,9.23,25.4,6.4,25.78,71.4,20.45,33.36,43.26,97.07,0.56,1.08,0.97,2.6100000000000003,172.09,97.12,8.5,79.31,9.06,8.74,2.67,5.36,14.76,3.72,14.98,11.88,19.39,25.14,0.33,0.63,0.56,41.49,56.41,1.52,2018,2025-08-15 15:19:08,HOU,71.71M,96.95M,7,11-5-0,53,25.7,140536221,16061363
phi,PHIPHI,171556674,6157735,14907511,96.82,3.48,8.41,171556674,21.52,5.34,17.98,8.65,35.76,89.25,47.14,9.92,23.15,80.21000000000002,0.56,0.74,0.81,2.1100000000000003,171.56,96.82,3.48,76.82,11.59,8.41,12.54,3.11,10.48,5.04,20.84,27.48,5.78,13.49,0.33,0.43,0.47,52.02,46.75,1.23,2018,2025-08-15 15:19:08,PHI,87.39M,80.08M,15,9-7-0,53,26.9,136119127,20530036
nyg,NYGNYG,170980782,6584539,43897862,96.49,3.72,24.77,170980782,23.63,11.11,15.45,7.28,26.45,83.92,27.65,30.88,25.21,83.74000000000002,0.56,1.65,1.02,3.23,170.98,96.49,3.72,66.33,5.39,24.77,13.82,6.5,9.04,4.26,15.47,16.17,18.06,14.74,0.33,0.97,0.6,49.08,48.98,1.89,2018,2025-08-15 15:19:08,NYG,83.20M,83.26M,13,5-11-0,53,26.0,117538663,9544257
rav,BALBAL,170531630,9943487,14609080,96.24,5.61,8.24,170531630,27.57,4.9,17.32,7.09,24.73,81.61,10.71,25.29,42.74,78.74000000000002,5.49,3.55,1.14,10.18,170.53,96.24,5.61,84.74,3.25,8.24,16.17,2.87,10.16,4.16,14.5,6.28,14.83,25.06,3.22,2.08,0.67,47.86,46.17,5.97,2018,2025-08-15 15:19:08,BAL,80.83M,78.17M,9,10-6-0,53,26.3,150160923,5760627
mia,MIAMIA,170259550,7009611,20095019,96.08,3.96,11.34,170259550,10.63,4.19,26.22,6.07,33.08,80.19,53.2,17.52,17.65,88.37,0.5,0.56,0.65,1.71,170.26,96.08,3.96,69.7,15.04,11.34,6.24,2.46,15.4,3.57,19.43,31.25,10.29,10.37,0.29,0.33,0.38,47.1,51.9,1.0,2018,2025-08-15 15:19:08,MIA,79.63M,88.35M,12,7-9-0,53,26.4,123506032,26658499
pit,PITPIT,161685116,19555944,8162296,91.24,11.04,4.61,161685116,24.91,2.2,13.25,5.8,35.09,81.25,18.69,23.28,31.17,73.14,3.23,1.91,0.73,5.869999999999999,161.69,91.24,11.04,73.55,13.09,4.61,15.41,1.36,8.19,3.59,21.7,11.56,14.4,19.28,2.0,1.18,0.45,50.25,45.24,3.63,2018,2025-08-15 15:19:08,PIT,80.33M,72.33M,5,9-6-1,53,26.0,130326198,23196622
clt,INDIND,144247844,49789659,12803242,81.4,28.1,7.23,144247844,25.84,4.06,22.36,13.8,28.26,94.32,25.6,6.31,12.88,44.79,3.63,0.56,,4.19,144.25,81.4,28.1,65.63,8.55,7.23,17.91,2.81,15.5,9.57,19.59,17.75,4.37,8.93,2.52,0.39,,65.39,31.05,2.9,2018,2025-08-15 15:19:08,IND,94.38M,44.34M,2,10-6-0,52,25.5,116290378,15154224
