PFR_Team,Team_cap,Total CapAllocations,Cap SpaceAll,DeadCap,Effective_Cap,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,QB_Pct,RB_Pct,WR_Pct,TE_Pct,OL_Pct,DL_Pct,LB_Pct,SEC_Pct,K_Pct,P_Pct,LS_Pct,Off_Pct,Def_Pct,SPT_Pct,Total_Pct,Year,Scraped_Date,Team_pos,Rank,Record,PlayersActive,Avg AgeTeam,Active53-Man,ReservesIR/PUP/NFI/SUSP
pit,PITPIT,131947647,2300803,13435466,118512181,21.33,3.09,7.7,7.88,19.58,59.58,9.58,34.92,24.46,68.96000000000001,1.76,0.42,0.64,2.8200000000000003,131.95,18.0,2.61,6.5,6.65,16.52,8.08,29.47,20.64,1.49,0.35,0.54,50.27,58.19,2.38,111.34,2014,2025-08-15 15:18:32,PIT,22,-,53,26.7,113996593,3980088
nyg,NYGNYG,131935198,80748,12642349,119292849,21.14,5.39,13.02,3.04,27.7,70.28999999999999,18.7,9.74,27.41,55.85,1.35,1.98,1.15,4.48,131.94,17.72,4.52,10.91,2.55,23.22,15.68,8.16,22.98,1.13,1.66,0.96,58.92,46.82,3.76,110.6,2014,2025-08-15 15:18:32,NYG,30,-,54,26.4,84943487,34046962
nor,NONO,131772234,1012683,16327000,115445234,19.15,5.95,15.31,6.37,25.78,72.56,10.1,17.68,24.14,51.92,1.6,3.24,0.86,5.7,131.77,16.59,5.15,13.26,5.52,22.33,8.75,15.31,20.91,1.39,2.81,0.74,62.85,44.97,4.94,114.14,2014,2025-08-15 15:18:32,NO,26,-,54,26.8,101345281,13703053
cin,CINCIN,131642102,10021378,5142081,126500021,11.0,4.26,11.06,7.93,21.66,55.91,31.44,14.6,24.66,70.7,1.4,2.32,0.76,4.48,131.64,8.7,3.37,8.74,6.27,17.12,24.85,11.54,19.49,1.11,1.83,0.6,44.2,55.89,3.54,104.06,2014,2025-08-15 15:18:32,CIN,6,-,55,26.5,115809145,10023076
sfo,SFSF,131507823,3975960,10210497,121297326,6.35,8.76,15.94,9.55,23.8,64.39999999999999,19.93,23.5,16.92,60.35,2.0,2.4,0.57,4.9700000000000015,131.51,5.24,7.22,13.14,7.87,19.62,16.43,19.37,13.95,1.65,1.98,0.47,53.09,49.75,4.1,108.42,2014,2025-08-15 15:18:32,SF,15,-,54,26.6,98126936,22767190
chi,CHICHI,131432644,1574311,18280705,113151939,19.37,10.92,14.53,7.86,17.82,70.5,17.27,20.87,17.69,55.83,2.73,1.25,0.57,4.55,131.43,17.12,9.65,12.84,6.95,15.75,15.26,18.44,15.63,2.41,1.1,0.5,62.31,49.34,4.02,116.15,2014,2025-08-15 15:18:32,CHI,25,-,54,26.4,81640084,31089755
sea,SEASEA,130443458,5423082,17977828,112465630,2.07,9.62,16.76,6.77,24.15,59.37,32.25,11.65,22.3,66.2,1.7,1.4,0.89,3.99,130.44,1.84,8.55,14.9,6.02,21.47,28.68,10.36,19.83,1.51,1.24,0.79,52.79,58.86,3.55,115.98,2014,2025-08-15 15:18:32,SEA,12,-,54,26.1,96775515,15255415
dal,DALDAL,130227376,3647552,28302882,101924494,13.47,2.92,8.52,10.2,24.97,60.08,19.81,20.22,25.75,65.78,1.7,0.65,1.01,3.3600000000000003,130.23,13.22,2.86,8.36,10.01,24.5,19.44,19.84,25.26,1.67,0.64,0.99,58.95,64.54,3.3,127.77,2014,2025-08-15 15:18:32,DAL,16,-,51,26.1,87696782,13811912
min,MINMIN,130020129,3515388,8766804,121253325,10.39,16.62,10.65,7.26,25.58,70.5,27.44,13.78,13.32,54.54,0.6,0.54,1.27,2.41,130.02,8.57,13.71,8.78,5.99,21.1,22.63,11.36,10.99,0.49,0.45,1.05,58.14,44.98,1.99,107.23,2014,2025-08-15 15:18:32,MIN,17,-,54,25.6,88042001,32663224
jax,JAXJAX,129184374,22591120,21765907,107418467,11.5,5.81,8.81,10.95,21.15,58.21999999999999,33.5,20.42,10.37,64.29,4.19,0.77,0.5,5.460000000000001,129.18,10.71,5.41,8.2,10.19,19.69,31.19,19.01,9.65,3.9,0.72,0.47,54.2,59.85,5.08,120.26,2014,2025-08-15 15:18:32,JAX,1,-,53,25.3,87789968,19105599
rai,OAKOAK,124442456,6465447,17835002,106607454,12.43,7.04,8.57,2.17,21.3,51.51000000000001,18.37,14.26,31.02,63.65000000000001,3.07,0.57,1.08,4.72,124.44,11.66,6.6,8.04,2.04,19.98,17.23,13.38,29.1,2.88,0.53,1.01,48.32,59.71,4.43,116.73,2014,2025-08-15 15:18:32,OAK,11,-,55,26.6,78110193,28068861
clt,INDIND,123726021,9627074,5902931,117823090,9.79,4.41,13.05,2.94,18.88,49.07,20.01,23.97,24.42,68.4,2.25,2.95,0.57,5.7700000000000005,123.73,8.31,3.74,11.08,2.5,16.02,16.98,20.34,20.73,1.91,2.5,0.48,41.65,58.05,4.9,105.01,2014,2025-08-15 15:18:32,IND,7,-,52,27.2,95599118,21764072
nyj,NYJNYJ,118345094,15764146,19245928,99099166,10.29,6.31,19.44,3.42,26.93,66.39,9.42,16.9,19.92,46.24,3.6,0.5,0.8,4.9,118.35,10.38,6.37,19.62,3.45,27.17,9.51,17.05,20.1,3.63,0.5,0.81,66.99,46.66,4.94,119.43,2014,2025-08-15 15:18:32,NYJ,3,-,53,26.3,93006628,5903538
