PFR_Team,Team_cap,Total CapAllocations,Cap SpaceAll,DeadCap,Total_Cap_For_Calc,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,QB_Pct,RB_Pct,WR_Pct,TE_Pct,OL_Pct,DL_Pct,LB_Pct,SEC_Pct,K_Pct,P_Pct,LS_Pct,Off_Pct,Def_Pct,SPT_Pct,Total_Pct,Year,Scraped_Date,Team_pos,Rank,Record,PlayersActive,Avg AgeTeam,Active53-Man,ReservesIR/PUP/NFI/SUSP
kan,KCKC,141444281,4699919,21535333,141444281,21.48,9.74,16.03,4.53,16.94,68.72,13.51,23.05,28.91,65.47,1.53,3.8,0.44,5.7700000000000005,141.44,15.19,6.89,11.33,3.2,11.98,9.55,16.3,20.44,1.08,2.69,0.31,48.58,46.29,4.08,100.0,2015,2025-08-15 15:18:42,KC,19,-,52,26.1,104438587,14902761
nwe,NENE,141316422,3261662,19484524,141316422,14.83,3.99,16.81,12.53,25.72,73.88,10.34,24.71,26.46,61.51,3.6,1.09,0.48,5.17,141.32,10.49,2.82,11.9,8.87,18.2,7.32,17.49,18.72,2.55,0.77,0.34,52.28,43.53,3.66,100.0,2015,2025-08-15 15:18:42,NE,26,-,52,26.0,96415003,25397095
was,WASWAS,139789532,6802213,13087081,139789532,8.88,3.56,24.78,6.17,28.22,71.61,27.07,17.4,19.93,64.4,0.62,0.51,1.11,2.24,139.79,6.35,2.55,17.73,4.41,20.19,19.36,12.45,14.26,0.44,0.36,0.79,51.23,46.07,1.6,100.0,2015,2025-08-15 15:18:42,WAS,16,-,52,26.7,97790178,28912273
cle,CLECLE,139647560,22119840,7054744,139647560,7.13,3.16,15.45,6.55,27.95,60.24,16.32,23.74,36.0,76.06,0.44,2.05,0.44,2.93,139.65,5.11,2.26,11.06,4.69,20.01,11.69,17.0,25.78,0.32,1.47,0.32,43.14,54.47,2.1,100.0,2015,2025-08-15 15:18:42,CLE,3,-,53,25.8,102057621,30535195
pit,PITPIT,138860441,5198028,20143726,138860441,20.37,4.31,11.67,6.27,19.4,62.02,14.99,29.67,23.63,68.29,5.48,0.44,0.67,6.590000000000002,138.86,14.67,3.1,8.4,4.52,13.97,10.8,21.37,17.02,3.95,0.32,0.48,44.66,49.18,4.75,100.0,2015,2025-08-15 15:18:42,PIT,17,-,53,26.8,95331909,23114206
buf,BUFBUF,138342172,7731712,13643764,138342172,6.1,10.37,13.66,7.45,16.67,54.25,44.55,10.37,22.95,77.86999999999998,2.9,0.51,1.05,4.46,138.34,4.41,7.5,9.87,5.39,12.05,32.2,7.5,16.59,2.1,0.37,0.76,39.21,56.29,3.22,100.0,2015,2025-08-15 15:18:42,BUF,15,-,53,25.9,91749336,32949072
dal,DALDAL,137816498,10761815,19218914,137816498,20.03,4.32,16.8,8.4,21.89,71.44,14.73,14.79,31.38,60.9,2.5,1.0,1.12,4.62,137.82,14.53,3.13,12.19,6.1,15.88,10.69,10.73,22.77,1.81,0.73,0.81,51.84,44.19,3.35,100.0,2015,2025-08-15 15:18:42,DAL,8,-,52,26.1,80128732,38468852
rai,OAKOAK,137071838,14800918,16688813,137071838,3.42,4.73,12.69,4.95,31.26,57.05,23.9,19.08,26.22,69.19999999999999,3.61,1.54,1.23,6.380000000000001,137.07,2.5,3.45,9.26,3.61,22.81,17.44,13.92,19.13,2.63,1.12,0.9,41.62,50.48,4.65,100.0,2015,2025-08-15 15:18:42,OAK,5,-,54,26.4,94352516,26030509
sfo,SFSF,136740459,13115521,29094100,136740459,17.32,5.25,13.78,7.38,23.45,67.18,18.78,22.01,20.8,61.59,4.13,0.98,0.81,5.92,136.74,12.67,3.84,10.08,5.4,17.15,13.73,16.1,15.21,3.02,0.72,0.59,49.13,45.04,4.33,100.0,2015,2025-08-15 15:18:42,SF,6,-,52,25.6,74501722,33144637
atl,ATLATL,136236065,10012750,22469541,136236065,20.58,3.45,25.78,2.98,28.45,81.24,22.75,8.61,15.44,46.8,3.03,3.36,0.76,7.15,136.24,15.11,2.53,18.92,2.19,20.88,16.7,6.32,11.33,2.22,2.47,0.56,59.63,34.35,5.25,100.0,2015,2025-08-15 15:18:42,ATL,9,-,53,26.8,99720594,14045930
jax,JAXJAX,136130404,32355703,9582465,136130404,8.25,6.23,7.38,16.64,25.11,63.61,40.04,13.7,14.99,68.72999999999999,2.32,0.88,0.59,3.79,136.13,6.06,4.58,5.42,12.22,18.45,29.41,10.06,11.01,1.7,0.65,0.43,46.73,50.49,2.78,100.0,2015,2025-08-15 15:18:42,JAX,1,-,53,25.6,107546334,19001605
tam,TBTB,133567282,11342607,25305733,133567282,5.97,4.71,18.63,4.57,27.88,61.75999999999999,34.98,17.04,17.57,69.59,0.67,0.44,0.51,1.62,133.57,4.47,3.53,13.95,3.42,20.87,26.19,12.76,13.15,0.5,0.33,0.38,46.24,52.1,1.21,100.0,2015,2025-08-15 15:18:42,TB,7,-,53,25.8,86632966,21628583
nyg,NYGNYG,128321422,15090461,15599806,128321422,15.25,7.42,15.21,2.23,26.28,66.39,22.88,11.77,22.34,56.99,1.35,1.41,1.36,4.12,128.32,11.88,5.78,11.85,1.74,20.48,17.83,9.17,17.41,1.05,1.1,1.06,51.74,44.41,3.21,100.0,2015,2025-08-15 15:18:42,NYG,4,-,53,26.3,78694040,34027576
