PFR_Team,Team_cap,Total CapAllocations,Cap SpaceAll,DeadCap,Total CapAllocations_Pct,Cap SpaceAll_Pct,DeadCap_Pct,Total_Cap_For_Calc,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,Total CapAllocations_Pct,Cap SpaceAll_Pct,Active53-Man_Pct,ReservesIR/PUP/NFI/SUSP_Pct,DeadCap_Pct,QB_Pct,RB_Pct,WR_Pct,TE_Pct,OL_Pct,DL_Pct,LB_Pct,SEC_Pct,K_Pct,P_Pct,LS_Pct,Off_Pct,Def_Pct,SPT_Pct,Year,Scraped_Date,Team_pos,Rank,Record,PlayersActive,Avg AgeTeam,Active53-Man,ReservesIR/PUP/NFI/SUSP
rai,LVLV,223471769,11529499,57853191,99.41,5.13,25.74,223471769,14.42,22.66,36.87,7.16,40.75,121.86,51.69,18.53,21.38,91.6,4.31,2.55,1.44,8.299999999999999,223.47,99.41,5.13,69.34,3.39,25.74,6.45,10.14,16.5,3.2,18.23,23.13,8.29,9.57,1.93,1.14,0.64,54.53,40.99,3.71,2023,2025-08-15 15:17:21,LV,4,8-9-0,52,26.9,155882148,7623130
nyg,NYGNYG,223438031,6182522,56451152,99.39,2.75,25.11,223438031,23.45,13.95,39.25,6.46,34.88,117.99,44.44,18.27,34.42,97.13,5.32,1.6,1.1,8.02,223.44,99.39,2.75,57.8,15.53,25.11,10.5,6.24,17.57,2.89,15.61,19.89,8.18,15.4,2.38,0.72,0.49,52.81,43.47,3.59,2023,2025-08-15 15:17:21,NYG,17,6-11-0,53,25.8,129927472,34906607
det,DETDET,223408752,3800950,32092641,99.38,1.69,14.28,223408752,36.17,9.19,22.71,4.92,58.36,131.35,29.6,18.79,36.07,84.46000000000002,1.57,1.97,1.62,5.16,223.41,99.38,1.69,77.1,7.06,14.28,16.19,4.11,10.17,2.2,26.12,13.25,8.41,16.15,0.7,0.88,0.73,58.79,37.81,2.31,2023,2025-08-15 15:17:21,DET,22,12-5-0,52,26.0,173331167,15877444
atl,ATLATL,222639430,7730237,25649790,99.04,3.44,11.41,222639430,9.95,11.7,12.13,18.07,52.4,104.25,43.21,34.93,30.79,108.93,4.76,2.67,0.87,8.299999999999999,222.64,99.04,3.44,72.91,13.55,11.41,4.47,5.26,5.45,8.12,23.54,19.41,15.69,13.83,2.14,1.2,0.39,46.82,48.93,3.73,2023,2025-08-15 15:17:21,ATL,14,7-10-0,54,26.4,163895473,30465567
rav,BALBAL,222562171,1049714,15901398,99.0,0.47,7.07,222562171,26.02,8.12,19.62,19.36,49.92,123.04,23.31,23.79,39.95,87.05,5.96,1.04,1.34,8.34,222.56,99.0,0.47,78.12,12.7,7.07,11.69,3.65,8.82,8.7,22.43,10.47,10.69,17.95,2.68,0.47,0.6,55.28,39.11,3.75,2023,2025-08-15 15:17:21,BAL,30,13-4-0,53,26.9,175622212,28547661
nyj,NYJNYJ,222545781,6034929,29031325,99.0,2.68,12.91,222545781,20.02,11.0,20.97,15.01,43.67,110.67,29.7,34.17,40.62,104.49,2.78,2.13,1.38,6.29,222.55,99.0,2.68,64.05,21.41,12.91,9.0,4.94,9.42,6.74,19.62,13.35,15.35,18.25,1.25,0.96,0.62,49.73,46.95,2.83,2023,2025-08-15 15:17:21,NYJ,18,7-10-0,54,26.7,143977333,48137923
dal,DALDAL,222101883,10801968,20451431,98.8,4.81,9.1,222101883,29.9,18.24,21.6,4.69,44.73,119.16,39.76,11.01,46.45,97.22,0.75,3.0,1.23,4.98,222.1,98.8,4.81,82.52,5.9,9.1,13.46,8.21,9.73,2.11,20.14,17.9,4.96,20.91,0.34,1.35,0.55,53.65,43.77,2.24,2023,2025-08-15 15:17:21,DAL,6,12-5-0,53,26.1,185500694,13268658
cle,CLECLE,221895525,29876309,23468987,98.71,13.29,10.44,221895525,23.93,18.69,34.5,17.11,34.83,129.06,36.45,15.16,35.18,86.78999999999998,2.78,1.94,1.34,6.06,221.9,98.71,13.29,60.58,26.57,10.44,10.78,8.42,15.55,7.71,15.7,16.43,6.83,15.85,1.25,0.87,0.6,58.16,39.11,2.73,2023,2025-08-15 15:17:21,CLE,2,11-6-0,53,26.9,136190604,59731634
nwe,NENE,221851422,528826,31235322,98.69,0.24,13.89,221851422,7.98,5.37,22.39,34.57,39.21,109.52,31.4,33.01,41.59,106.0,1.56,3.27,1.51,6.34,221.85,98.69,0.24,54.58,29.38,13.89,3.6,2.42,10.09,15.58,17.67,14.15,14.88,18.75,0.7,1.47,0.68,49.37,47.78,2.86,2023,2025-08-15 15:17:21,NE,31,4-13-0,53,26.7,122696951,66043849
oti,TENTEN,221490310,9408724,58841771,98.53,4.19,26.18,221490310,39.51,19.16,23.65,6.88,26.17,115.37,25.94,37.8,36.31,100.05,2.92,0.97,1.09,4.98,221.49,98.53,4.19,57.38,14.38,26.18,17.84,8.65,10.68,3.11,11.82,11.71,17.07,16.39,1.32,0.44,0.49,52.09,45.17,2.25,2023,2025-08-15 15:17:21,TEN,8,6-11-0,53,26.3,128983277,32324162
nor,NONO,220525665,3635502,35175167,98.1,1.62,15.65,220525665,12.93,13.36,24.83,13.04,44.55,108.71,54.69,15.36,35.15,105.2,3.25,1.36,1.55,6.16,220.53,98.1,1.62,61.4,20.01,15.65,5.86,6.06,11.26,5.91,20.2,24.8,6.97,15.94,1.47,0.62,0.7,49.3,47.7,2.79,2023,2025-08-15 15:17:21,NO,24,9-8-0,54,27.1,138027290,44993108
was,WASWAS,219158252,12093648,47623965,97.49,5.38,21.19,219158252,9.76,7.86,33.12,12.58,32.48,95.79999999999998,55.33,12.45,47.97,115.75,2.35,3.5,0.95,6.8,219.16,97.49,5.38,59.48,16.06,21.19,4.45,3.59,15.11,5.74,14.82,25.25,5.68,21.89,1.07,1.6,0.43,43.71,52.82,3.1,2023,2025-08-15 15:17:21,WAS,3,4-13-0,53,26.2,133719895,36098892
sdg,LACLAC,218514926,8006038,27385531,97.2,3.56,12.18,218514926,10.15,10.87,34.4,12.35,32.2,99.97,26.25,47.09,39.65,112.99,1.67,1.49,1.37,4.53,218.51,97.2,3.56,58.96,25.18,12.18,4.64,4.97,15.74,5.65,14.74,12.01,21.55,18.15,0.76,0.68,0.63,45.75,51.71,2.07,2023,2025-08-15 15:17:21,LAC,13,5-12-0,53,26.1,132544014,56597781
crd,ARIARI,218123776,11175765,69784194,97.03,4.97,31.04,218123776,21.45,12.9,42.83,16.22,36.18,129.58,20.35,26.87,36.14,83.36,2.75,0.9,1.53,5.18,218.12,97.03,4.97,47.74,17.55,31.04,9.83,5.91,19.64,7.44,16.59,9.33,12.32,16.57,1.26,0.41,0.7,59.41,38.22,2.37,2023,2025-08-15 15:17:21,ARI,5,4-13-0,53,25.6,107322872,39445510
gnb,GBGB,218045716,8737004,67234462,97.0,3.89,29.91,218045716,45.77,11.42,9.44,6.83,39.97,113.43,23.55,36.51,39.94,100.0,1.79,1.23,1.28,4.3,218.05,97.0,3.89,53.69,12.3,29.91,20.99,5.24,4.33,3.13,18.33,10.8,16.74,18.32,0.82,0.56,0.59,52.02,45.86,1.97,2023,2025-08-15 15:17:21,GB,11,9-8-0,53,25.0,120689913,27644641
jax,JAXJAX,217779453,8947864,10665516,96.88,3.98,4.74,217779453,12.47,6.7,38.05,7.81,43.75,108.78,26.45,40.97,35.85,103.27,2.01,2.6,1.12,5.73,217.78,96.88,3.98,86.31,4.56,4.74,5.73,3.08,17.47,3.59,20.09,12.15,18.81,16.46,0.92,1.19,0.51,49.95,47.42,2.63,2023,2025-08-15 15:17:21,JAX,10,9-8-0,53,26.4,194030338,10248599
kan,KCKC,217621452,2826341,12295967,96.81,1.26,5.47,217621452,38.48,6.39,21.19,18.09,31.25,115.4,54.28,9.85,29.02,93.15,5.13,2.63,1.32,9.08,217.62,96.81,1.26,86.67,3.49,5.47,17.68,2.94,9.74,8.31,14.36,24.94,4.53,13.34,2.36,1.21,0.61,53.03,42.8,4.17,2023,2025-08-15 15:17:21,KC,26,11-6-0,53,26.0,194829168,7838417
ram,LARLAR,217174558,7693754,79381937,96.61,3.42,35.31,217174558,21.97,4.63,45.65,9.95,31.16,113.36,37.2,32.33,31.64,101.17,0.93,0.8,0.91,2.64,217.17,96.61,3.42,58.67,1.56,35.31,10.12,2.13,21.02,4.58,14.35,17.13,14.89,14.57,0.43,0.37,0.42,52.2,46.58,1.22,2023,2025-08-15 15:17:21,LAR,15,10-7-0,52,26.1,131880407,3504814
cin,CINCIN,215841995,10766741,4451550,96.02,4.79,1.98,215841995,21.22,11.69,26.87,4.94,47.22,111.94,60.28,14.67,26.27,101.22,1.03,0.78,0.88,2.69,215.84,96.02,4.79,76.01,16.75,1.98,9.83,5.42,12.45,2.29,21.88,27.93,6.8,12.17,0.48,0.36,0.41,51.86,46.9,1.25,2023,2025-08-15 15:17:21,CIN,7,9-8-0,53,25.9,170878346,37661299
sea,SEASEA,214977978,7127512,23397380,95.63,3.17,10.41,214977978,14.48,6.7,31.48,18.11,26.74,97.51,38.49,28.56,40.73,107.78,3.04,3.3,0.75,7.09,214.98,95.63,3.17,73.84,10.49,10.41,6.74,3.12,14.64,8.42,12.44,17.9,13.29,18.95,1.41,1.54,0.35,45.36,50.14,3.3,2023,2025-08-15 15:17:21,SEA,16,9-8-0,54,26.2,165990770,23585828
min,MINMIN,212737877,8959126,46177305,94.63,3.99,20.54,212737877,24.43,11.52,29.96,9.94,29.81,105.66,33.38,38.1,28.71,100.19,2.01,0.87,1.3,4.18,212.74,94.63,3.99,54.29,18.94,20.54,11.48,5.42,14.08,4.67,14.01,15.69,17.91,13.5,0.94,0.41,0.61,49.67,47.1,1.96,2023,2025-08-15 15:17:21,MIN,9,7-10-0,52,26.5,122035441,42572831
sfo,SFSF,199530464,37989804,33313374,88.76,16.9,14.82,199530464,16.05,7.36,20.64,13.49,28.1,85.64,45.04,31.24,26.87,103.15,0.98,1.8,1.26,4.04,199.53,88.76,16.9,68.92,4.02,14.82,8.04,3.69,10.34,6.76,14.08,22.57,15.66,13.47,0.49,0.9,0.63,42.92,51.7,2.02,2023,2025-08-15 15:17:21,SF,1,12-5-0,53,26.9,154932685,9045205
