Feature,Importance,Is_Coach_Feature
TD Passing__oc_Norm,0.00081878685,True
Att Passing__hc_Norm,0.00026168986,True
Pen__hc_Norm,0.0,True
1stD Rushing__hc_Norm,0.0,True
1stD__hc_Norm,0.0,True
TE_Retention_Rate_Pct,0.0,False
Pts Average Drive__opp__hc_Norm,0.0,True
Cmp Passing__hc_Norm,0.0,True
DL_Pct,0.0,False
Att Rushing__opp__hc_Norm,0.0,True
Yds Average Drive__opp__hc_Norm,0.0,True
1stD Passing__opp__hc_Norm,0.0,True
Att Passing__opp__hc_Norm,0.0,True
Avg_Starter_Exp_DL,0.0,False
Avg_Starter_Age_DL,0.0,False
Avg_Roster_Age_OL,0.0,False
TE_Pct,0.0,False
3D%__hc_Norm,0.0,True
3DAtt__hc_Norm,0.0,True
Plays Average Drive__hc_Norm,0.0,True
Time Average Drive__hc_Norm,0.0,True
TD Rushing__hc_Norm,0.0,True
#Dr__hc_Norm,0.0,True
Prev_1Yr_Round_2_Picks,0.0,False
Prev_1Yr_Round_3_Picks,0.0,False
Current_Round_3_Picks,0.0,False
Current_Round_4_Picks,0.0,False
Team_Yds_Penalties_Norm,0.0,False
Avg_Roster_Age_DL,0.0,False
Prev_2Yr_Round_4_Picks,0.0,False
Prev_2Yr_Round_3_Picks,0.0,False
Prev_3Yr_Round_2_Picks,0.0,False
Prev_3Yr_Round_1_Picks,0.0,False
Prev_3Yr_Round_4_Picks,0.0,False
Prev_3Yr_Round_5_Picks,0.0,False
Prev_3Yr_Round_6_Picks,0.0,False
Prev_3Yr_Round_3_Picks,0.0,False
Prev_4Yr_Round_1_Picks,0.0,False
num_yr_col_hc,0.0,True
Prev_1Yr_Round_4_Picks,0.0,False
Prev_1Yr_Round_5_Picks,0.0,False
Prev_1Yr_Round_6_Picks,0.0,False
Prev_2Yr_Round_1_Picks,0.0,False
Current_Round_6_Picks,0.0,False
Current_Round_1_Picks,0.0,False
StdDev_Starter_Age,0.0,False
Avg_Starter_Age,0.0,False
CB_Max_Games_Missed_Pct,0.0,False
Yds__oc_Norm,0.0,True
num_yr_nfl_coor,0.0,True
PF (Points For)__oc_Norm,0.0,True
StdDev_Roster_Experience,0.0,False
Avg_Starter_Exp_WR,0.0,False
Y/P__oc_Norm,0.0,True
Avg_Roster_Exp_TE,0.0,False
Avg_Roster_Exp_WR,0.0,False
TO__oc_Norm,0.0,True
Att Passing__oc_Norm,0.0,True
Cmp Passing__oc_Norm,0.0,True
1stD__oc_Norm,0.0,True
StdDev_Roster_Age,0.0,False
Yds Passing__oc_Norm,0.0,True
1stD Rushing__oc_Norm,0.0,True
Time Average Drive__oc_Norm,0.0,True
Yds Penalties__oc_Norm,0.0,True
S_Departure_Rate_Pct_crosstab,0.0,False
S_New_Player_Rate_Pct_crosstab,0.0,False
Total_Games_In_Season,0.0,False
Pts Average Drive__oc_Norm,0.0,True
QB_Max_Games_Missed_Pct,0.0,False
QB_Min_Games_Missed_Pct,0.0,False
