Primary_Coach,Avg_WAR,WAR_StdDev,Seasons,Total_WAR,Avg_Pred_Impact,Total_Pred_Impact,Avg_Actual_Win,Avg_Pred_Coach,Avg_Pred_Replace,SE,CI_Lower,CI_Upper,Total_CI_Lower,Total_CI_Upper
Mike Smith,-0.0029,0.1121,7,-0.0204,-0.0104,-0.0726,0.5893,0.5818,0.5922,0.68,-1.71,1.61,-11.9,11.3
Vince Tobin,-0.0038,0.052,5,-0.019,-0.036,-0.1798,0.3821,0.35,0.3859,0.37,-1.09,0.97,-5.5,4.9
John Robinson,-0.004,0.0705,9,-0.0356,0.0189,0.17,0.5236,0.5464,0.5276,0.38,-0.93,0.8,-8.4,7.2
Ray Rhodes,-0.0053,0.0735,5,-0.0264,-0.0081,-0.0407,0.4687,0.4659,0.474,0.53,-1.54,1.38,-7.7,6.9
Dick Nolan,-0.006,0.091,9,-0.0538,0.029,0.2613,0.4534,0.4884,0.4593,0.49,-1.22,1.02,-10.9,9.2
Sam Wyche,-0.0065,0.1236,12,-0.0784,0.001,0.0119,0.4389,0.4464,0.4454,0.57,-1.36,1.15,-16.3,13.8
Mike McCoy,-0.0071,0.1374,4,-0.0283,-0.0048,-0.0192,0.4219,0.4242,0.4289,1.1,-3.61,3.38,-14.4,13.5
June Jones,-0.0076,0.0263,3,-0.0228,-0.0063,-0.0188,0.3958,0.3972,0.4034,0.24,-1.17,0.92,-3.5,2.8
Mike Shanahan,-0.008,0.1017,20,-0.1594,0.0075,0.1508,0.5406,0.5561,0.5486,0.36,-0.89,0.63,-17.8,12.7
Joe Schmidt,-0.0081,0.1046,3,-0.0244,0.0158,0.0474,0.619,0.643,0.6272,0.97,-4.29,4.03,-12.9,12.1
Jack Del Rio,-0.0085,0.0903,12,-0.1025,-0.0074,-0.0889,0.4915,0.4926,0.5,0.42,-1.05,0.78,-12.6,9.4
Neill Armstrong,-0.0098,0.0537,4,-0.0391,-0.0169,-0.0676,0.4688,0.4616,0.4785,0.43,-1.52,1.21,-6.1,4.8
Wayne Fontes,-0.0102,0.1348,8,-0.0818,-0.0147,-0.1177,0.5,0.4955,0.5102,0.76,-1.97,1.64,-15.7,13.1
Rex Ryan,-0.0103,0.1184,8,-0.0827,-0.0098,-0.078,0.4802,0.4808,0.4905,0.67,-1.75,1.42,-14.0,11.4
Brian Billick,-0.0119,0.0901,9,-0.1068,-0.0022,-0.0201,0.5556,0.5652,0.5674,0.48,-1.3,0.92,-11.7,8.3
Tom Coughlin,-0.0122,0.1046,20,-0.2435,-0.0049,-0.0985,0.5312,0.5385,0.5434,0.37,-0.98,0.59,-19.6,11.8
Zac Taylor,-0.0133,0.0999,6,-0.0798,-0.0439,-0.2633,0.4672,0.4366,0.4805,0.65,-1.89,1.46,-11.3,8.8
Ted Marchibroda,-0.0173,0.0947,12,-0.2072,-0.0189,-0.2269,0.4788,0.4771,0.4961,0.44,-1.24,0.69,-14.9,8.2
Brian Daboll,-0.0205,0.1077,3,-0.0614,-0.0344,-0.1033,0.3627,0.3488,0.3832,0.99,-4.61,3.95,-13.8,11.9
Frank Kush,-0.0206,0.0957,3,-0.0617,-0.0376,-0.1128,0.2533,0.2362,0.2738,0.88,-4.13,3.47,-12.4,10.4
Monte Clark,-0.0208,0.0657,8,-0.1663,0.0063,0.0507,0.4356,0.4627,0.4563,0.37,-1.21,0.55,-9.7,4.4
Steve Mariucci,-0.0223,0.0815,9,-0.2004,-0.0025,-0.0227,0.5126,0.5324,0.5349,0.43,-1.36,0.65,-12.2,5.8
Joe Walton,-0.0225,0.0776,7,-0.1577,-0.0131,-0.0916,0.4812,0.4907,0.5038,0.47,-1.51,0.79,-10.6,5.5
Bill Walsh,-0.0235,0.1543,10,-0.2349,-0.0026,-0.0258,0.5981,0.619,0.6216,0.78,-2.14,1.39,-21.4,13.9
Buddy Ryan,-0.0246,0.0511,7,-0.1723,-0.0171,-0.1199,0.4997,0.5072,0.5243,0.31,-1.15,0.36,-8.0,2.5
Dave Wannstedt,-0.0262,0.099,11,-0.2884,-0.0106,-0.1168,0.4703,0.4859,0.4965,0.48,-1.48,0.64,-16.3,7.1
Matt Rhule,-0.0262,0.1142,3,-0.0785,-0.0025,-0.0074,0.2689,0.2926,0.295,1.05,-4.96,4.12,-14.9,12.4
Alex Webster,-0.0264,0.0771,4,-0.1056,-0.0138,-0.0553,0.4196,0.4322,0.446,0.62,-2.39,1.54,-9.5,6.2
Lovie Smith,-0.0275,0.1072,12,-0.33,-0.0137,-0.165,0.4807,0.4945,0.5082,0.5,-1.53,0.65,-18.4,7.8
Marvin Lewis,-0.0283,0.1111,16,-0.4529,-0.0312,-0.4991,0.5176,0.5147,0.5459,0.44,-1.4,0.49,-22.4,7.9
Jon Gruden,-0.0301,0.0793,15,-0.4519,0.0091,0.1372,0.515,0.5543,0.5451,0.33,-1.18,0.22,-17.8,3.3
Ken Whisenhunt,-0.0314,0.0728,8,-0.2514,-0.0025,-0.02,0.385,0.414,0.4165,0.41,-1.48,0.47,-11.8,3.8
Dick Vermeil,-0.0328,0.0766,15,-0.4927,0.0186,0.2785,0.5151,0.5665,0.5479,0.32,-1.2,0.15,-18.1,2.3
Matt Patricia,-0.0328,0.0314,3,-0.0984,-0.0242,-0.0727,0.3191,0.3277,0.3519,0.29,-1.77,0.72,-5.3,2.2
Chan Gailey,-0.0331,0.0644,5,-0.1655,0.0099,0.0494,0.425,0.468,0.4581,0.46,-1.81,0.75,-9.0,3.7
Jerry Burns,-0.0332,0.0622,6,-0.199,0.0152,0.0914,0.5472,0.5956,0.5804,0.41,-1.58,0.51,-9.5,3.1
Paul Brown,-0.034,0.1536,6,-0.2041,-0.0199,-0.1194,0.5714,0.5855,0.6054,1.0,-3.12,2.04,-18.7,12.2
Brandon Staley,-0.0345,0.05,3,-0.1034,-0.015,-0.045,0.4916,0.511,0.526,0.46,-2.54,1.44,-7.6,4.3
Jay Gruden,-0.0349,0.1535,6,-0.2093,-0.0184,-0.1103,0.3698,0.3863,0.4047,1.0,-3.14,2.02,-18.8,12.1
Tommy Prothro,-0.0356,0.099,7,-0.2495,-0.0051,-0.0355,0.3929,0.4234,0.4285,0.6,-2.03,0.9,-14.2,6.3
Frank Reich,-0.0367,0.1366,6,-0.2204,0.0006,0.0036,0.4599,0.4972,0.4966,0.89,-2.88,1.71,-17.3,10.2
Tony Sparano,-0.0399,0.1897,4,-0.1598,-0.0332,-0.1327,0.4676,0.4743,0.5075,1.52,-5.47,4.19,-21.9,16.8
Dennis Erickson,-0.0404,0.0836,6,-0.2423,-0.0264,-0.1585,0.4167,0.4306,0.4571,0.55,-2.05,0.76,-12.3,4.5
Jim Fassel,-0.0447,0.0757,7,-0.3127,-0.0258,-0.1803,0.5223,0.5412,0.567,0.46,-1.84,0.4,-12.8,2.8
Hank Stram,-0.0451,0.0351,7,-0.3154,0.0094,0.0661,0.4745,0.529,0.5195,0.21,-1.24,-0.2,-8.7,-1.4
Leeman Bennett,-0.0457,0.1041,8,-0.3653,-0.0176,-0.1404,0.4288,0.4569,0.4745,0.59,-2.12,0.66,-17.0,5.3
Mike Munchak,-0.0462,0.0158,3,-0.1386,-0.0436,-0.1309,0.4583,0.4609,0.5045,0.15,-1.37,-0.11,-4.1,-0.3
Dave McGinnis,-0.0465,0.0674,3,-0.1394,-0.0506,-0.1518,0.3333,0.3292,0.3798,0.62,-3.42,1.93,-10.3,5.8
Eric Mangini,-0.0472,0.0747,5,-0.2362,-0.0441,-0.2207,0.4125,0.4156,0.4597,0.53,-2.24,0.73,-11.2,3.6
Gregg Williams,-0.0473,0.056,3,-0.1419,-0.0446,-0.1337,0.3542,0.3569,0.4015,0.52,-2.98,1.47,-8.9,4.4
Raheem Morris,-0.0494,0.0488,4,-0.1975,-0.0516,-0.2064,0.3833,0.381,0.4326,0.39,-2.03,0.45,-8.1,1.8
Anthony Lynn,-0.0497,0.1297,4,-0.1987,-0.0369,-0.1475,0.5156,0.5284,0.5653,1.04,-4.1,2.51,-16.4,10.0
John North,-0.0499,0.1209,3,-0.1498,-0.0268,-0.0803,0.2936,0.3168,0.3436,1.12,-5.6,4.01,-16.8,12.0
Dirk Koetter,-0.0519,0.062,3,-0.1557,-0.0513,-0.154,0.3958,0.3964,0.4477,0.57,-3.29,1.63,-9.9,4.9
Joe Philbin,-0.0532,0.0935,4,-0.2129,-0.014,-0.0558,0.4219,0.4611,0.4751,0.75,-3.23,1.53,-12.9,6.1
Butch Davis,-0.0547,0.0706,4,-0.2187,-0.0514,-0.2055,0.3963,0.3996,0.451,0.56,-2.67,0.92,-10.7,3.7
Darryl Rogers,-0.0574,0.0738,4,-0.2296,-0.0312,-0.125,0.2996,0.3258,0.357,0.59,-2.8,0.96,-11.2,3.8
Ron Erhardt,-0.0574,0.131,3,-0.1721,0.0253,0.076,0.4375,0.5202,0.4949,1.21,-6.13,4.29,-18.4,12.9
Mike Tice,-0.0578,0.0982,4,-0.2312,-0.0426,-0.1704,0.5,0.5152,0.5578,0.79,-3.42,1.58,-13.7,6.3
Mike Mularkey,-0.0606,0.0967,5,-0.3028,-0.0139,-0.0694,0.425,0.4717,0.4856,0.69,-2.89,0.95,-14.5,4.8
Lindy Infante,-0.0614,0.1045,6,-0.3682,-0.0369,-0.2214,0.375,0.3995,0.4364,0.68,-2.74,0.77,-16.4,4.6
Rich Kotite,-0.0616,0.1313,6,-0.3695,-0.0196,-0.1173,0.4167,0.4587,0.4783,0.86,-3.19,1.22,-19.1,7.3
Dan Henning,-0.062,0.0576,7,-0.4341,-0.0423,-0.2958,0.3438,0.3635,0.4058,0.35,-1.84,-0.14,-12.9,-1.0
Norv Turner,-0.0634,0.0807,15,-0.9507,-0.0401,-0.601,0.4838,0.5071,0.5472,0.33,-1.73,-0.3,-25.9,-4.5
Mike Riley,-0.064,0.1703,3,-0.192,-0.0183,-0.0548,0.2917,0.3374,0.3557,1.57,-7.79,5.74,-23.4,17.2
Sam Rutigliano,-0.0642,0.1268,7,-0.4492,-0.0288,-0.2014,0.4563,0.4917,0.5205,0.77,-2.9,0.85,-20.3,5.9
Arthur Smith,-0.0652,0.0543,3,-0.1957,-0.052,-0.1559,0.4118,0.4251,0.477,0.5,-3.2,1.12,-9.6,3.3
Weeb Ewbank,-0.0654,0.1093,4,-0.2615,-0.0273,-0.1092,0.375,0.4131,0.4404,0.87,-3.83,1.74,-15.3,6.9
Chip Kelly,-0.0662,0.1632,4,-0.2649,-0.0121,-0.0485,0.4438,0.4979,0.51,1.31,-5.21,3.1,-20.9,12.4
Dave Campo,-0.0679,0.086,3,-0.2037,-0.0378,-0.1133,0.3125,0.3426,0.3804,0.79,-4.5,2.33,-13.5,7.0
Josh McDaniels,-0.0694,0.0965,4,-0.2777,-0.0284,-0.1134,0.3695,0.4105,0.4389,0.77,-3.57,1.35,-14.3,5.4
Doug Marrone,-0.07,0.0662,6,-0.4203,-0.0244,-0.1463,0.3854,0.4311,0.4555,0.43,-2.23,-0.01,-13.4,-0.1
Jim Haslett,-0.0708,0.0669,6,-0.4248,-0.0263,-0.1579,0.4688,0.5132,0.5396,0.44,-2.26,-0.01,-13.5,-0.1
Todd Haley,-0.0727,0.1077,3,-0.218,-0.0422,-0.1266,0.4199,0.4503,0.4925,0.99,-5.44,3.12,-16.3,9.4
Marion Campbell,-0.0752,0.0543,8,-0.6018,-0.0364,-0.2908,0.2959,0.3347,0.3711,0.31,-1.93,-0.48,-15.4,-3.8
John Mackovic,-0.0761,0.0842,4,-0.3045,-0.0293,-0.1173,0.4688,0.5156,0.5449,0.67,-3.36,0.93,-13.4,3.7
Jim Mora Jr,-0.0786,0.0889,4,-0.3146,-0.0497,-0.1987,0.4844,0.5133,0.563,0.71,-3.52,1.01,-14.1,4.0
Joe Bugel,-0.0792,0.1017,5,-0.396,-0.0616,-0.3082,0.3,0.3175,0.3792,0.73,-3.29,0.75,-16.4,3.8
Dom Capers,-0.0809,0.1055,8,-0.6471,-0.0423,-0.3386,0.375,0.4136,0.4559,0.6,-2.71,0.12,-21.6,0.9
Don McCafferty,-0.0836,0.1942,4,-0.3345,0.0024,0.0095,0.55,0.636,0.6336,1.55,-6.28,3.61,-25.1,14.4
Mike McCormack,-0.0857,0.0788,5,-0.4283,-0.0463,-0.2315,0.3482,0.3876,0.4339,0.56,-2.94,0.19,-14.7,1.0
John McKay,-0.089,0.1355,9,-0.8008,-0.0359,-0.3235,0.338,0.3911,0.427,0.72,-3.09,0.24,-27.8,2.2
Leslie Frazier,-0.0892,0.1199,3,-0.2677,-0.0112,-0.0337,0.3854,0.4634,0.4747,1.11,-6.19,3.34,-18.6,10.0
Dan Quinn,-0.0916,0.2218,7,-0.6414,-0.0357,-0.2499,0.4848,0.5407,0.5764,1.34,-4.75,1.82,-33.2,12.7
Brad Childress,-0.0917,0.1013,5,-0.4586,-0.0377,-0.1884,0.51,0.564,0.6017,0.72,-3.48,0.55,-17.4,2.7
Herm Edwards,-0.0922,0.0733,8,-0.7378,-0.0453,-0.3623,0.4219,0.4688,0.5141,0.41,-2.46,-0.49,-19.6,-4.0
Bill Arnsparger,-0.0939,0.1035,3,-0.2818,-0.0196,-0.0588,0.1667,0.241,0.2606,0.96,-5.62,2.61,-16.8,7.8
Romeo Crennel,-0.0962,0.0635,5,-0.4812,-0.0611,-0.3055,0.325,0.3601,0.4212,0.45,-2.8,-0.28,-14.0,-1.4
Bill Johnson,-0.0963,0.1555,3,-0.289,-0.0016,-0.0049,0.4286,0.5233,0.5249,1.44,-7.72,4.64,-23.2,13.9
Kay Stephenson,-0.101,0.1529,3,-0.3031,-0.0281,-0.0843,0.2083,0.2813,0.3094,1.41,-7.69,4.46,-23.1,13.4
Gus Bradley,-0.1029,0.0865,4,-0.4115,-0.0433,-0.1732,0.2232,0.2828,0.3261,0.69,-3.85,0.56,-15.4,2.2
Rick Forzano,-0.1035,0.1942,3,-0.3106,-0.0459,-0.1377,0.4167,0.4743,0.5202,1.79,-9.37,6.06,-28.1,18.2
Dennis Allen,-0.1075,0.13,6,-0.6449,-0.0304,-0.1824,0.2772,0.3543,0.3847,0.85,-3.9,0.46,-23.4,2.8
Jim Schwartz,-0.1095,0.0915,5,-0.5474,-0.0552,-0.2759,0.3625,0.4168,0.472,0.65,-3.57,0.07,-17.8,0.3
Mike Nolan,-0.1146,0.0935,4,-0.4582,-0.0453,-0.1813,0.3214,0.3906,0.436,0.75,-4.21,0.55,-16.9,2.2
Hue Jackson,-0.1198,0.1059,4,-0.4794,-0.062,-0.2479,0.2188,0.2766,0.3386,0.85,-4.61,0.78,-18.5,3.1
Ed Biles,-0.1271,0.0911,3,-0.3814,-0.0344,-0.1033,0.1829,0.2756,0.31,0.84,-5.65,1.59,-17.0,4.8
Abe Gibron,-0.1293,0.111,3,-0.3879,-0.0469,-0.1406,0.2738,0.3562,0.4031,1.03,-6.48,2.34,-19.4,7.0
J.D. Roberts,-0.1335,0.0529,3,-0.4005,-0.0631,-0.1893,0.2262,0.2966,0.3597,0.49,-4.24,-0.03,-12.7,-0.1
Bruce Coslet,-0.1415,0.0844,8,-1.1318,-0.0549,-0.4388,0.3125,0.3991,0.454,0.48,-3.39,-1.14,-27.1,-9.1
David Shula,-0.1441,0.1613,5,-0.7207,-0.07,-0.3501,0.2536,0.3277,0.3977,1.15,-5.51,0.9,-27.6,4.5
